tier,metric,acceptance_arm,param_role,parameter_name,layer,head,optimizer_group_id,probe_name,aggregation,n_points,complete_frac,rel_median,rel_worst,sd_median,level_median,swing,noise_vs_swing,rel_early,rel_late
continuous,batch/bos_count,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,0.0,0.0,994.0,62.0,0.0,0.0,0.0
continuous,batch/mean_segment_length,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,1.3303184481530042e-16,0.0,527.7102615694165,33.01403326403329,0.0,0.0,0.0
continuous,batch/micro_batches,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,0.0,0.0,8.0,0.0,,0.0,0.0
continuous,batch/segments_per_row_max,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0
continuous,batch/segments_per_row_mean,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,0.0,0.0,3.8828125,0.2421875,0.0,0.0,0.0
continuous,batch/valid_targets,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,0.0,0.0,524288.0,0.0,,0.0,0.0
continuous,grad/finite,-1,-1,-1,-1.0,-1.0,-1,-,scalar,54.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0
continuous,loss/finite,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0
continuous,loss/train_mean,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0006246124072356246,0.0261715146907684,0.0018714795972507216,3.0322577953338623,0.7780778884887694,0.002405259968106309,0.005061708930457788,0.0005622740273505058
continuous,mem/alloc_end_bytes,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,0.0,0.0,2119289344.0,0.0,,0.0,0.0
continuous,mem/alloc_start_bytes,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,0.0,0.0,2119284736.0,0.0,,0.0,0.0
continuous,mem/cuda_peak_absolute,-1,-1,-1,-1.0,-1.0,-1,-,scalar,2520.0,1.0,0.0,0.0,0.0,41460288512.0,0.0,,0.0,0.0
continuous,optim/beta1,-1,-1,-1,-1.0,-1.0,g0-adamw-e97a161a,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.8,0.0,,0.0,0.0
continuous,optim/beta1,-1,-1,-1,-1.0,-1.0,g1-adamw-e97a161a,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.8,0.0,,0.0,0.0
continuous,optim/beta1,-1,-1,-1,-1.0,-1.0,g2-adamw-5c22e423,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.8,0.0,,0.0,0.0
continuous,optim/beta1,-1,-1,-1,-1.0,-1.0,g3-adamw-3570b29d,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.8,0.0,,0.0,0.0
continuous,optim/beta1,-1,-1,-1,-1.0,-1.0,g4-adamw-3570b29d,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.96,0.0,,0.0,0.0
continuous,optim/beta1,-1,-1,-1,-1.0,-1.0,g5-adamw-b65e3d54,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.8,0.0,,0.0,0.0
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g0-adamw-e97a161a,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.96,0.0,,0.0,0.0
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g1-adamw-e97a161a,-,scalar,2520.0,1.0,1.2475045996217454e-16,1.2475045996217454e-16,1.2412670766236366e-16,0.995,0.0,,1.2475045996217454e-16,1.2475045996217454e-16
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g2-adamw-5c22e423,-,scalar,2520.0,1.0,1.2475045996217454e-16,1.2475045996217454e-16,1.2412670766236366e-16,0.995,0.0,,1.2475045996217454e-16,1.2475045996217454e-16
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g3-adamw-3570b29d,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.95,0.0,,0.0,0.0
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g4-adamw-3570b29d,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.95,0.0,,0.0,0.0
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g5-adamw-b65e3d54,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.95,0.0,,0.0,0.0
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g6-muon-6x12,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.9,0.0,,0.0,0.0
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g7-muon-768x768,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.9,0.0,,0.0,0.0
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g8-muon-768x3072,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.9,0.0,,0.0,0.0
continuous,optim/beta2,-1,-1,-1,-1.0,-1.0,g9-muon-3072x768,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.9,0.0,,0.0,0.0
continuous,optim/eps,-1,-1,-1,-1.0,-1.0,g0-adamw-e97a161a,-,scalar,2520.0,1.0,0.0,0.0,0.0,1e-10,0.0,,0.0,0.0
continuous,optim/eps,-1,-1,-1,-1.0,-1.0,g1-adamw-e97a161a,-,scalar,2520.0,1.0,0.0,0.0,0.0,1e-10,0.0,,0.0,0.0
continuous,optim/eps,-1,-1,-1,-1.0,-1.0,g2-adamw-5c22e423,-,scalar,2520.0,1.0,0.0,0.0,0.0,1e-10,0.0,,0.0,0.0
continuous,optim/eps,-1,-1,-1,-1.0,-1.0,g3-adamw-3570b29d,-,scalar,2520.0,1.0,0.0,0.0,0.0,1e-10,0.0,,0.0,0.0
continuous,optim/eps,-1,-1,-1,-1.0,-1.0,g4-adamw-3570b29d,-,scalar,2520.0,1.0,0.0,0.0,0.0,1e-10,0.0,,0.0,0.0
continuous,optim/eps,-1,-1,-1,-1.0,-1.0,g5-adamw-b65e3d54,-,scalar,2520.0,1.0,0.0,0.0,0.0,1e-10,0.0,,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g0-adamw-e97a161a,-,scalar,2520.0,1.0,0.0,1.5490871485437975e-16,0.0,0.006109279609279609,0.00645907203907204,0.0,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g1-adamw-e97a161a,-,scalar,2520.0,1.0,0.0,1.550589877909091e-16,0.0,0.2290979853479853,0.24221520146520145,0.0,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g2-adamw-5c22e423,-,scalar,2520.0,1.0,0.0,1.550589877909091e-16,0.0,0.11454899267399266,0.12110760073260073,0.0,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g3-adamw-3570b29d,-,scalar,2520.0,1.0,0.0,1.5507507196298057e-16,0.0,0.003818299755799756,0.004036920024420024,0.0,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g4-adamw-3570b29d,-,scalar,2520.0,1.0,0.0,1.5506371808339818e-16,0.0,0.38182997557997556,0.40369200244200243,0.0,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g5-adamw-b65e3d54,-,scalar,2520.0,1.0,0.0,1.55101570815751e-16,0.0,0.15273199023199024,0.161476800976801,0.0,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g6-muon-6x12,-,scalar,2520.0,1.0,0.0,1.5507507196298057e-16,0.0,0.015273199023199024,0.016147680097680098,0.0,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g7-muon-768x768,-,scalar,2520.0,1.0,0.0,1.5507507196298057e-16,0.0,0.015273199023199024,0.016147680097680098,0.0,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g8-muon-768x3072,-,scalar,2520.0,1.0,0.0,1.5507507196298057e-16,0.0,0.015273199023199024,0.016147680097680098,0.0,0.0,0.0
continuous,optim/lr,-1,-1,-1,-1.0,-1.0,g9-muon-3072x768,-,scalar,2520.0,1.0,0.0,1.5507507196298057e-16,0.0,0.015273199023199024,0.016147680097680098,0.0,0.0,0.0
continuous,optim/lr_eff,-1,-1,-1,-1.0,-1.0,g6-muon-6x12,-,scalar,2520.0,1.0,0.0,1.5507507196298057e-16,0.0,0.015273199023199024,0.016147680097680098,0.0,0.0,0.0
continuous,optim/lr_eff,-1,-1,-1,-1.0,-1.0,g7-muon-768x768,-,scalar,2520.0,1.0,0.0,1.5507507196298057e-16,0.0,0.015273199023199024,0.016147680097680098,0.0,0.0,0.0
continuous,optim/lr_eff,-1,-1,-1,-1.0,-1.0,g8-muon-768x3072,-,scalar,2520.0,1.0,0.0,1.5507507196298057e-16,0.0,0.015273199023199024,0.016147680097680098,0.0,0.0,0.0
continuous,optim/lr_eff,-1,-1,-1,-1.0,-1.0,g9-muon-3072x768,-,scalar,2520.0,1.0,0.0,1.5507507196298057e-16,0.0,0.030546398046398048,0.032295360195360195,0.0,0.0,0.0
continuous,optim/momentum,-1,-1,-1,-1.0,-1.0,g6-muon-6x12,-,scalar,2520.0,1.0,0.0,1.4587696281861986e-16,0.0,0.9408987179487178,0.06679914529914521,0.0,0.0,0.0
continuous,optim/momentum,-1,-1,-1,-1.0,-1.0,g7-muon-768x768,-,scalar,2520.0,1.0,0.0,1.4587696281861986e-16,0.0,0.9408987179487178,0.06679914529914521,0.0,0.0,0.0
continuous,optim/momentum,-1,-1,-1,-1.0,-1.0,g8-muon-768x3072,-,scalar,2520.0,1.0,0.0,1.4587696281861986e-16,0.0,0.9408987179487178,0.06679914529914521,0.0,0.0,0.0
continuous,optim/momentum,-1,-1,-1,-1.0,-1.0,g9-muon-3072x768,-,scalar,2520.0,1.0,0.0,1.4587696281861986e-16,0.0,0.9408987179487178,0.06679914529914521,0.0,0.0,0.0
continuous,optim/ns_steps,-1,-1,-1,-1.0,-1.0,g6-muon-6x12,-,scalar,2520.0,1.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0
continuous,optim/ns_steps,-1,-1,-1,-1.0,-1.0,g7-muon-768x768,-,scalar,2520.0,1.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0
continuous,optim/ns_steps,-1,-1,-1,-1.0,-1.0,g8-muon-768x3072,-,scalar,2520.0,1.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0
continuous,optim/ns_steps,-1,-1,-1,-1.0,-1.0,g9-muon-3072x768,-,scalar,2520.0,1.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0
continuous,optim/weight_decay,-1,-1,-1,-1.0,-1.0,g0-adamw-e97a161a,-,scalar,2520.0,1.0,0.0,0.0,0.0,0.01,0.0,,0.0,0.0
