tier,metric,acceptance_arm,channels,rel_median,rel_worst_channel,rel_worst_point,complete_frac,noise_vs_swing,rel_early,rel_late
continuous,batch/bos_count,-1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
continuous,batch/mean_segment_length,-1,1,0.0,0.0,1.3303184481530042e-16,1.0,0.0,0.0,0.0
continuous,batch/micro_batches,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,batch/segments_per_row_max,-1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
continuous,batch/segments_per_row_mean,-1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
continuous,batch/valid_targets,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,grad/finite,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,loss/finite,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,mem/alloc_end_bytes,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,mem/alloc_start_bytes,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,mem/cuda_peak_absolute,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,optim/beta1,-1,6,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,optim/eps,-1,6,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,optim/beta2,-1,10,0.0,1.2475045996217454e-16,1.2475045996217454e-16,1.0,,0.0,0.0
continuous,optim/lr,-1,10,0.0,0.0,1.55101570815751e-16,1.0,0.0,0.0,0.0
continuous,optim/lr_eff,-1,4,0.0,0.0,1.5507507196298057e-16,1.0,0.0,0.0,0.0
continuous,overhead/microbatch_cpu_launch/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,optim/momentum,-1,4,0.0,0.0,1.4587696281861986e-16,1.0,0.0,0.0,0.0
continuous,optim/ns_steps,-1,4,0.0,0.0,0.0,1.0,,0.0,0.0
continuous,optim/weight_decay,-1,10,0.0,0.0,1.550700133501429e-16,1.0,0.0,0.0,0.0
periodic,attn/n_undefined_queries/b0,-1,3,0.0,0.0,0.0,1.0,,0.0,0.0
periodic,muon/norm_degenerate,-1,78,0.0,0.0,0.0,1.0,,0.0,
periodic,muon/u_final_norm_analytic,-1,78,0.0,0.0,0.0,1.0,,0.0,0.0
periodic,overhead/attention/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
periodic,overhead/noise/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/arith_eps,shadow_fp32,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/arith_eps,native,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/curv_eps_gradient,native,1,0.0,0.0,0.31304951684997057,1.0,,0.0,0.0
periodic,overhead/grads_ready/periodic_scan/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
periodic,overhead/probes/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/fd_eps_gradient,native,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/eta_star_rho_threshold,shadow_fp32,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/native_verdict_code,native,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/shadow_verdict_code,shadow_fp32,1,0.0,0.0,0.4472135954999579,1.0,,0.0,0.0
sparse,curvature/verdict_code_gradient,native,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/verdict_code_gradient,shadow_fp32,1,0.0,0.0,0.0,1.0,0.0,0.0,
sparse,curvature/verdict_code_random,native,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/verdict_code_random,shadow_fp32,1,0.0,0.0,0.4472135954999579,1.0,,0.0,0.0
sparse,curvature/verdict_code_update,native,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/verdict_code_update,shadow_fp32,1,0.0,0.0,0.4472135954999579,1.0,,0.0,0.0
sparse,overhead/theta_snapshot/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/eta_star_rho_threshold,native,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/fd_conclusive_gradient,shadow_fp32,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/fd_conclusive_random,shadow_fp32,1,0.0,0.0,0.5477225575051662,1.0,0.0,0.0,0.5477225575051662
sparse,overhead/grads_ready/calibration/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,overhead/probe_grad_sketch/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,overhead/muon_reference/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,overhead/update_effectiveness/work,-1,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/fd_eps_random,shadow_fp32,1,0.0,0.0,0.0,1.0,,0.0,0.0
sparse,curvature/fd_eps_update,shadow_fp32,1,0.0,0.0,0.0,1.0,,0.0,0.0
periodic,optim/muon_second_momentum_mean,-1,78,3.998401005613398e-08,8.895421335692758e-08,1.3559237512464984e-07,1.0,0.6388765648299398,3.998401005613398e-08,3.998401005613398e-08
periodic,muon/data_norm,-1,78,6.482582228324204e-08,8.042819523624268e-08,1.5479897033687464e-07,1.0,5.2883359081197084e-08,6.375525959256621e-08,6.630642985296772e-08
periodic,muon/u_final_norm_observed,-1,78,6.493528637305896e-08,8.047497978005669e-08,1.5483772057457844e-07,1.0,0.6609178720911558,6.377427035336902e-08,6.596883955082453e-08
sparse,curvature/fd_cos_gradient,shadow_fp32,1,7.445358594744679e-08,7.445358594744679e-08,1.157166733052655e-06,1.0,0.08649465668581954,4.5246803034073467e-10,1.2156667497637533e-07
sparse,curvature/fd_cos_update,shadow_fp32,1,7.886118414813832e-08,7.886118414813832e-08,7.886118414813832e-08,0.0,,7.886118414813832e-08,
sparse,curvature/fd_cos_random,shadow_fp32,1,1.9389326680110967e-06,1.9389326680110967e-06,9.78293827466439e-06,0.3,0.04274869455129725,3.8338287497988597e-07,2.7275374048942075e-06
continuous,loss/train_mean,-1,1,0.0006246124072356246,0.0006246124072356246,0.0261715146907684,1.0,0.002405259968106309,0.005061708930457788,0.0005622740273505058
periodic,optim/muon_second_momentum_rms,-1,78,0.00088740557452208,0.01434072183262363,0.02572087903997985,1.0,0.1620581592783562,0.002251513396454591,0.0008012099394799921
periodic,optim/muon_second_momentum_norm,-1,78,0.0008874128047476106,0.014340708851978617,0.025720876875828486,1.0,0.16205058933823888,0.0022515189665050493,0.0008012114614485579
periodic,probe/logit_max_postcap,-1,2,0.0014157341621287968,0.001572643584655836,0.035104885527142964,1.0,0.18009459380408602,0.003320271410324975,0.001267450413483516
periodic,probe/loss,-1,2,0.0015746080415765173,0.0019406349662763691,0.014107166420124002,1.0,0.005788554324799388,0.004817370542820372,0.0015614382032409463
periodic,muon/cautious_mask_fraction,-1,78,0.0028267596954914985,0.1296957617509422,0.3027084189699978,1.0,0.018709681980007123,0.007704963167148057,0.002645433734846669
continuous,step/dt_excl_serialized_telemetry,-1,1,0.0031142022388095858,0.0031142022388095858,0.13054404948243176,1.0,0.6338235126195774,0.004047084170414537,0.0029222580241987615
continuous,step/observed_dt,-1,1,0.0034109873347141937,0.0034109873347141937,0.836294586314523,1.0,0.6075161988940206,0.004228510943762248,0.003179566475965579
periodic,probe/logit_lse_mean,-1,2,0.0034701293477140756,0.0035120047150669696,0.00866033534886914,1.0,0.05663708149896096,0.0035345384868222564,0.0034701293477140756
periodic,muon/cos_data_decay,-1,78,0.00453299692929162,0.20460158276122425,0.42549715277522915,1.0,0.01815695576021545,0.013007366114572328,0.0040759432395865575
sparse,update/direction_norm,native,1,0.00619330254262062,0.00619330254262062,0.052907415066906306,1.0,0.005608402060033425,0.020632970582533168,0.004607341482605477
sparse,update/direction_norm,shadow_fp32,1,0.00619330254262062,0.00619330254262062,0.052907415066906306,1.0,0.005608402060033425,0.020632970582533168,0.004607341482605477
periodic,probe/relu2_sparsity,-1,24,0.00646097023681499,0.01768565805576877,0.05680544042351549,1.0,0.025673341950491223,0.02571886877735634,0.0063695320861460285
periodic,probe/logit_z_loss,-1,2,0.006843366830761248,0.006915834881545208,0.01704255102560639,1.0,0.05867008354167303,0.007072861092075464,0.006777939221405545
periodic,probe/resid_contribution_ratio,-1,24,0.008069326167889138,0.03980998478224262,0.3152020859884434,1.0,0.4076386630320778,0.009307954598523509,0.00843811016508263
periodic,muon/decay_norm,-1,78,0.008660461635340328,0.18211904594298217,0.5839595209021865,1.0,0.003912734934418704,0.024558015497497185,0.008374840597211051
periodic,param/norm,-1,113,0.010406832326970752,0.8593084645105007,6.933963486637675,1.0,0.01972338097998444,0.025660284525716705,0.010167822289469912
periodic,param/rms,-1,113,0.01040683232697078,0.8593084645105007,6.933963486637675,1.0,0.019723380979984394,0.025660284525716684,0.010167822289469913
sparse,update/loss_before,shadow_fp32,1,0.01220955355912116,0.01220955355912116,0.03312868474509606,1.0,0.002511027779204568,0.002961804200509556,0.01404125789526393
sparse,update/loss_before,native,1,0.012423015278360351,0.012423015278360351,0.03325552438202758,1.0,0.0025500282762678794,0.002891574453385904,0.013876960134434591
sparse,curvature/curv_floor_gradient,native,1,0.012521418649028355,0.012521418649028355,4.522625585733338,1.0,0.002520077084015202,0.004971971460754103,0.013137173663994726
sparse,update/loss_after,shadow_fp32,1,0.013689334322899592,0.013689334322899592,0.034355151538881676,1.0,0.003829028128243271,0.009762235980341864,0.014563169297763839
sparse,update/loss_after,native,1,0.013923870793328796,0.013923870793328796,0.0345204629452628,1.0,0.0038339890571763863,0.009808977645257295,0.014618569850652074
sparse,overhead/muon_reference,-1,1,0.017003430350221282,0.017003430350221282,0.164714768125149,1.0,0.2838138324041803,0.016650922787947903,0.022600194539868116
periodic,muon/polar_residual,-1,78,0.018876608894383466,0.16499115297078595,0.3301610027026561,1.0,0.17390481035779748,0.030393437785015437,0.017747793134626086
periodic,probe/logit_margin_mean,-1,2,0.0195941966509214,0.020817682744855372,0.07671805630528435,1.0,0.06424360457152352,0.029116015564998148,0.019032647767051228
sparse,sketch/probe_grad_cosine_prev,-1,1,0.02068818815531554,0.02068818815531554,0.2690437270761095,1.0,0.027345843911202067,0.03063242160052765,0.02068818815531554
periodic,probe/logit_entropy_mean,-1,2,0.021090685856352702,0.021326944426317575,0.048487010845752215,1.0,0.07674577702297469,0.030404098165018937,0.019993916045688724
