rank,tier,metric,acceptance_arm,family,direction,probe_sampled,certification,raw_rows_five_runs,selected_defined_rows_five_runs,union_row_keys,aligned_row_keys,row_key_coverage,aligned_elements,early_elements,late_elements,vector_length_mismatch_keys,typical_absolute_spread,worst_absolute_spread,typical_relative_spread,worst_relative_spread,early_typical_relative_spread,late_typical_relative_spread,zero_median_fraction,infinite_relative_fraction,utility_band,flags
1,continuous,batch/bos_count,none,continuous:batch/bos_count,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,401,2119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
2,continuous,batch/mean_segment_length,none,continuous:batch/mean_segment_length,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,401,2119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
3,continuous,batch/micro_batches,none,continuous:batch/micro_batches,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,401,2119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
4,continuous,batch/segments_per_row_max,none,continuous:batch/segments_per_row_max,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,401,2119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
5,continuous,batch/segments_per_row_mean,none,continuous:batch/segments_per_row_mean,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,401,2119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
6,continuous,batch/valid_targets,none,continuous:batch/valid_targets,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,401,2119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
7,continuous,grad/finite,none,continuous:grad/finite,none,False,not_applicable,270,270,54,54,1.0,54,16,38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
8,continuous,loss/finite,none,continuous:loss/finite,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,401,2119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
9,continuous,mem/alloc_end_bytes,none,continuous:mem/alloc_end_bytes,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,400,2120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
10,continuous,mem/alloc_start_bytes,none,continuous:mem/alloc_start_bytes,none,False,not_applicable,12600,12600,2520,2520,1.0,2520,400,2120,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tight,-
