metric,n_checkpoints,n_native_defined,n_shadow_defined,n_both,class,native_avail,shadow_avail,pair_avail
curvature/Hg_norm,215,215,215,215,quadratic,1.0,1.0,1.0
curvature/arith_eps,215,215,215,215,floor,1.0,1.0,1.0
curvature/c_fd_gradient,215,215,215,215,error,1.0,1.0,1.0
curvature/c_fd_random,215,215,215,215,error,1.0,1.0,1.0
curvature/c_fd_update,215,215,215,215,error,1.0,1.0,1.0
curvature/curv_eps_gradient,215,215,215,215,floor,1.0,1.0,1.0
curvature/curv_eps_random,215,215,215,215,floor,1.0,1.0,1.0
curvature/curv_eps_update,215,215,215,215,floor,1.0,1.0,1.0
curvature/curv_floor_gradient,215,215,215,215,floor,1.0,1.0,1.0
curvature/curv_floor_random,215,215,215,215,floor,1.0,1.0,1.0
curvature/curv_floor_update,215,215,215,215,floor,1.0,1.0,1.0
curvature/curv_snr_gradient,215,215,215,215,snr,1.0,1.0,1.0
curvature/curv_snr_random,215,215,215,215,snr,1.0,1.0,1.0
curvature/curv_snr_update,215,215,215,215,snr,1.0,1.0,1.0
curvature/dhd,215,215,215,215,quadratic,1.0,1.0,1.0
curvature/e_curv_gradient,215,0,186,0,error,0.0,0.8651162790697674,0.0
curvature/e_curv_random,215,0,0,0,error,0.0,0.0,0.0
curvature/e_curv_update,215,0,0,0,error,0.0,0.0,0.0
curvature/e_fd_gradient,215,0,215,0,error,0.0,1.0,0.0
curvature/e_fd_random,215,0,40,0,error,0.0,0.18604651162790697,0.0
curvature/e_fd_update,215,0,2,0,error,0.0,0.009302325581395349,0.0
curvature/e_lin_gradient,215,215,215,215,error,1.0,1.0,1.0
curvature/e_lin_random,215,215,215,215,error,1.0,1.0,1.0
curvature/e_lin_update,215,215,215,215,error,1.0,1.0,1.0
curvature/e_sym_gradient,215,215,215,215,error,1.0,1.0,1.0
curvature/e_sym_random,215,215,215,215,error,1.0,1.0,1.0
curvature/e_sym_update,215,215,215,215,error,1.0,1.0,1.0
curvature/eta_star,215,186,201,186,quadratic,0.8651162790697674,0.9348837209302325,0.8651162790697674
curvature/eta_star_rho,215,215,215,215,quadratic,1.0,1.0,1.0
curvature/eta_star_rho_threshold,215,215,215,215,floor,1.0,1.0,1.0
curvature/fd_conclusive_gradient,215,215,215,215,flag,1.0,1.0,1.0
curvature/fd_conclusive_random,215,215,215,215,flag,1.0,1.0,1.0
curvature/fd_conclusive_update,215,215,215,215,flag,1.0,1.0,1.0
curvature/fd_cos_gradient,215,0,215,0,error,0.0,1.0,0.0
curvature/fd_cos_random,215,0,40,0,error,0.0,0.18604651162790697,0.0
curvature/fd_cos_update,215,0,2,0,error,0.0,0.009302325581395349,0.0
curvature/fd_eps_gradient,215,215,215,215,floor,1.0,1.0,1.0
curvature/fd_eps_random,215,215,215,215,floor,1.0,1.0,1.0
curvature/fd_eps_update,215,215,215,215,floor,1.0,1.0,1.0
curvature/fd_floor_gradient,215,215,215,215,floor,1.0,1.0,1.0
curvature/fd_floor_random,215,215,215,215,floor,1.0,1.0,1.0
curvature/fd_floor_update,215,215,215,215,floor,1.0,1.0,1.0
curvature/fd_snr_gradient,215,215,215,215,snr,1.0,1.0,1.0
curvature/fd_snr_random,215,215,215,215,snr,1.0,1.0,1.0
curvature/fd_snr_update,215,215,215,215,snr,1.0,1.0,1.0
curvature/gHg,215,215,215,215,quadratic,1.0,1.0,1.0
curvature/gg,215,215,215,215,quadratic,1.0,1.0,1.0
curvature/verdict_code_gradient,215,215,215,215,flag,1.0,1.0,1.0
curvature/verdict_code_random,215,215,215,215,flag,1.0,1.0,1.0
curvature/verdict_code_update,215,215,215,215,flag,1.0,1.0,1.0
curvature/vhv_gradient,215,215,215,215,quadratic,1.0,1.0,1.0
curvature/vhv_random,215,215,215,215,quadratic,1.0,1.0,1.0
curvature/vhv_update,215,215,215,215,quadratic,1.0,1.0,1.0
update/actual,215,215,215,215,update,1.0,1.0,1.0
update/direction_norm,215,215,215,215,update,1.0,1.0,1.0
update/loss_after,215,215,215,215,update,1.0,1.0,1.0
update/loss_before,215,215,215,215,update,1.0,1.0,1.0
update/normalized_residual,215,215,215,215,update,1.0,1.0,1.0
update/p1,215,215,215,215,update,1.0,1.0,1.0
update/p2,215,215,215,215,update,1.0,1.0,1.0
update/residual_p1,215,215,215,215,update,1.0,1.0,1.0
update/residual_p2,215,215,215,215,update,1.0,1.0,1.0
