metric,mclass,n_pairs,n_rel,frac_exact_equal,median_rel,q25_rel,q75_rel,iqr_rel,median_abs_rel,ci_lo,ci_hi,p90_abs_rel,max_abs_rel,median_abs_diff,iqr_abs_diff,median_shadow,median_native,sign_disagree_frac,sign_disagree_frac_nonzero,n_nonzero,frac_either_zero,rho_progress,p_progress,n_progress
curvature/e_lin_random,error,215,215,0.0,14474.047430941851,13254.043815337482,15462.097793702655,2208.053978365173,14474.047430941851,13685.453058702484,14882.492860707616,16974.314859404996,19697.972219251606,0.011288065735404001,0.0012639129260885989,7.740120864442301e-07,0.01128870641459083,0.0,0.0,215.0,0.0,-0.670231822730832,0.0,215.0
curvature/e_lin_update,error,215,215,0.0,14464.164588717895,12917.28859674961,17459.920783231653,4542.632186482044,14464.164588717895,13551.871198214638,14956.292767140372,34845.837024934655,66956.26007852802,0.01078928558366725,0.002186078598736473,7.557663615787306e-07,0.010789987933050601,0.0,0.0,215.0,0.0,-0.802526774455571,0.0,215.0
curvature/e_sym_update,error,215,215,0.0,13136.736932314787,4347.132764049362,51126.69033138106,46779.5575673317,13136.736932314787,9620.08979121593,20935.58416337421,175951.39091379996,2755863.3873917744,0.013596385297382073,0.026015629498526975,9.375645280171043e-07,0.013600690975482528,0.0,0.0,215.0,0.0,-0.5441559444607481,0.0,215.0
curvature/e_sym_random,error,215,215,0.0,11859.42969867183,4956.766695069244,36930.52782442951,31973.761129360268,11859.42969867183,7839.988253233113,16317.464007969162,100884.35643015438,3327986.5017186985,0.012245207673091722,0.02065630585105021,8.946531260302203e-07,0.012245527031886859,0.0,0.0,215.0,0.0,-0.1428702147028313,0.038,215.0
curvature/e_lin_gradient,error,215,215,0.0,10589.375968762568,8893.904388122759,11880.083122579712,2986.178734456953,10589.375968762568,9642.633929773201,10976.720145972173,14164.263928132785,20399.424755325166,0.005416555153352896,0.0025286708321565505,5.017781983401955e-07,0.00541701153855676,0.0,0.0,215.0,0.0,0.34392218942405867,0.0,215.0
curvature/e_sym_gradient,error,215,215,0.0,6834.015125858382,2013.0375199293176,23619.92678209633,21606.88926216701,6834.015125858382,5386.777223052835,9966.467393338087,90105.43750609519,2925067.7564165005,0.007484205252780713,0.013468238053744173,8.253417737674046e-07,0.00748496788663015,0.0,0.0,215.0,0.0,0.03080068741640806,0.662,215.0
curvature/c_fd_update,error,215,210,0.0,-3.4551999999999996,-2195.4500000000003,1396.6250000000002,3592.0750000000007,1853.5,1194.9999999999998,2806.4,634714.1333333332,13865184.185185187,-0.013828277587890622,4.730224609375,-4.768371582031249e-05,-0.017738342285156247,0.49767441860465117,0.4857142857142857,210.0,0.023255813953488372,0.4244017474203196,0.0,210.0
curvature/c_fd_random,error,215,209,0.0,-1.5634249999999994,-1243.0,497.8333333333333,1740.8333333333333,688.2399999999999,555.69,1243.0,246078.50000000015,27306665.666666668,-0.031137466430664056,3.645155164930556,-2.3841857910156247e-05,-0.031185150146484368,0.5302325581395348,0.5167464114832536,209.0,0.027906976744186046,0.37400183305705154,0.0,209.0
curvature/c_fd_gradient,error,215,215,0.0,-0.0101733333333335,-0.050709270999821546,0.025433516282249692,0.07614278728207124,0.03939627277983402,0.03264204545454547,0.045455608900519674,1.0630768702290072,141.00000000000003,-0.028991699218749993,0.29871560793716645,3.3986953814540413,3.5014867782592765,0.05581395348837209,0.05581395348837209,215.0,0.0,-0.6641160079965136,0.0,215.0
curvature/e_curv_gradient,error,0,0,,,,,,,,,,,,,,,,,,,,,
