metric,mclass,depth,n,median_rel,median_abs_rel
curvature/Hg_norm,quadratic,12,150,-0.00047643896136222624,0.004434037660109176
curvature/Hg_norm,quadratic,14,32,-0.0010904530099422245,0.006766592980914625
curvature/Hg_norm,quadratic,16,33,0.0008681380845629662,0.00627995721596254
curvature/arith_eps,floor,12,150,65535.0,65535.0
curvature/arith_eps,floor,14,32,65535.0,65535.0
curvature/arith_eps,floor,16,33,65535.0,65535.0
curvature/c_fd_gradient,error,12,150,-0.014882184050862739,0.04254254357161573
curvature/c_fd_gradient,error,14,32,-0.00016756921140948324,0.03366390048495934
curvature/c_fd_gradient,error,16,33,-0.0019154729865876012,0.028345208228800656
curvature/c_fd_random,error,12,150,-4.291275000000001,654.6481481481482
curvature/c_fd_random,error,14,32,62.62666666666665,620.1333333333333
curvature/c_fd_random,error,16,33,-0.4534999999999999,3136.9583333333335
curvature/c_fd_update,error,12,150,-52.76666666666666,1871.0
curvature/c_fd_update,error,14,32,24.13,1245.6666666666665
curvature/c_fd_update,error,16,33,-1.085,5714.0
curvature/curv_eps_gradient,floor,12,150,9.0,9.0
curvature/curv_eps_gradient,floor,14,32,12.665308771803414,12.665308771803414
curvature/curv_eps_gradient,floor,16,33,12.512001548070344,12.512001548070344
curvature/curv_eps_random,floor,12,150,0.0,0.935
curvature/curv_eps_random,floor,14,32,0.9999999999999998,1.4849999999999999
curvature/curv_eps_random,floor,16,33,0.0,0.97
curvature/curv_eps_update,floor,12,150,0.0,0.9
curvature/curv_eps_update,floor,14,32,0.9999999999999998,1.4849999999999999
curvature/curv_eps_update,floor,16,33,-0.7,0.97
curvature/curv_floor_gradient,floor,12,150,656.4638159974243,656.4638159974243
curvature/curv_floor_gradient,floor,14,32,376.6152381321193,376.6152381321193
curvature/curv_floor_gradient,floor,16,33,360.5075750476495,360.5075750476495
curvature/curv_floor_random,floor,12,150,65526.244789892065,65526.244789892065
curvature/curv_floor_random,floor,14,32,36390.20367276363,36390.20367276363
curvature/curv_floor_random,floor,16,33,65513.37764508788,65513.37764508788
curvature/curv_floor_update,floor,12,150,65534.24596565876,65534.24596565876
curvature/curv_floor_update,floor,14,32,36404.65253601864,36404.65253601864
curvature/curv_floor_update,floor,16,33,728191.1598573038,728191.1598573038
curvature/curv_snr_gradient,snr,12,150,-0.9985023905551036,0.9985023905551036
curvature/curv_snr_gradient,snr,14,32,-0.9971913009454967,0.9971913009454967
curvature/curv_snr_gradient,snr,16,33,-0.997295249858806,0.997295249858806
curvature/curv_snr_random,snr,12,150,-0.9463555125522443,0.9463555125522443
curvature/curv_snr_random,snr,14,32,-0.9412131264582125,0.9412131264582125
curvature/curv_snr_random,snr,16,33,-0.9438466798453715,0.9438466798453715
curvature/curv_snr_update,snr,12,150,-0.9426407858423318,0.9426407858423318
curvature/curv_snr_update,snr,14,32,-0.9548676042892172,0.9548676042892172
curvature/curv_snr_update,snr,16,33,-0.938096727944953,0.938096727944953
curvature/dhd,quadratic,12,150,-0.00011381372299818166,0.0021818296381929496
curvature/dhd,quadratic,14,32,9.197627978279685e-05,0.001965056924726486
curvature/dhd,quadratic,16,33,0.0004089166272467352,0.002368291466278871
curvature/e_lin_gradient,error,12,150,10829.53960192097,10829.53960192097
curvature/e_lin_gradient,error,14,32,9354.079835549855,9354.079835549855
curvature/e_lin_gradient,error,16,33,9234.448326118412,9234.448326118412
curvature/e_lin_random,error,12,150,14852.037273095602,14852.037273095602
curvature/e_lin_random,error,14,32,12344.38578516275,12344.38578516275
curvature/e_lin_random,error,16,33,11473.67004573689,11473.67004573689
curvature/e_lin_update,error,12,150,14875.840430145588,14875.840430145588
curvature/e_lin_update,error,14,32,11226.888869244165,11226.888869244165
curvature/e_lin_update,error,16,33,11611.852098021345,11611.852098021345
curvature/e_sym_gradient,error,12,150,6282.064846542256,6282.064846542256
curvature/e_sym_gradient,error,14,32,5428.234831737065,5428.234831737065
curvature/e_sym_gradient,error,16,33,21465.419894810595,21465.419894810595
curvature/e_sym_random,error,12,150,13655.520812891795,13655.520812891795
curvature/e_sym_random,error,14,32,5324.505501404813,5324.505501404813
curvature/e_sym_random,error,16,33,15566.023942714957,15566.023942714957
curvature/e_sym_update,error,12,150,16432.0227041514,16432.0227041514
curvature/e_sym_update,error,14,32,11598.645496274783,11598.645496274783
curvature/e_sym_update,error,16,33,7831.919989393285,7831.919989393285
curvature/eta_star,quadratic,12,129,0.00042419898990843705,0.005853213640714965
curvature/eta_star,quadratic,14,28,0.0011379508739432257,0.0066438326184145345
curvature/eta_star,quadratic,16,29,-0.0008649859211583217,0.006826610722454955
curvature/eta_star_rho,quadratic,12,150,0.0004122384728373768,0.002287851094690369
curvature/eta_star_rho,quadratic,14,32,-0.0003187486662848749,0.001322283015015152
curvature/eta_star_rho,quadratic,16,33,0.0002111817313326709,0.002296415802558052
curvature/eta_star_rho_threshold,floor,12,150,65535.0,65535.0
curvature/eta_star_rho_threshold,floor,14,32,65535.0,65535.0
curvature/eta_star_rho_threshold,floor,16,33,65535.0,65535.0
curvature/fd_conclusive_gradient,flag,12,150,-1.0,1.0
curvature/fd_conclusive_gradient,flag,14,32,-1.0,1.0
curvature/fd_conclusive_gradient,flag,16,33,-1.0,1.0
curvature/fd_conclusive_random,flag,12,150,-1.0,1.0
curvature/fd_conclusive_random,flag,14,32,-1.0,1.0
curvature/fd_conclusive_random,flag,16,33,-1.0,1.0
curvature/fd_conclusive_update,flag,12,150,-1.0,1.0
curvature/fd_conclusive_update,flag,14,32,,
curvature/fd_conclusive_update,flag,16,33,,
curvature/fd_eps_gradient,floor,12,150,28.999999999999996,28.999999999999996
