metric,d12,d14,d16,sd_rel,range_rel,lo,hi,d16_over_d12,d14_over_d12,d16_outside_d12_seed_range,d14_outside_d12_seed_range,mclass
curvature/Hg_norm,0.004434037660109176,0.006766592980914625,0.00627995721596254,0.1348995804616824,0.3334317952011448,0.003980123327993782,0.00554557164278896,1.4163066932110615,1.526056722925537,True,True,quadratic
curvature/arith_eps,65535.0,65535.0,65535.0,0.0,0.0,65535.0,65535.0,1.0,1.0,False,False,floor
curvature/c_fd_gradient,0.04254254357161573,0.03366390048495934,0.028345208228800656,0.24682707877540394,0.559554986987259,0.026110807974087793,0.04883885921043503,0.6662791137790008,0.7912996651996098,False,False,error
curvature/c_fd_random,654.6481481481482,620.1333333333333,3136.9583333333335,0.49013801224633274,1.0497155918134764,448.70444444444445,1258.165,4.791823427908687,0.9472773047438545,True,False,error
curvature/c_fd_update,1871.0,1245.6666666666665,5714.0,0.6864043649889924,1.7295590938734966,955.6075925925927,4691.700000000001,3.053981827899519,0.6657758774274006,True,False,error
curvature/curv_eps_gradient,9.0,12.665308771803414,12.512001548070344,0.0945750285124441,0.231049466607008,7.716855428717357,9.812056767631908,1.3902223942300382,1.4072565302003792,True,True,floor
curvature/curv_eps_random,0.935,1.4849999999999999,0.97,0.4356872712959812,1.0734929810074316,0.7,1.9999999999999996,1.0374331550802138,1.5882352941176467,False,False,floor
curvature/curv_eps_update,0.9,1.4849999999999999,0.97,0.4911594401444624,1.0982658959537572,0.9,2.1666666666666665,1.0777777777777777,1.65,False,False,floor
curvature/curv_floor_gradient,656.4638159974243,376.6152381321193,360.5075750476495,0.1799389315714991,0.4402126987472028,571.2294848720408,863.4811051224258,0.5491659498397456,0.5737029657299452,True,True,floor
curvature/curv_floor_random,65526.244789892065,36390.20367276363,65513.37764508788,0.5421531221890088,1.2124525220319655,7278.145353439318,65538.53732966649,0.9998036337219469,0.5553531075899089,False,False,floor
curvature/curv_floor_update,65534.24596565876,36404.65253601864,728191.1598573038,0.4905007673671743,1.0970421120573872,6587.572794393229,65550.6347679969,11.111612701531508,0.5555057817418911,True,False,floor
curvature/curv_snr_gradient,0.9985023905551036,0.9971913009454967,0.997295249858806,0.0002086034353730501,0.0005523275737370702,0.9982156835192597,0.9987671870025472,0.9987910487669174,0.9986869439452438,True,True,snr
curvature/curv_snr_random,0.9463555125522443,0.9412131264582125,0.9438466798453715,0.006162604081239743,0.015133755071082696,0.9411991277106715,0.9555296770879914,0.9973489532489681,0.9945661159830272,False,False,snr
curvature/curv_snr_update,0.9426407858423318,0.9548676042892172,0.938096727944953,0.010160082766689404,0.023854093512305687,0.934269358752533,0.9567487678679607,0.9951794384821592,1.0129708141537284,False,False,snr
curvature/dhd,0.0021818296381929496,0.001965056924726486,0.002368291466278871,0.19805699728505238,0.5433437541282469,0.0014555171752035439,0.0025778644715191345,1.0854612224629758,0.9006463613511088,False,False,quadratic
curvature/e_lin_gradient,10829.53960192097,9354.079835549855,9234.448326118412,0.02451599644628248,0.05590773101611124,10520.982740853413,11130.157362916292,0.8527092254670166,0.8637560025073094,True,True,error
curvature/e_lin_random,14852.037273095602,12344.38578516275,11473.67004573689,0.015181602763062258,0.03525307921797734,14491.13000627117,15012.69645250184,0.7725317298066166,0.8311577434245031,True,True,error
curvature/e_lin_update,14875.840430145588,11226.888869244165,11611.852098021345,0.014234240706563933,0.03128198633171625,14584.312090136045,15045.71750621374,0.7805846098275001,0.7547061910191711,True,True,error
curvature/e_sym_gradient,6282.064846542256,5428.234831737065,21465.419894810595,0.5588299073570715,1.3457141226808125,4260.199004023541,14570.051200429449,3.4169370134129524,0.8640844951998303,True,False,error
curvature/e_sym_random,13655.520812891795,5324.505501404813,15566.023942714957,0.24256509129941123,0.6384465238270307,11397.35697567169,20942.62771207631,1.1399070131414915,0.3899159595859644,False,True,error
curvature/e_sym_update,16432.0227041514,11598.645496274783,7831.919989393285,0.6394714784528343,1.5297311737278971,10403.419088596871,42833.431595791524,0.47662543622305376,0.7058562238563906,True,False,error
curvature/eta_star,0.005853213640714965,0.0066438326184145345,0.006826610722454955,0.15620131052381814,0.34968273440876046,0.004798000166397451,0.006860533378874023,1.1663013075362632,1.135074341418195,False,False,quadratic
curvature/eta_star_rho,0.002287851094690369,0.001322283015015152,0.002296415802558052,0.23892063801561464,0.6350486940984141,0.0016754275572826917,0.0031965720516991657,1.0037435600103346,0.577958512284256,False,True,quadratic
curvature/eta_star_rho_threshold,65535.0,65535.0,65535.0,0.0,0.0,65535.0,65535.0,1.0,1.0,False,False,floor
curvature/fd_conclusive_gradient,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,flag
curvature/fd_conclusive_random,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,flag
curvature/fd_conclusive_update,1.0,,,0.0,0.0,1.0,1.0,,,False,False,flag
curvature/fd_eps_gradient,28.999999999999996,28.999999999999996,28.999999999999996,0.0,0.0,28.999999999999996,28.999999999999996,1.0,1.0,False,False,floor
curvature/fd_eps_random,0.0,0.6666666666666666,0.6666666666666666,1.3693063937629153,2.5,0.0,0.6666666666666666,inf,inf,False,False,floor
curvature/fd_eps_update,0.0,0.6666666666666666,0.6666666666666666,1.3693063937629153,2.5,0.0,0.3333333333333333,inf,inf,True,True,floor
curvature/fd_floor_gradient,2193.9084831485493,2227.9712321175593,2216.902677829324,0.004730087994498121,0.012364582269594396,2181.038619788006,2208.185314810921,1.010480927011037,1.0155260573677738,True,True,floor
curvature/fd_floor_random,65809.01468880926,195874.97823409433,196325.03463784745,0.6073835768672134,1.1094352915684929,65595.81117812525,196452.14751927307,2.9832544305093855,2.976415604462813,False,False,floor
curvature/fd_floor_update,65644.67785768755,196515.13502165835,196508.1739309862,0.38948948911397047,0.7143102673601125,65535.56198003123,131090.45327591524,2.9935126554661493,2.9936186974317636,True,True,floor
curvature/fd_snr_gradient,0.9995429832274421,0.9995532921577727,0.9995491903331075,3.3460157329772246e-06,8.39332096199016e-06,0.9995377379026058,0.99954612738535,1.000006209943714,1.0000103136438387,True,True,snr
curvature/fd_snr_random,0.9988008967552771,0.9989287457406506,0.9987488830977086,5.567785555091114e-05,0.00013748070850630215,0.998744876281078,0.9988821913869406,0.9999479238978084,1.0001280024735548,False,True,snr
curvature/fd_snr_update,0.9943201768163001,0.9934616299530873,0.9915499482835403,0.0002438113908195175,0.0005918207856413873,0.9939662016594493,0.9945546500288514,0.9972139471798411,0.9991365488871383,True,True,snr
curvature/gHg,0.009327323702639,0.008227436884509136,0.00946852084475874,0.14652252456253215,0.36291783501603914,0.006598843700805079,0.00977713653295756,1.0151380124268434,0.8820790557725932,False,False,quadratic
curvature/gg,0.0015963677885821692,0.002073475233694534,0.0030302984842019705,0.20866017122967548,0.541686902725464,0.0013496617131256656,0.002266815326168265,1.8982458214678473,1.298870629014704,True,False,quadratic
curvature/verdict_code_gradient,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.5,1.0,True,False,flag
curvature/verdict_code_random,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,flag
curvature/verdict_code_update,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,False,False,flag
curvature/vhv_gradient,0.0067188824685241845,0.006763621826581733,0.007527410632094116,0.18790851584671836,0.4117483665121154,0.005960257640315991,0.008938704286526173,1.1203367029201101,1.0066587499137152,False,False,quadratic
curvature/vhv_random,0.003952754791367057,0.006466532129512809,0.004841934062839438,0.2216435561343714,0.5946599299582905,0.002749661879502834,0.005074055537418158,1.2249517914479229,1.6359558006572839,False,True,quadratic
curvature/vhv_update,0.0020787374892635643,0.0022130991095741094,0.0022894328416980816,0.2134562881980963,0.5791276310172406,0.0013052993685303874,0.002475525694285145,1.1013573640359757,1.064636165463175,False,False,quadratic
update/actual,0.0287426369805088,0.03278964773464414,0.018618656583476518,0.2838513795279487,0.6809233015177513,0.02337216612905945,0.04381415983187317,0.647771343878516,1.1408016514587627,True,False,update
update/direction_norm,0.0,0.0,0.0,,,0.0,0.0,,,False,False,update
update/loss_after,0.0002617592180019063,0.0002901919241714135,0.00031163909523395565,0.11371793152530976,0.2700257594775143,0.0002170703249600004,0.0002880289605546097,1.190556334989074,1.1086216041847288,True,True,update
update/loss_before,0.00025322333343225664,0.00023129695428193448,0.0002020613783639311,0.213704270406164,0.536870010416637,0.00019734403888918523,0.00033624160878526106,0.7979571851659057,0.9134109054915036,False,False,update
update/normalized_residual,0.8188901824563424,0.7354516184821289,0.7790267301895977,0.3667598154857378,0.9065950764678755,0.39297277375683903,1.160333897366036,0.951320148756491,0.8981077490464824,False,False,update
update/p1,0.0030229290984807866,0.0051438754474326335,0.004362076305095806,0.2928624352313046,0.7392101473663336,0.001729498304389631,0.004090641696428187,1.4429965649171281,1.7016196145710982,True,True,update
update/p2,0.004436130202204937,0.00796390033306418,0.0045669575637274,0.1783738753312723,0.47107568797584265,0.003316025046229418,0.005421161227668295,1.0294913258987386,1.7952359308808832,False,True,update
update/residual_p1,0.02550268033405366,0.037324996103698174,0.023123553122266008,0.1584701357351621,0.4328975075454251,0.020655907111504855,0.031692216544721236,0.9067106994000623,1.463571499732058,False,True,update
update/residual_p2,0.8403443918666782,0.8677431497462997,0.7784417547151612,0.36147136928889734,0.8570548070369112,0.42444045084931836,1.172494388299451,0.9263365856300759,1.0326042014973884,False,False,update
