metric,n_seeds,mean,sd,lo,hi,sd_rel,range_rel
curvature/Hg_norm,5,0.004694958121347762,0.0006333478808549817,0.003980123327993782,0.00554557164278896,0.1348995804616824,0.3334317952011448
curvature/arith_eps,5,65535.0,0.0,65535.0,65535.0,0.0,0.0
curvature/c_fd_gradient,5,0.04061808359303346,0.010025642918723612,0.026110807974087793,0.04883885921043503,0.24682707877540394,0.559554986987259
curvature/c_fd_random,5,771.1236851851852,377.95703025273355,448.70444444444445,1258.165,0.49013801224633274,1.0497155918134764
curvature/c_fd_update,5,2160.1415185185188,1482.7305673050616,955.6075925925927,4691.700000000001,0.6864043649889924,1.7295590938734966
curvature/curv_eps_gradient,5,9.068193792796235,0.8576246865100726,7.716855428717357,9.812056767631908,0.0945750285124441,0.231049466607008
curvature/curv_eps_random,5,1.2109999999999999,0.5276172855394332,0.7,1.9999999999999996,0.4356872712959812,1.0734929810074316
curvature/curv_eps_update,5,1.1533333333333333,0.5664705542999466,0.9,2.1666666666666665,0.4911594401444624,1.0982658959537572
curvature/curv_floor_gradient,5,663.8873005756108,119.45917154946207,571.2294848720408,863.4811051224258,0.1799389315714991,0.4402126987472028
curvature/curv_floor_random,5,48051.68937962849,26051.373423622023,7278.145353439318,65538.53732966649,0.5421531221890088,1.2124525220319655
curvature/curv_floor_update,5,53747.309538577916,26363.096572593513,6587.572794393229,65550.6347679969,0.4905007673671743,1.0970421120573872
curvature/curv_snr_gradient,5,0.9985079679364546,0.00020829219235890778,0.9982156835192597,0.9987671870025472,0.0002086034353730501,0.0005523275737370702
curvature/curv_snr_random,5,0.9469262129596954,0.005835531344618313,0.9411991277106715,0.9555296770879914,0.006162604081239743,0.015133755071082696
curvature/curv_snr_update,5,0.942371132394159,0.009574568702063474,0.934269358752533,0.9567487678679607,0.010160082766689404,0.023854093512305687
curvature/dhd,5,0.0020656302530178347,0.0004091125254138754,0.0014555171752035439,0.0025778644715191345,0.19805699728505238,0.5433437541282469
curvature/e_lin_gradient,5,10896.0712765705,267.12804469484297,10520.982740853413,11130.157362916292,0.02451599644628248,0.05590773101611124
curvature/e_lin_random,5,14794.918849661659,224.61058088730533,14491.13000627117,15012.69645250184,0.015181602763062258,0.03525307921797734
curvature/e_lin_update,5,14749.87589294748,209.95328385215907,14584.312090136045,15045.71750621374,0.014234240706563933,0.03128198633171625
curvature/e_sym_gradient,5,7661.249906382443,4281.335575423073,4260.199004023541,14570.051200429449,0.5588299073570715,1.3457141226808125
curvature/e_sym_random,5,14950.775640828215,3626.5362583145093,11397.35697567169,20942.62771207631,0.24256509129941123,0.6384465238270307
curvature/e_sym_update,5,21199.811485938368,13556.674793834385,10403.419088596871,42833.431595791524,0.6394714784528343,1.5297311737278971
curvature/eta_star,5,0.005898298684846077,0.0009213219844338703,0.004798000166397451,0.006860533378874023,0.15620131052381814,0.34968273440876046
curvature/eta_star_rho,5,0.002395319459047247,0.0005722912534067852,0.0016754275572826917,0.0031965720516991657,0.23892063801561464,0.6350486940984141
curvature/eta_star_rho_threshold,5,65535.0,0.0,65535.0,65535.0,0.0,0.0
curvature/fd_conclusive_gradient,5,1.0,0.0,1.0,1.0,0.0,0.0
curvature/fd_conclusive_random,5,1.0,0.0,1.0,1.0,0.0,0.0
curvature/fd_conclusive_update,2,1.0,0.0,1.0,1.0,0.0,0.0
curvature/fd_eps_gradient,5,28.999999999999993,0.0,28.999999999999996,28.999999999999996,0.0,0.0
curvature/fd_eps_random,5,0.26666666666666666,0.3651483716701107,0.0,0.6666666666666666,1.3693063937629153,2.5
curvature/fd_eps_update,5,0.13333333333333333,0.18257418583505536,0.0,0.3333333333333333,1.3693063937629153,2.5
curvature/fd_floor_gradient,5,2195.520595117169,10.38500560863709,2181.038619788006,2208.185314810921,0.004730087994498121,0.012364582269594396
curvature/fd_floor_random,5,117948.59721484638,71640.04086282365,65595.81117812525,196452.14751927307,0.6073835768672134,1.1094352915684929
curvature/fd_floor_update,5,91773.69315739536,35744.88886197621,65535.56198003123,131090.45327591524,0.38948948911397047,0.7143102673601125
curvature/fd_snr_gradient,5,0.9995427057023033,3.3444856190625305e-06,0.9995377379026058,0.99954612738535,3.3460157329772246e-06,8.39332096199016e-06
curvature/fd_snr_random,5,0.9987954481357152,5.5610788686207906e-05,0.998744876281078,0.9988821913869406,5.567785555091114e-05,0.00013748070850630215
curvature/fd_snr_update,5,0.9943016258956691,0.00024242206230373067,0.9939662016594493,0.9945546500288514,0.0002438113908195175,0.0005918207856413873
curvature/gHg,5,0.008757609920195895,0.0012831871146409782,0.006598843700805079,0.00977713653295756,0.14652252456253215,0.36291783501603914
curvature/gg,5,0.0016931434162945382,0.00035329159516041606,0.0013496617131256656,0.002266815326168265,0.20866017122967548,0.541686902725464
curvature/verdict_code_gradient,5,1.0,0.0,1.0,1.0,0.0,0.0
curvature/verdict_code_random,5,1.0,0.0,1.0,1.0,0.0,0.0
curvature/verdict_code_update,5,1.0,0.0,1.0,1.0,0.0,0.0
curvature/vhv_gradient,5,0.007233657467643028,0.0013592658388883324,0.005960257640315991,0.008938704286526173,0.18790851584671836,0.4117483665121154
curvature/vhv_random,5,0.003908778010447681,0.0008663554583754571,0.002749661879502834,0.005074055537418158,0.2216435561343714,0.5946599299582905
curvature/vhv_update,5,0.0020206708557477205,0.00043132490053797933,0.0013052993685303874,0.002475525694285145,0.2134562881980963,0.5791276310172406
update/actual,5,0.030020993050537886,0.00852150029219414,0.02337216612905945,0.04381415983187317,0.2838513795279487,0.6809233015177513
update/direction_norm,5,0.0,0.0,0.0,0.0,,
update/loss_after,5,0.0002627846903640251,2.9883331424715937e-05,0.0002170703249600004,0.0002880289605546097,0.11371793152530976,0.2700257594775143
update/loss_before,5,0.0002587173192786176,5.5288995957875555e-05,0.00019734403888918523,0.00033624160878526106,0.213704270406164,0.536870010416637
update/normalized_residual,5,0.8464210136667203,0.31043321479565744,0.39297277375683903,1.160333897366036,0.3667598154857378,0.9065950764678755
update/p1,5,0.0031941436416300082,0.0009354446853663518,0.001729498304389631,0.004090641696428187,0.2928624352313046,0.7392101473663336
update/p2,5,0.004468785452470285,0.0007971145791811379,0.003316025046229418,0.005421161227668295,0.1783738753312723,0.47107568797584265
update/residual_p1,5,0.025494047068539222,0.004040045099390022,0.020655907111504855,0.031692216544721236,0.1584701357351621,0.4328975075454251
update/residual_p2,5,0.8728192541575883,0.31549917094205754,0.42444045084931836,1.172494388299451,0.36147136928889734,0.8570548070369112
