metric,mclass,n_runs,rho_pooled,p_pooled,rho_run_median,rho_run_min,rho_run_max,n_runs_positive,median_abs_rel_early,median_abs_rel_late,late_over_early
curvature/c_fd_gradient,error,7,-0.6641160079965136,0.0,-0.6781417112299466,-0.8991935483870968,-0.5385984427141268,0,0.07338101453715185,0.016958748375343953,0.2311053953438864
curvature/c_fd_random,error,7,0.37400183305705154,0.0,0.3142857142857142,0.29516129032258065,0.5916803503010399,7,388.3025,2651.0,6.827151512029925
curvature/c_fd_update,error,7,0.4244017474203196,0.0,0.44017379679144386,0.18475073313782991,0.6209121245828698,7,1044.62,7875.0,7.538626486186365
curvature/e_lin_gradient,error,7,0.34392218942405867,0.0,0.3619577308120133,0.21189839572192515,0.4117908787541713,7,10498.557576593983,10715.696261962044,1.0206827160573144
curvature/e_lin_random,error,7,-0.670231822730832,0.0,-0.7962180200222468,-0.883355614973262,-0.7499443826473859,0,15192.853575537958,13290.508977340165,0.8747868799801533
curvature/e_lin_update,error,7,-0.802526774455571,0.0,-0.8852057842046718,-0.9047459893048129,-0.8324780058651026,0,15973.655843299988,12971.70952651521,0.8120689248451588
curvature/e_sym_gradient,error,7,0.03080068741640806,0.6535,0.028253615127919914,-0.2697947214076246,0.21423804226918797,4,8743.888723025075,5654.552560036632,0.6466862444333987
curvature/e_sym_random,error,7,-0.1428702147028313,0.0373,-0.18783422459893048,-0.6865835777126099,0.21690767519466073,3,14030.704505419377,9451.64543517671,0.673640117752177
curvature/e_sym_update,error,7,-0.5441559444607481,0.0,-0.5492769744160179,-0.7281423804226919,-0.34959893048128343,0,27201.061288052428,5840.580187338356,0.2147188348825097
curvature/fd_conclusive_gradient,flag,0,,,,,,0,1.0,1.0,1.0
curvature/fd_conclusive_random,flag,0,,,,,,0,1.0,1.0,1.0
curvature/fd_conclusive_update,flag,0,,,,,,0,1.0,,
curvature/verdict_code_gradient,flag,0,0.2792701396611958,0.144,,,,0,1.0,,
curvature/verdict_code_random,flag,2,-0.10733762188985689,0.1163,-0.21148264462361718,-0.23769831458921464,-0.18526697465801972,0,1.0,1.0,1.0
curvature/verdict_code_update,flag,1,0.0022032578798345795,0.995,0.010727086497211297,0.010727086497211297,0.010727086497211297,1,1.0,1.0,1.0
curvature/arith_eps,floor,0,,,,,,0,65535.0,65535.0,1.0
curvature/curv_eps_gradient,floor,7,0.9085598725727232,0.0,0.9492382689109078,0.7965226405519055,0.9704924955722417,7,6.110867338960594,23.66942681640951,3.8733334408197897
curvature/curv_eps_random,floor,7,-0.019578095717755553,0.7783,0.04681309135601613,-0.43942769640897217,0.15612767355028045,4,0.935,0.97,1.0374331550802138
curvature/curv_eps_update,floor,7,-0.15024712743187812,0.0283,-0.15278748011097373,-0.35024436078501814,0.00980251090564004,1,0.97,0.9,0.9278350515463918
curvature/curv_floor_gradient,floor,7,-0.9007197789739612,0.0,-0.9231283422459894,-0.9599555061179088,-0.7846496106785317,0,1315.9660554481156,108.83904829384198,0.08270657730360673
curvature/curv_floor_random,floor,7,0.07419108863571948,0.2747,0.009121245828698554,-0.06918798665183537,0.4829545454545455,4,65520.296535569054,65504.39201101728,0.999757258049906
curvature/curv_floor_update,floor,7,0.2220660300879614,0.0013,0.25294771968854285,-0.07111436950146627,0.5256952169076751,6,65524.81195421664,65565.34531502481,1.0006185956067526
curvature/eta_star_rho_threshold,floor,0,,,,,,0,65535.0,65535.0,1.0
curvature/fd_eps_gradient,floor,7,0.7707811225213855,0.0,0.7995945308992042,0.7109994311514178,0.8697368586652577,7,28.999999999999996,28.999999999999996,1.0
curvature/fd_eps_random,floor,7,0.4764111393255516,0.0,0.4742583585380423,0.3700687332175712,0.641067570324486,7,0.0,0.9,
curvature/fd_eps_update,floor,7,0.38724305529344627,0.0,0.4068897393951885,0.1986575691915187,0.5314317532452549,7,0.0,0.6666666666666666,
curvature/fd_floor_gradient,floor,7,-0.5695183392727652,0.0,-0.5724137931034483,-0.7583982202447163,-0.2667112299465241,0,2205.5165406235974,2203.11257518353,0.9989100215773546
curvature/fd_floor_random,floor,7,0.47906370025795814,0.0,0.49187986651835364,0.35661846496106786,0.625668449197861,7,65571.78289134757,654257.1684017484,9.977724251998033
curvature/fd_floor_update,floor,7,0.37317037292242444,0.0,0.3779325513196481,0.17908787541713014,0.5350935828877006,7,65630.61166524776,196481.12782032692,2.9937421400624573
curvature/Hg_norm,quadratic,7,0.1145706829567971,0.0957,0.13746334310850436,0.0020022246941045607,0.19288097886540603,7,0.005074324506105604,0.0053240082985777015,1.0492053261811831
