metric,run,depth,seed,run_median_abs_relative
curvature/Hg_norm,d12-s10,12,10,0.005046332177312522
curvature/Hg_norm,d12-s11,12,11,0.0047042288801619949
curvature/Hg_norm,d12-s7,12,7,0.0055455716427889601
curvature/Hg_norm,d12-s8,12,8,0.0039801233279937818
curvature/Hg_norm,d12-s9,12,9,0.0041985345784815494
curvature/Hg_norm,d14-s7,14,7,0.0067665929809146248
curvature/Hg_norm,d16-s7,16,7,0.0062799572159625396
curvature/arith_eps,d12-s10,12,10,65535
curvature/arith_eps,d12-s11,12,11,65535
curvature/arith_eps,d12-s7,12,7,65535
curvature/arith_eps,d12-s8,12,8,65535
curvature/arith_eps,d12-s9,12,9,65535
curvature/arith_eps,d14-s7,14,7,65535
curvature/arith_eps,d16-s7,16,7,65535
curvature/c_fd_gradient,d12-s10,12,10,0.048838859210435029
curvature/c_fd_gradient,d12-s11,12,11,0.026110807974087793
curvature/c_fd_gradient,d12-s7,12,7,0.034346040215913559
curvature/c_fd_gradient,d12-s8,12,8,0.048602469952692018
curvature/c_fd_gradient,d12-s9,12,9,0.045192240612038907
curvature/c_fd_gradient,d14-s7,14,7,0.03366390048495934
curvature/c_fd_gradient,d16-s7,16,7,0.028345208228800656
curvature/c_fd_random,d12-s10,12,10,497.83333333333331
curvature/c_fd_random,d12-s11,12,11,1099.0000000000002
curvature/c_fd_random,d12-s7,12,7,448.70444444444445
curvature/c_fd_random,d12-s8,12,8,551.91564814814819
curvature/c_fd_random,d12-s9,12,9,1258.165
curvature/c_fd_random,d14-s7,14,7,620.13333333333333
curvature/c_fd_random,d16-s7,16,7,3136.9583333333335
curvature/c_fd_update,d12-s10,12,10,1454.2
curvature/c_fd_update,d12-s11,12,11,4691.7000000000007
curvature/c_fd_update,d12-s7,12,7,955.60759259259271
curvature/c_fd_update,d12-s8,12,8,2198.2000000000003
curvature/c_fd_update,d12-s9,12,9,1501.0000000000002
curvature/c_fd_update,d14-s7,14,7,1245.6666666666665
curvature/c_fd_update,d16-s7,16,7,5714
curvature/curv_eps_gradient,d12-s10,12,10,7.7168554287173574
curvature/curv_eps_gradient,d12-s11,12,11,9.8120567676319084
curvature/curv_eps_gradient,d12-s7,12,7,9.8120567676319084
curvature/curv_eps_gradient,d12-s8,12,8,9
curvature/curv_eps_gradient,d12-s9,12,9,9
curvature/curv_eps_gradient,d14-s7,14,7,12.665308771803414
curvature/curv_eps_gradient,d16-s7,16,7,12.512001548070344
curvature/curv_eps_random,d12-s10,12,10,0.96999999999999997
curvature/curv_eps_random,d12-s11,12,11,0.90000000000000002
curvature/curv_eps_random,d12-s7,12,7,1.9999999999999996
curvature/curv_eps_random,d12-s8,12,8,1.4849999999999999
curvature/curv_eps_random,d12-s9,12,9,0.69999999999999996
curvature/curv_eps_random,d14-s7,14,7,1.4849999999999999
curvature/curv_eps_random,d16-s7,16,7,0.96999999999999997
curvature/curv_eps_update,d12-s10,12,10,0.90000000000000002
curvature/curv_eps_update,d12-s11,12,11,0.90000000000000002
curvature/curv_eps_update,d12-s7,12,7,2.1666666666666665
curvature/curv_eps_update,d12-s8,12,8,0.90000000000000002
curvature/curv_eps_update,d12-s9,12,9,0.90000000000000002
curvature/curv_eps_update,d14-s7,14,7,1.4849999999999999
curvature/curv_eps_update,d16-s7,16,7,0.96999999999999997
curvature/curv_floor_gradient,d12-s10,12,10,863.48110512242579
curvature/curv_floor_gradient,d12-s11,12,11,571.22948487204076
curvature/curv_floor_gradient,d12-s7,12,7,571.39687402259699
curvature/curv_floor_gradient,d12-s8,12,8,656.68580096438427
curvature/curv_floor_gradient,d12-s9,12,9,656.64323789660602
curvature/curv_floor_gradient,d14-s7,14,7,376.61523813211932
curvature/curv_floor_gradient,d16-s7,16,7,360.50757504764948
curvature/curv_floor_random,d12-s10,12,10,65513.312189970427
curvature/curv_floor_random,d12-s11,12,11,65533.89441812814
curvature/curv_floor_random,d12-s7,12,7,7278.1453534393177
curvature/curv_floor_random,d12-s8,12,8,36394.557606938099
curvature/curv_floor_random,d12-s9,12,9,65538.537329666491
curvature/curv_floor_random,d14-s7,14,7,36390.20367276363
curvature/curv_floor_random,d16-s7,16,7,65513.37764508788
