metric,d12_median,d14_median,d16_median,d12_seed_min,d12_seed_max,d12_seed_iqr,d16_minus_d12,d16_to_d12_ratio,d16_gt_d12,d16_lt_d12,strict_monotonic_increase,strict_monotonic_decrease,d16_above_all_d12_seeds
curvature/Hg_norm,0.0044340376601091757,0.0067665929809146248,0.0062799572159625396,0.0039801233279937818,0.0055455716427889601,0.00084779759883097262,0.0018459195558533639,1.4163066932110615,True,False,False,False,True
curvature/arith_eps,65535,65535,65535,65535,65535,0,0,1,False,False,False,False,False
curvature/c_fd_gradient,0.042542543571615729,0.03366390048495934,0.028345208228800656,0.026110807974087793,0.048838859210435029,0.014256429736778459,-0.014197335342815073,0.66627911377900084,False,True,False,True,False
curvature/c_fd_random,654.64814814814815,620.13333333333333,3136.9583333333335,448.70444444444445,1258.165,601.16666666666697,2482.3101851851852,4.7918234279086871,True,False,False,False,True
curvature/c_fd_update,1871,1245.6666666666665,5714,955.60759259259271,4691.7000000000007,744.00000000000023,3843,3.053981827899519,True,False,False,False,True
curvature/curv_eps_gradient,9,12.665308771803414,12.512001548070344,7.7168554287173574,9.8120567676319084,0.81205676763190837,3.5120015480703444,1.3902223942300382,True,False,False,False,True
curvature/curv_eps_random,0.93500000000000005,1.4849999999999999,0.96999999999999997,0.69999999999999996,1.9999999999999996,0.58499999999999985,0.03499999999999992,1.0374331550802138,True,False,False,False,False
curvature/curv_eps_update,0.90000000000000002,1.4849999999999999,0.96999999999999997,0.90000000000000002,2.1666666666666665,0,0.069999999999999951,1.0777777777777777,True,False,False,False,False
curvature/curv_floor_gradient,656.46381599742426,376.61523813211932,360.50757504764948,571.22948487204076,863.48110512242579,85.288926941787281,-295.95624094977478,0.54916594983974565,False,True,False,True,False
curvature/curv_floor_random,65526.244789892065,36390.20367276363,65513.37764508788,7278.1453534393177,65538.537329666491,29139.336811190042,-12.867144804185955,0.99980363372194692,False,True,False,False,False
curvature/curv_floor_update,65534.24596565876,36404.652536018642,728191.15985730384,6587.5727943932288,65550.634767996904,19.447631560826267,662656.91389164503,11.111612701531508,True,False,False,False,True
curvature/curv_snr_gradient,0.99850239055510359,0.99719130094549668,0.99729524985880602,0.99821568351925971,0.99876718700254719,0.00017806594272795628,-0.0012071406962975706,0.99879104876691738,False,True,False,False,False
curvature/curv_snr_random,0.94635551255224426,0.94121312645821253,0.94384667984537152,0.94119912771067149,0.95552967708799141,0.0069844849100499928,-0.0025088327068727434,0.99734895324896811,False,True,False,False,False
curvature/curv_snr_update,0.9426407858423318,0.95486760428921724,0.93809672794495302,0.93426935875253303,0.9567487678679607,0.011949737736937194,-0.0045440578973787726,0.99517943848215917,False,True,False,False,False
curvature/dhd,0.0021818296381929496,0.0019650569247264861,0.0023682914662788712,0.0014555171752035439,0.0025778644715191345,0.00022831656513802026,0.00018646182808592163,1.0854612224629758,True,False,False,False,False
curvature/e_lin_gradient,10829.539601920969,9354.0798355498555,9234.4483261184123,10520.982740853413,11130.157362916292,395.00228731334937,-1595.091275802557,0.85270922546701655,False,True,False,True,False
curvature/e_lin_random,14852.037273095602,12344.385785162751,11473.67004573689,14491.130006271171,15012.696452501839,333.899258699048,-3378.3672273587126,0.77253172980661655,False,True,False,True,False
curvature/e_lin_update,14875.840430145588,11226.888869244165,11611.852098021345,14584.312090136045,15045.717506213739,300.40156523936457,-3263.9883321242432,0.78058460982750011,False,True,False,False,False
curvature/e_sym_gradient,6282.0648465422564,5428.2348317370652,21465.419894810595,4260.1990040235414,14570.051200429449,4219.5878752549042,15183.355048268339,3.4169370134129524,True,False,False,False,True
curvature/e_sym_random,13655.520812891795,5324.505501404813,15566.023942714957,11397.35697567169,20942.627712076312,1981.2298693016128,1910.5031298231625,1.1399070131414915,True,False,False,False,False
curvature/e_sym_update,16432.022704151401,11598.645496274783,7831.9199893932846,10403.419088596871,42833.431595791524,14610.567662977273,-8600.1027147581153,0.47662543622305376,False,True,False,True,False
curvature/eta_star,0.0058532136407149649,0.0066438326184145345,0.0068266107224549547,0.0047980001663974507,0.0068605333788740227,0.0015734578937328832,0.00097339708173998975,1.1663013075362632,True,False,True,False,False
