metric,n_pairs,n_relative,n_shadow_zero,signed_relative_q1,signed_relative_median,signed_relative_q3,absolute_relative_q1,absolute_relative_median,absolute_relative_q3,absolute_difference_q1,absolute_difference_median,absolute_difference_q3,shadow_absolute_q1,shadow_absolute_median,shadow_absolute_q3,sign_disagreements,sign_disagreement_fraction,exact_agreements
curvature/Hg_norm,215,215,0,-0.0060871935143873741,-0.00034475671165119055,0.0044215951175572768,0.0014418999426859655,0.00524338310545384,0.012763582425186885,0.014686462719852855,0.12254732217774844,0.39499201708516907,6.250069287654906,15.62346437494211,69.747689512489217,0,0,0
curvature/arith_eps,215,215,0,65535,65535,65535,65535,65535,65535,0.0078123807907104492,0.0078123807907104492,0.0078123807907104492,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,0,0,0
curvature/c_fd_gradient,215,215,0,-0.050709270999821546,-0.010173333333333499,0.025433516282249692,0.014791174824219839,0.03939627277983402,0.10337533203417662,0.047542079141708271,0.14973444508493294,0.25379410748707532,1.5396201604253297,3.3986953814540413,11.124915327841071,12,0.055813953488372092,0
curvature/c_fd_random,215,209,6,-1243,-1.5634249999999994,497.83333333333331,40.233333333333327,688.2399999999999,8464.0000000000018,0.20397901535034177,1.8106566535101998,23.121303982204861,0.00019073486328124997,0.0035762786865234375,0.039736429850260414,114,0.53023255813953485,0
curvature/c_fd_update,215,210,5,-2195.4500000000003,-3.4551999999999996,1396.6250000000002,97.726874999999993,1853.5,36082.796296296299,0.18285777833726669,2.4986876381768122,19.342568185594345,7.7486038208007799e-05,0.00066227383083767362,0.016159481472439237,107,0.49767441860465117,0
curvature/curv_eps_gradient,215,215,0,4.7735026918962582,10.624113535263817,21.946028731979947,4.7735026918962582,10.624113535263817,21.946028731979947,0.082679491924311233,0.091397193455085235,0.095617224166538006,0.0043827758334620028,0.0086028065449147775,0.017320508075688773,0,0,24
curvature/curv_eps_random,215,215,0,-0.66666666666666663,0,9,0,0.96999999999999997,9,0,0.027,0.090000000000000011,0.0030000000000000001,0.01,0.029999999999999999,0,0,58
curvature/curv_eps_update,215,215,0,-0.70000000000000007,0,2.3333333333333335,0.66666666666666663,0.90000000000000002,2.3333333333333335,0.0070000000000000001,0.027,0.090000000000000011,0.0030000000000000001,0.029999999999999999,0.10000000000000001,0,0,50
curvature/curv_floor_gradient,215,215,0,127.75756300330065,486.62644354965062,1966.9283725762525,127.75756300330065,486.62644354965062,1966.9283725762525,4.9572923628401799,5.9762967356789423,14.441654460445669,0.0055889128848817908,0.011539418387776935,0.041234078803075377,0,0,0
curvature/curv_floor_random,215,215,0,654.76485281575196,65520.174481836235,589859.29041507957,654.76485281575196,65520.174481836235,589859.29041507957,16.861744575052736,168.26707422044115,2741.748900547394,0.00075597589620378532,0.0081375247873438639,0.08693053625089911,0,0,0
curvature/curv_floor_update,215,215,0,5892.8860378020117,65535.188134152864,728188.7077856859,5892.8860378020117,65535.188134152864,728188.7077856859,31.93655506377884,73.797570826393951,715.11809994449186,0.00023114129419354862,0.0015992354620822072,0.079144900805911467,0,0,0
curvature/curv_snr_gradient,215,215,0,-0.99943196754494779,-0.9983636847940468,-0.99312054469760613,0.99312054469760613,0.9983636847940468,0.99943196754494779,257.47439839549315,279.34225207829286,300.93178311236909,258.48341862853295,281.04236132516979,302.33416455015606,0,0,0
curvature/curv_snr_random,215,209,6,-0.97834287905822914,-0.94503875455996766,-0.91146717620082418,0.91146717620082418,0.94503875455996766,0.97834287905822914,0.25955243476364842,0.41526877626349878,0.56754656628044664,0.29904039640200719,0.44242008891675777,0.60744085914174217,6,0.027906976744186046,0
curvature/curv_snr_update,215,210,5,-0.98038341042973809,-0.94474586464894927,-0.8948194435464748,0.8948194435464748,0.94474586464894927,0.98038341042973809,0.20964639304282695,0.36938835018994515,0.53268056417993959,0.24119449728750764,0.38473385093744566,0.58838622350358283,5,0.023255813953488372,0
curvature/dhd,215,215,0,-0.001957268833481597,-6.1330687638779872e-05,0.002556272711178499,0.00099528153184470216,0.0021877620769877822,0.0038753326770942726,2.0346077738828475e-05,9.8399618931765964e-05,0.00030253608356021339,0.0097965569602881369,0.067135808457644747,0.14171157952336,0,0,0
