metric,run,depth,seed,n,spearman_abs_relative_vs_progress,early_median_abs_relative,late_median_abs_relative
curvature/Hg_norm,d12-s10,12,10,30,0.19288097886540603,0.0041065822827586231,0.0050081666060761776
curvature/Hg_norm,d12-s11,12,11,30,0.1546162402669633,0.0023697549207034405,0.0063767930444512512
curvature/Hg_norm,d12-s7,12,7,30,0.15639599555061176,0.0023635532836610122,0.0044429411012323651
curvature/Hg_norm,d12-s8,12,8,30,0.0020022246941045607,0.0039374877597620518,0.0020170663181109639
curvature/Hg_norm,d12-s9,12,9,30,0.054505005561735265,0.0035121304666202221,0.0031300441425026072
curvature/Hg_norm,d14-s7,14,7,32,0.13746334310850436,0.0045992433302870775,0.0057419135991411598
curvature/Hg_norm,d16-s7,16,7,33,0.1360294117647059,0.0029836837490420727,0.0079951778214528545
curvature/arith_eps,d12-s10,12,10,30,,65535,65535
curvature/arith_eps,d12-s11,12,11,30,,65535,65535
curvature/arith_eps,d12-s7,12,7,30,,65535,65535
curvature/arith_eps,d12-s8,12,8,30,,65535,65535
curvature/arith_eps,d12-s9,12,9,30,,65535,65535
curvature/arith_eps,d14-s7,14,7,32,,65535,65535
curvature/arith_eps,d16-s7,16,7,33,,65535,65535
curvature/c_fd_gradient,d12-s10,12,10,30,-0.54660734149054502,0.11460389361751383,0.042605014889201792
curvature/c_fd_gradient,d12-s11,12,11,30,-0.7290322580645161,0.11839765059227905,0.0067612147647803256
curvature/c_fd_gradient,d12-s7,12,7,30,-0.74371523915461613,0.10627455344841992,0.024011060335161295
curvature/c_fd_gradient,d12-s8,12,8,30,-0.6106785317018909,0.10821774351373216,0.015492439594214685
curvature/c_fd_gradient,d12-s9,12,9,30,-0.53859844271412682,0.084617824426479277,0.048605822204368626
curvature/c_fd_gradient,d14-s7,14,7,32,-0.89919354838709675,0.13653697904543791,0.0052007138466503861
curvature/c_fd_gradient,d16-s7,16,7,33,-0.6781417112299466,0.080140190497069441,0.010489870085118772
curvature/c_fd_random,d12-s10,12,10,29,0.30344827586206891,149.00000000000003,3058.4166666666665
curvature/c_fd_random,d12-s11,12,11,29,0.31428571428571422,385.5,96648.222222222234
curvature/c_fd_random,d12-s7,12,7,28,0.59168035030103994,37.394999999999996,4267.7962962962965
curvature/c_fd_random,d12-s8,12,8,30,0.29744160177975526,227.74499999999998,2481.2199999999998
curvature/c_fd_random,d12-s9,12,9,30,0.35483870967741932,607,526.65750000000003
curvature/c_fd_random,d14-s7,14,7,31,0.29516129032258065,396.76499999999999,24953.875
curvature/c_fd_random,d16-s7,16,7,32,0.50219941348973607,38.999999999999993,2276.7645833333331
curvature/c_fd_update,d12-s10,12,10,29,0.3344827586206896,1194.9999999999998,19686.759259259263
curvature/c_fd_update,d12-s11,12,11,30,0.62091212458286982,75.100555555555559,73505.000000000015
curvature/c_fd_update,d12-s7,12,7,28,0.50574712643678166,81.124999999999986,51017.666666666672
curvature/c_fd_update,d12-s8,12,8,29,0.31674876847290634,2380.125,18970.500000000004
curvature/c_fd_update,d12-s9,12,9,29,0.54532019704433488,289.99999999999994,5827.833333333333
curvature/c_fd_update,d14-s7,14,7,32,0.18475073313782991,1535.905,2531.9583333333335
curvature/c_fd_update,d16-s7,16,7,33,0.44017379679144386,745.22222222222217,851217.66666666674
curvature/curv_eps_gradient,d12-s10,12,10,30,0.96530734345179026,5.198440256650759,23.669426816409509
curvature/curv_eps_gradient,d12-s11,12,11,30,0.79652264055190558,4.0802080342022835,25.672724316396049
curvature/curv_eps_gradient,d12-s7,12,7,30,0.93962667312988202,4.7735026918962582,23.669426816409509
curvature/curv_eps_gradient,d12-s8,12,8,30,0.94889838529189929,4.7735026918962582,20.222630647550385
curvature/curv_eps_gradient,d12-s9,12,9,30,0.97049249557224182,3.7097961023826631,23.669426816409509
curvature/curv_eps_gradient,d14-s7,14,7,32,0.95239051167710254,4.7735026918962582,32.333333333333336
curvature/curv_eps_gradient,d16-s7,16,7,33,0.94923826891090779,5.6233778214052599,32.333333333333336
curvature/curv_eps_random,d12-s10,12,10,30,0.090485311558098039,0.83499999999999996,1.4849999999999999
curvature/curv_eps_random,d12-s11,12,11,30,-0.027467061013130387,0.90000000000000002,0.80000000000000004
curvature/curv_eps_random,d12-s7,12,7,30,-0.01711315046925118,5.5,1.4849999999999999
curvature/curv_eps_random,d12-s8,12,8,30,0.046813091356016134,1.6516666666666668,4.9500000000000002
curvature/curv_eps_random,d12-s9,12,9,30,0.15612767355028045,0.80000000000000004,2.1666666666666665
curvature/curv_eps_random,d14-s7,14,7,32,0.057921959643465651,0.90000000000000002,0.93500000000000005
curvature/curv_eps_random,d16-s7,16,7,33,-0.43942769640897211,2.3333333333333335,1.3499999999999999
curvature/curv_eps_update,d12-s10,12,10,30,-0.15278748011097373,0.93500000000000005,0.80000000000000004
curvature/curv_eps_update,d12-s11,12,11,30,-0.35024436078501814,2.1666666666666665,0.45000000000000001
curvature/curv_eps_update,d12-s7,12,7,30,-0.27033136717400696,2.3333333333333335,0.80000000000000004
curvature/curv_eps_update,d12-s8,12,8,30,-0.074407442584931274,0.90000000000000002,0.93500000000000005
curvature/curv_eps_update,d12-s9,12,9,30,-0.17634054839257429,1.9999999999999996,0.48499999999999999
curvature/curv_eps_update,d14-s7,14,7,32,0.0098025109056400425,0.90000000000000002,0.80000000000000004
curvature/curv_eps_update,d16-s7,16,7,33,-0.038647984975617583,0.96999999999999997,0.93500000000000005
curvature/curv_floor_gradient,d12-s10,12,10,30,-0.95061179087875403,1731.519968669938,108.71835202930308
