metric,n_runs,n_nonconstant_run_correlations,spearman_q1_across_runs,spearman_median_across_runs,spearman_q3_across_runs,runs_positive_spearman,runs_negative_spearman,early_q1_across_runs,early_median_across_runs,early_q3_across_runs,late_q1_across_runs,late_median_across_runs,late_q3_across_runs,late_minus_early,late_to_early_ratio
curvature/Hg_norm,7,7,0.095267208663220582,0.13746334310850436,0.15550611790878754,7,0,0.0026767193348727564,0.0035121304666202221,0.0040220350212603374,0.0037864926218674861,0.0050081666060761776,0.006059353321796206,0.0014960361394559555,1.4259625756145713
curvature/arith_eps,7,0,,,,0,0,65535,65535,65535,65535,65535,65535,0,1
curvature/c_fd_gradient,7,7,-0.73637374860956606,-0.6781417112299466,-0.57864293659621802,0,7,0.095446188937449605,0.10821774351373216,0.11650077210489644,0.0086255424249495477,0.015492439594214685,0.03330803761218154,-0.092725303919517471,0.14315988387106585
curvature/c_fd_random,7,7,0.30044493882091206,0.31428571428571422,0.42851906158357767,7,0,94.000000000000014,227.74499999999998,391.13249999999999,2378.9922916666665,3058.4166666666665,14610.835648148148,2830.6716666666666,13.429127606167718
curvature/c_fd_update,7,7,0.325615763546798,0.44017379679144386,0.52553366174055827,7,0,185.56249999999997,745.22222222222217,1365.4524999999999,12399.166666666668,19686.759259259263,62261.333333333343,18941.53703703704,26.417300332985445
curvature/curv_eps_gradient,7,7,0.9442625292108906,0.94923826891090779,0.9588489275644464,7,0,4.4268553630492704,4.7735026918962582,4.9859714742735086,23.669426816409509,23.669426816409509,29.003028824864693,18.89592412451325,4.9585028739151937
curvature/curv_eps_random,7,7,-0.022290105741190783,0.046813091356016134,0.074203635600781845,4,3,0.86749999999999994,0.90000000000000002,1.9925000000000002,1.1425000000000001,1.4849999999999999,1.8258333333333332,0.58499999999999985,1.6499999999999999
curvature/curv_eps_update,7,7,-0.22333595778329063,-0.15278748011097373,-0.056527713780274429,1,6,0.91749999999999998,0.96999999999999997,2.083333333333333,0.64250000000000007,0.80000000000000004,0.86750000000000005,-0.16999999999999993,0.82474226804123718
curvature/curv_floor_gradient,7,7,-0.94327030033370396,-0.92312834224598939,-0.91948882596824744,0,7,1849.2371938481469,1967.2859286657404,2327.0583861988239,77.8353543195349,108.66750400720454,108.81681717648877,-1858.6184246585358,0.055237269999132969
curvature/curv_floor_random,7,7,-0.041850793811305492,0.0091212458286985543,0.084538375973303659,4,3,20805.210529757489,65519.345640071282,65532.59055543883,34759.847938346706,36408.641144962392,182087.10355100417,-29110.70449510889,0.55569299096746572
