progress,d12_lo,d12_hi,d12_med,d12_range_rel,d12_sd_rel,d14,d16,d14_out,d16_out,d14_dir,d16_dir,d14_rel,d16_rel
0.05,0.05006466247141361,0.058052513748407364,0.05706275627017021,0.13998362152669855,0.05954451873765492,0.04071802273392677,0.03509623184800148,True,True,below,below,-0.2864343506096587,-0.38495379224525506
0.1,0.04304231330752373,0.04579186253249645,0.04544433020055294,0.06050368027955377,0.024608882664033032,0.04028031602501869,0.04146874509751797,True,True,below,below,-0.11363384943170352,-0.08748253270518225
0.15,0.04308953322470188,0.04441199079155922,0.04354334995150566,0.030371057080591235,0.013605163250288,0.0452670082449913,0.04249529913067818,True,True,above,below,0.039584880249344145,-0.024069136205521646
0.2,0.04808266647160053,0.05109523795545101,0.049901263788342476,0.06037064505276621,0.024307483516274497,0.04881512001156807,0.04329351335763931,False,True,in,below,-0.021765857100960684,-0.13241649467496674
0.25,0.05164054222404957,0.05433708056807518,0.05263936147093773,0.051226653756322155,0.018427717783592066,0.0487467460334301,0.04390517808496952,True,True,below,below,-0.07394875866145811,-0.1659249493516437
0.3,0.05294454097747803,0.055058738216757774,0.053393613547086716,0.039596444196744254,0.015422829530864863,0.04838491976261139,0.04330639727413654,True,True,below,below,-0.09380698274070298,-0.1889217755238548
0.35,0.04975214786827564,0.054289160296320915,0.0515524223446846,0.08800774477114497,0.03786531639532401,0.04603666439652443,0.04187179170548916,True,True,below,below,-0.10699318668832414,-0.18778226509842322
0.4,0.047357652336359024,0.049115175381302834,0.04846020229160786,0.03626734850110542,0.014546014271367792,0.04451165348291397,0.0400860421359539,True,True,below,below,-0.08148023784410985,-0.17280489473119998
0.45,0.04634722135961056,0.047952769324183464,0.04701295867562294,0.03415117894729335,0.012911851466952631,0.0418810099363327,0.03775838389992714,True,True,below,below,-0.10916030141177324,-0.19685157106469164
0.5,0.04184395261108875,0.04388117045164108,0.043775491416454315,0.04653786341703023,0.020046017606882127,0.038816407322883606,0.0356943067163229,True,True,below,below,-0.11328448712072459,-0.18460523088711378
0.55,0.03989666514098644,0.040169110521674156,0.03993313945829868,0.006822538482661061,0.002779913467622846,0.036071375012397766,0.033223699778318405,True,True,below,below,-0.0967057561285326,-0.16801683441360282
0.6,0.036565838381648064,0.037161778658628464,0.036677366122603416,0.016248175373016652,0.006968773570624876,0.03387023136019707,0.0320354662835598,True,True,below,below,-0.07653588736505201,-0.12656033760785568
0.65,0.034072669222950935,0.034702692180871964,0.034372078254818916,0.018329498532219237,0.007972433808475607,0.03237012401223183,0.031005059368908405,True,True,below,below,-0.05824361936294664,-0.0979579663745953
0.7,0.032891036942601204,0.033720703795552254,0.033065300434827805,0.02509176816906096,0.009961356894036513,0.03166594356298447,0.030618133023381233,True,True,below,below,-0.04232100883527401,-0.07401013688866898
0.75,0.03165109641849995,0.03248327784240246,0.03218857944011688,0.025853313143274576,0.010297794100879555,0.03086869977414608,0.029863604344427586,True,True,below,below,-0.041004595074668804,-0.07222981368328607
0.8,0.03143911436200142,0.03185863047838211,0.0315349567681551,0.013303208863261575,0.005106196201425775,0.03043372556567192,0.029531794600188732,True,True,below,below,-0.03492096756559471,-0.06352195700452701
0.85,0.030874292366206646,0.03099468443542719,0.030963650904595852,0.0038881742205236344,0.0017796391250443479,0.030273117125034332,0.029494568705558777,True,True,below,below,-0.022301432789342823,-0.04744538050643843
0.9,0.03057737648487091,0.03101975843310356,0.030870402231812477,0.014330294270567314,0.005802257603649285,0.030537039041519165,0.029544731602072716,True,True,below,below,-0.010798796458498239,-0.04294309545385955
0.95,0.030291888862848282,0.030852995812892914,0.030684842728078365,0.01828612761737206,0.006903286413493959,0.03032752498984337,0.029509793035686016,False,True,in,below,-0.011644763553180337,-0.03829414094787298
1.0,0.030471041798591614,0.030942022800445557,0.030836417339742184,0.015273531832990838,0.00661647483210462,0.030485201627016068,0.029693998396396637,False,True,in,below,-0.011389640659502542,-0.03704771960889208
