step,zeros_dropped,prog_d12,prog_d16,d12_lo,d12_med,d12_hi,d14,d16,d14_rel,d16_rel,d14_out,d16_out
1,405,0.0003968253968253968,0.00018601190476190475,0.1217738650739193,0.1231050081551075,0.1256166435778141,0.12407777458429337,0.12308767437934875,0.007901924087119427,-0.00014080479761557907,False,False
2,0,0.0007936507936507937,0.0003720238095238095,0.012100626714527607,0.012809183914214373,0.013645585626363754,0.010616851970553398,0.010769200045615435,-0.17115313187346304,-0.15925947213039582,True,True
3,0,0.0011904761904761906,0.0005580357142857143,0.06318782642483711,0.06660949811339378,0.0699414573609829,0.06184673309326172,0.06334676221013069,-0.07150279096870082,-0.04898304289440403,True,False
5,0,0.001984126984126984,0.0009300595238095238,0.12039472907781601,0.1213923804461956,0.1232500784099102,0.11853784322738647,0.12127642706036568,-0.023514962045532495,-0.0009551949257747827,True,False
9,0,0.0035714285714285713,0.0016741071428571428,0.1267489492893219,0.1302279531955719,0.13444574177265167,0.12445192039012909,0.13456250727176666,-0.04435324877423641,0.033284359999771196,True,True
17,0,0.006746031746031746,0.003162202380952381,0.11764295399188995,0.1208493672311306,0.13753009587526321,0.11790984123945236,0.11304087191820145,-0.024323884013858654,-0.06461345633688764,False,True
33,0,0.013095238095238096,0.006138392857142857,0.11156785860657692,0.11362794414162636,0.11520345509052277,0.10863108187913895,0.10265637189149857,-0.043975646133835755,-0.09655698985852268,True,True
41,0,0.01626984126984127,0.007626488095238095,0.10383620113134384,0.10523867607116699,0.10580603778362274,0.1003534272313118,0.09717349335551262,-0.046420660371587874,-0.076637059841007,True,True
65,0,0.025793650793650792,0.01209077380952381,0.07562249526381493,0.07969307154417038,0.08124986290931702,0.07054311782121658,0.07519100606441498,-0.11481492111748226,-0.05649255816749521,True,True
401,0,0.15912698412698412,0.07459077380952381,0.044384364038705826,0.044497452676296234,0.0452154241502285,0.03925452008843422,0.03613063134253025,-0.11782545454910776,-0.18802922033833602,True,True
