arm,family,direction,verdict,d12_median,d12_min,d12_max,d14,d16,d16_above_d12max,monotone,d16_inside_d12_range
shadow_fp32,e_sym,random,supported,8.274165848678807e-07,3.8144801229993527e-07,1.1374385881681662e-06,1.2737534793231089e-06,1.8695553617346156e-06,True,True,False
shadow_fp32,e_sym,gradient,refuted,7.747444564455121e-07,3.6849273657761534e-07,1.5493721454675042e-06,8.813619267528485e-07,7.038084569413635e-07,False,False,True
shadow_fp32,e_sym,update,refuted,8.321125934387314e-07,6.125610585029674e-07,1.0727090304306276e-06,1.0921962414816112e-06,9.454443355111594e-07,False,False,True
shadow_fp32,e_lin,random,supported,7.666147168127187e-07,7.491870707594348e-07,7.743483711148897e-07,7.750816994704527e-07,8.717234600320237e-07,True,True,False
shadow_fp32,e_lin,gradient,refuted,4.960575331045101e-07,4.94535807621845e-07,5.315420410778868e-07,4.6495658136513874e-07,5.115184163840378e-07,False,False,True
shadow_fp32,e_lin,update,supported,7.248433853736597e-07,7.147843940234234e-07,7.521432788808277e-07,8.082101723994147e-07,8.628243935678913e-07,True,True,False
native,e_sym,random,inconclusive,0.0116472113242777,0.0075420999446042004,0.0158394761698804,0.009337203442883149,0.0221899278333643,True,False,False
native,e_sym,gradient,inconclusive,0.0059806026240192,0.00416544439383155,0.0090067084329719,0.0042904333195355505,0.0121809236081927,True,False,False
native,e_sym,update,refuted,0.014314596857618,0.00726549257011505,0.01794341540388095,0.01723052196266095,0.0094470516018149,False,False,True
native,e_lin,random,inconclusive,0.0113067123973108,0.0111096291468234,0.0114430911060238,0.01035908335319335,0.0099622895947445,False,False,False
native,e_lin,gradient,inconclusive,0.0056529326855047,0.005192938927412349,0.00604379336238,0.00436770238012265,0.0049042950129071,False,False,False
native,e_lin,update,refuted,0.0107503830614493,0.01038083648336865,0.01142383064036875,0.00923585771944595,0.0103954636788532,False,False,True
