run,depth,seed,segment,arm,metric,family,direction,step,progress,value,estimator_id,dtype
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_random,e_sym,random,1,0.0003968253968253968,1.1737925699818585e-06,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_random,e_lin,random,1,0.0003968253968253968,8.15627263295816e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_random,verdict_code,random,1,0.0003968253968253968,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_gradient,e_sym,gradient,1,0.0003968253968253968,3.990223791508559e-06,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_gradient,e_lin,gradient,1,0.0003968253968253968,1.9367864176378937e-05,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_gradient,verdict_code,gradient,1,0.0003968253968253968,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_sym_update,e_sym,update,1,0.0003968253968253968,2.0946944098987038e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/e_lin_update,e_lin,update,1,0.0003968253968253968,7.280206943666159e-07,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,shadow_fp32,curvature/verdict_code_update,verdict_code,update,1,0.0003968253968253968,1.0,hvp-shadow-fp32-ieee-v1,torch.float32
d12-s10,12,10,d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,native,curvature/e_sym_random,e_sym,random,1,0.0003968253968253968,0.004735420445191871,,torch.bfloat16
