acceptance_arm,metric,depth,n_runs,depth_median,seed_min,seed_max
native,curvature/e_lin_gradient,12,5,0.0056529326855047236,0.0051929389274123928,0.0060437933623800465
native,curvature/e_lin_gradient,14,1,0.0043677023801226757,0.0043677023801226757,0.0043677023801226757
native,curvature/e_lin_gradient,16,1,0.0049042950129071965,0.0049042950129071965,0.0049042950129071965
native,curvature/e_lin_random,12,5,0.011306712397310854,0.011109629146823435,0.011443091106023869
native,curvature/e_lin_random,14,1,0.010359083353193422,0.010359083353193422,0.010359083353193422
native,curvature/e_lin_random,16,1,0.0099622895947445618,0.0099622895947445618,0.0099622895947445618
native,curvature/e_lin_update,12,5,0.010750383061449334,0.010380836483368702,0.011423830640368816
native,curvature/e_lin_update,14,1,0.0092358577194460063,0.0092358577194460063,0.0092358577194460063
native,curvature/e_lin_update,16,1,0.010395463678853268,0.010395463678853268,0.010395463678853268
native,curvature/e_sym_gradient,12,5,0.0059806026240192831,0.0041654443938315688,0.0090067084329719417
native,curvature/e_sym_gradient,14,1,0.0042904333195356026,0.0042904333195356026,0.0042904333195356026
native,curvature/e_sym_gradient,16,1,0.012180923608192715,0.012180923608192715,0.012180923608192715
native,curvature/e_sym_random,12,5,0.011647211324277752,0.0075420999446042837,0.015839476169880413
native,curvature/e_sym_random,14,1,0.009337203442883156,0.009337203442883156,0.009337203442883156
native,curvature/e_sym_random,16,1,0.022189927833364317,0.022189927833364317,0.022189927833364317
native,curvature/e_sym_update,12,5,0.014314596857618028,0.0072654925701150837,0.017943415403881006
native,curvature/e_sym_update,14,1,0.01723052196266096,0.01723052196266096,0.01723052196266096
native,curvature/e_sym_update,16,1,0.0094470516018149518,0.0094470516018149518,0.0094470516018149518
shadow_fp32,curvature/e_lin_gradient,12,5,4.9605753310451011e-07,4.9453580762184497e-07,5.3154204107788685e-07
shadow_fp32,curvature/e_lin_gradient,14,1,4.6495658136513874e-07,4.6495658136513874e-07,4.6495658136513874e-07
shadow_fp32,curvature/e_lin_gradient,16,1,5.1151841638403784e-07,5.1151841638403784e-07,5.1151841638403784e-07
shadow_fp32,curvature/e_lin_random,12,5,7.666147168127187e-07,7.4918707075943477e-07,7.7434837111488971e-07
shadow_fp32,curvature/e_lin_random,14,1,7.7508169947045269e-07,7.7508169947045269e-07,7.7508169947045269e-07
shadow_fp32,curvature/e_lin_random,16,1,8.717234600320237e-07,8.717234600320237e-07,8.717234600320237e-07
shadow_fp32,curvature/e_lin_update,12,5,7.2484338537365966e-07,7.1478439402342338e-07,7.521432788808277e-07
shadow_fp32,curvature/e_lin_update,14,1,8.0821017239941468e-07,8.0821017239941468e-07,8.0821017239941468e-07
shadow_fp32,curvature/e_lin_update,16,1,8.6282439356789133e-07,8.6282439356789133e-07,8.6282439356789133e-07
shadow_fp32,curvature/e_sym_gradient,12,5,7.747444564455121e-07,3.6849273657761534e-07,1.549372145467504e-06
shadow_fp32,curvature/e_sym_gradient,14,1,8.8136192675284849e-07,8.8136192675284849e-07,8.8136192675284849e-07
shadow_fp32,curvature/e_sym_gradient,16,1,7.0380845694136352e-07,7.0380845694136352e-07,7.0380845694136352e-07
shadow_fp32,curvature/e_sym_random,12,5,8.2741658486788068e-07,3.8144801229993527e-07,1.1374385881681662e-06
shadow_fp32,curvature/e_sym_random,14,1,1.2737534793231089e-06,1.2737534793231089e-06,1.2737534793231089e-06
shadow_fp32,curvature/e_sym_random,16,1,1.8695553617346154e-06,1.8695553617346154e-06,1.8695553617346154e-06
shadow_fp32,curvature/e_sym_update,12,5,8.321125934387314e-07,6.1256105850296737e-07,1.0727090304306276e-06
shadow_fp32,curvature/e_sym_update,14,1,1.0921962414816112e-06,1.0921962414816112e-06,1.0921962414816112e-06
shadow_fp32,curvature/e_sym_update,16,1,9.4544433551115937e-07,9.4544433551115937e-07,9.4544433551115937e-07
