segment,depth,seed,acceptance_arm,metric,n_checkpoints,median,minimum,maximum,q25,q75,n_above_threshold
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,native,curvature/e_lin_gradient,30,0.0051929389274123928,0.0035238741810142238,0.015706863615141693,0.0047806581048541732,0.0066350200117921056,30
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,native,curvature/e_lin_gradient,30,0.0060437933623800465,0.00345920971323726,0.013543068458707759,0.0053279087057918678,0.0074706347381340958,30
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,native,curvature/e_lin_gradient,30,0.0057499382543203682,0.0033461493300132681,0.020927710335996358,0.0050149140204612296,0.0070076876335587847,30
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,native,curvature/e_lin_gradient,30,0.0056529326855047236,0.0032198121533603846,0.016822095100709731,0.005137279164850031,0.0068812965064247019,30
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,native,curvature/e_lin_gradient,30,0.0052417857595509626,0.0034466418948202321,0.02000684558990869,0.0048144066002865429,0.0068800939099831837,30
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,native,curvature/e_lin_gradient,32,0.0043677023801226757,0.0036607623809567801,0.036120235998989135,0.004123598481233795,0.0067312753227073445,32
d16-s7-s0-8e0a39fc8f164343bd01ef6b915e849f,16,7,native,curvature/e_lin_gradient,33,0.0049042950129071965,0.0035376334060598646,0.019233116147845748,0.0044559692882096477,0.0078712401133121807,33
d12-s7-s0-6c217854f4174ce884dfb2b2dcc13c45,12,7,native,curvature/e_lin_random,30,0.011109629146823435,0.0084033925925545167,0.013000646663346957,0.010113778407317123,0.011779151200472522,30
d12-s8-s0-2b2e72e4395440029b92226213d137bb,12,8,native,curvature/e_lin_random,30,0.011443091106023869,0.0082711832953290109,0.012163068259516831,0.011266194932523836,0.011869048298734714,30
d12-s9-s0-b872e698e81b4a8fa0cd08512f43c2c2,12,9,native,curvature/e_lin_random,30,0.011306712397310854,0.0085685157201707933,0.012492418741330533,0.010824374949808879,0.011771694658629223,30
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,12,10,native,curvature/e_lin_random,30,0.011409241777206567,0.0084278062242263418,0.012719592323310446,0.011147120591410174,0.011715727489365441,30
d12-s11-s0-5fd1bf807f764954b30658872fc3e2ad,12,11,native,curvature/e_lin_random,30,0.011284156472789885,0.0084080645945320172,0.012941126319788868,0.010841504331570013,0.011663178015295763,30
d14-s7-s0-b72acf7ac59942dab902e26fa0b2c80d,14,7,native,curvature/e_lin_random,32,0.010359083353193422,0.0067654963429073433,0.013640371112290384,0.0077429608047689009,0.012105374742245618,32
