run,step,normalized_progress,metric,value,is_defined,undefined_reason
d12-s7,9,0.0035714285714285713,update/p1,-0.7436474683795674,True,
d12-s7,9,0.0035714285714285713,update/p2,-0.5459253373018306,True,
d12-s7,9,0.0035714285714285713,update/actual,-0.4593067169189453,True,
d12-s7,9,0.0035714285714285713,update/residual_p1,0.2843407514606221,True,
d12-s7,9,0.0035714285714285713,update/residual_p2,0.08661862038288526,True,
d12-s7,9,0.0035714285714285713,update/normalized_residual,0.1586638583418517,True,
d12-s7,9,0.0035714285714285713,update/loss_before,7.646768569946289,True,
d12-s7,9,0.0035714285714285713,update/loss_after,7.187461853027344,True,
d12-s7,9,0.0035714285714285713,update/direction_norm,266.0123162725466,True,
d12-s7,9,0.0035714285714285713,curvature/dhd,0.39544426215547374,True,
d12-s7,9,0.0035714285714285713,curvature/gHg,315.4484397367994,True,
d12-s7,9,0.0035714285714285713,curvature/gg,20.794790623343626,True,
d12-s7,9,0.0035714285714285713,curvature/eta_star,0.06592136147731201,True,
d12-s7,9,0.0035714285714285713,curvature/Hg_norm,132.10556213773745,True,
d12-s7,9,0.0035714285714285713,curvature/eta_star_rho,0.5236366120099774,True,
d12-s7,9,0.0035714285714285713,curvature/eta_star_rho_threshold,9.5367431640625e-07,True,
d12-s7,9,0.0035714285714285713,curvature/shadow_verdict_code,1.0,True,
d12-s7,9,0.0035714285714285713,curvature/arith_eps,1.1920928955078125e-07,True,
d12-s7,9,0.0035714285714285713,curvature/vhv_random,2.533378843176725e-05,True,
d12-s7,9,0.0035714285714285713,curvature/e_fd_random,0.0010204495557035432,True,
d12-s7,9,0.0035714285714285713,curvature/fd_cos_random,0.9999994810192651,True,
d12-s7,9,0.0035714285714285713,curvature/fd_eps_random,0.03,True,
d12-s7,9,0.0035714285714285713,curvature/fd_snr_random,1712.8060848339235,True,
d12-s7,9,0.0035714285714285713,curvature/fd_floor_random,1.8120330812715735e-05,True,
d12-s7,9,0.0035714285714285713,curvature/fd_conclusive_random,1.0,True,
d12-s7,9,0.0035714285714285713,curvature/e_sym_random,8.399022884695067e-07,True,
d12-s7,9,0.0035714285714285713,curvature/e_lin_random,5.118489390828751e-07,True,
d12-s7,9,0.0035714285714285713,curvature/curv_eps_random,0.003,True,
d12-s7,9,0.0035714285714285713,curvature/curv_snr_random,0.0,True,
d12-s7,9,0.0035714285714285713,curvature/curv_floor_random,0.4051403771477958,True,
d12-s7,9,0.0035714285714285713,curvature/c_fd_random,0.0,True,
d12-s7,9,0.0035714285714285713,curvature/verdict_code_random,1.0,True,
d12-s7,9,0.0035714285714285713,curvature/e_curv_random,,False,noise_floor_inconclusive
d12-s7,9,0.0035714285714285713,curvature/vhv_gradient,15.16959014278688,True,
d12-s7,9,0.0035714285714285713,curvature/e_fd_gradient,9.91556998600898e-05,True,
d12-s7,9,0.0035714285714285713,curvature/fd_cos_gradient,0.9999999992159027,True,
d12-s7,9,0.0035714285714285713,curvature/fd_eps_gradient,0.001,True,
d12-s7,9,0.0035714285714285713,curvature/fd_snr_gradient,53291.517535145395,True,
d12-s7,9,0.0035714285714285713,curvature/fd_floor_gradient,0.0005436078896962965,True,
d12-s7,9,0.0035714285714285713,curvature/fd_conclusive_gradient,1.0,True,
d12-s7,9,0.0035714285714285713,curvature/e_sym_gradient,7.434450225734459e-07,True,
d12-s7,9,0.0035714285714285713,curvature/e_lin_gradient,6.201755139104607e-07,True,
d12-s7,9,0.0035714285714285713,curvature/curv_eps_gradient,0.008602806544914778,True,
d12-s7,9,0.0035714285714285713,curvature/curv_snr_gradient,307.8311570827868,True,
d12-s7,9,0.0035714285714285713,curvature/curv_floor_gradient,0.04927012466178939,True,
d12-s7,9,0.0035714285714285713,curvature/c_fd_gradient,15.166879484251778,True,
d12-s7,9,0.0035714285714285713,curvature/verdict_code_gradient,0.0,True,
d12-s7,9,0.0035714285714285713,curvature/e_curv_gradient,0.00017869029483247797,True,
d12-s7,9,0.0035714285714285713,curvature/vhv_update,5.588325943773268e-06,True,
d12-s7,9,0.0035714285714285713,curvature/e_fd_update,,False,noise_floor_inconclusive
d12-s7,9,0.0035714285714285713,curvature/fd_cos_update,,False,noise_floor_inconclusive
d12-s7,9,0.0035714285714285713,curvature/fd_eps_update,0.03,True,
d12-s7,9,0.0035714285714285713,curvature/fd_snr_update,393.5744192857174,True,
