run,step,normalized_progress,code
d12-s7,1,0.0003968253968253968,1.0
d12-s7,2,0.0007936507936507937,1.0
d12-s7,3,0.0011904761904761906,1.0
d12-s7,5,0.001984126984126984,1.0
d12-s7,9,0.0035714285714285713,1.0
d12-s7,17,0.006746031746031746,1.0
d12-s7,33,0.013095238095238096,1.0
d12-s7,41,0.01626984126984127,1.0
d12-s7,65,0.025793650793650792,1.0
d12-s7,127,0.0503968253968254,1.0
d12-s7,253,0.1003968253968254,1.0
d12-s7,379,0.1503968253968254,1.0
d12-s7,401,0.15912698412698412,1.0
d12-s7,505,0.2003968253968254,1.0
d12-s7,631,0.2503968253968254,1.0
d12-s7,757,0.3003968253968254,1.0
d12-s7,883,0.3503968253968254,1.0
d12-s7,1009,0.4003968253968254,1.0
d12-s7,1135,0.4503968253968254,1.0
d12-s7,1261,0.5003968253968254,1.0
d12-s7,1386,0.55,1.0
d12-s7,1512,0.6,1.0
d12-s7,1638,0.65,1.0
d12-s7,1764,0.7,1.0
d12-s7,1890,0.75,1.0
d12-s7,2016,0.8,1.0
d12-s7,2142,0.85,1.0
d12-s7,2268,0.9,1.0
d12-s7,2394,0.95,1.0
d12-s7,2520,1.0,1.0
d12-s8,1,0.0003968253968253968,1.0
d12-s8,2,0.0007936507936507937,1.0
d12-s8,3,0.0011904761904761906,1.0
d12-s8,5,0.001984126984126984,1.0
d12-s8,9,0.0035714285714285713,1.0
d12-s8,17,0.006746031746031746,1.0
d12-s8,33,0.013095238095238096,1.0
d12-s8,41,0.01626984126984127,1.0
d12-s8,65,0.025793650793650792,1.0
d12-s8,127,0.0503968253968254,1.0
d12-s8,253,0.1003968253968254,1.0
d12-s8,379,0.1503968253968254,1.0
d12-s8,401,0.15912698412698412,1.0
d12-s8,505,0.2003968253968254,1.0
d12-s8,631,0.2503968253968254,1.0
d12-s8,757,0.3003968253968254,1.0
d12-s8,883,0.3503968253968254,1.0
d12-s8,1009,0.4003968253968254,1.0
d12-s8,1135,0.4503968253968254,1.0
d12-s8,1261,0.5003968253968254,1.0
