metric,pair_spearman_min,pair_spearman_med,pair_spearman_max,n_pairs
curvature/gHg,0.8453846153846154,0.8992307692307693,0.933076923076923,10
curvature/eta_star,0.7984615384615384,0.8626923076923076,0.8953846153846153,10
curvature/dhd,0.9538461538461539,0.9730769230769231,0.99,10
curvature/vhv_gradient,0.7984615384615384,0.8626923076923076,0.8953846153846153,10
curvature/e_curv_gradient,-0.19923076923076924,-0.049999999999999996,0.22615384615384615,10
curvature/gg,0.9376923076923077,0.9611538461538461,0.9769230769230769,10
curvature/Hg_norm,0.8846153846153846,0.9253846153846155,0.9484615384615385,10
curvature/eta_star_rho,0.5069230769230769,0.74,0.8546153846153847,10
update/direction_norm,0.9815384615384616,0.9938461538461538,0.9984615384615385,10
curvature/curv_snr_gradient,-0.39,-0.004999999999999999,0.35923076923076924,10
curvature/e_fd_gradient,0.7076923076923077,0.7846153846153846,0.8646153846153846,10
curvature/e_sym_gradient,-0.3130769230769231,0.3573076923076923,0.4453846153846154,10
curvature/e_lin_gradient,0.4676923076923077,0.6369230769230769,0.7753846153846153,10
