metric,spearman_all_min,spearman_all_max,n_seeds_rising,spearman_late_min,spearman_late_max,n_seeds_rising_late,p_at_max_min,p_at_max_max,p_at_min_min,p_at_min_max,last_over_first_min,last_over_first_med,last_over_first_max,max_over_min_med
curvature/gHg,0.6813675213675213,0.8838461538461538,5,0.7892156862745098,0.9730392156862745,5,0.003571,0.95,0.013095,0.200397,0.40106121180651766,1.453485215169578,12.624895397167563,48.28736081103093
curvature/eta_star,-0.8680341880341881,-0.6403418803418803,0,-0.8970588235294118,-0.6617647058823529,0,0.013095,0.250397,0.003571,0.95,0.08168784203516358,0.5179436715299479,1.4699288600995029,11.599814397899781
curvature/dhd,-0.9343589743589743,-0.9186324786324787,0,-0.9877450980392157,-0.9656862745098039,0,0.003571,0.050397,1.0,1.0,0.0002213692842750368,0.00034187736494877674,0.0016514189564204279,2925.0254697319006
curvature/vhv_gradient,0.6403418803418803,0.8680341880341881,5,0.6617647058823529,0.8970588235294118,5,0.003571,0.95,0.013095,0.250397,0.6803049110415436,1.9307119894940814,12.241723016546567,11.59981490454621
curvature/e_curv_gradient,-0.13025641025641024,0.2970940170940171,3,-0.4215686274509804,0.2622549019607843,2,0.003571,0.85,0.003571,0.95,0.15906998881193063,0.7694054792859317,5.862041781816289,153.10697925620616
curvature/gg,0.7087179487179487,0.9307692307692308,5,0.8995098039215687,0.9926470588235294,5,0.003571,0.7,0.025794,0.050397,0.5674804749222242,0.7528234688594281,2.9274363471038094,6.32616966013315
curvature/Hg_norm,0.6950427350427351,0.9092307692307692,5,0.803921568627451,0.9705882352941176,5,0.003571,0.95,0.013095,0.050397,0.5372536214131481,1.1935228219443774,7.91775881857264,23.492350731705024
curvature/eta_star_rho,-0.019487179487179488,0.26017094017094017,4,-0.0024509803921568627,0.5637254901960784,4,0.025794,0.55,0.003571,0.250397,0.9319267748365325,1.2487071989958267,4.068721097204444,2.1990124769605193
update/direction_norm,-0.7553846153846154,-0.6266666666666667,0,-0.9828431372549019,-0.9754901960784313,0,0.050397,0.050397,1.0,1.0,0.09047872798987132,0.1269558854465316,0.13077473156030855,33.263005481942564
curvature/curv_snr_gradient,-0.19452991452991453,0.2335042735042735,1,-0.26715686274509803,0.2647058823529412,1,0.050397,0.6,0.025794,0.8,0.8269971179463503,0.8940642249908897,1.098181571222279,1.3096933634403558
curvature/e_fd_gradient,0.2,0.331965811965812,5,-0.5514705882352942,-0.20588235294117646,0,0.150397,0.250397,0.003571,0.006746,5.852441520843561,21.451196722131428,28.70571778379331,56.45066481518345
curvature/e_sym_gradient,-0.02017094017094017,0.6779487179487179,4,-0.0196078431372549,0.8161764705882353,4,0.013095,1.0,0.01627,0.400397,0.6476625316766418,1.9631600996356662,29.77102325703173,104.1612116382188
curvature/e_lin_gradient,-0.18564102564102564,0.24846153846153846,4,-0.24019607843137256,0.3700980392156863,4,0.003571,0.159127,0.013095,0.050397,0.1518718004231072,0.5818800789031131,0.9239181152724855,2.4543128093134783
