metric,sd_rel_med,sd_rel_max,range_rel_med
curvature/Hg_norm,0.18955080077288927,0.9103579893707668,0.49054818703301456
curvature/curv_snr_gradient,0.07586932692176482,0.11964463933283245,0.17648116190515586
curvature/dhd,0.1320190587023589,0.414136567968425,0.3273576493951107
curvature/e_curv_gradient,0.9355663567214788,2.2097550641795918,2.2563286233884625
curvature/e_fd_gradient,0.3106691003597883,0.582625834124254,0.7218655149181409
curvature/e_lin_gradient,0.06535124702078841,0.22616411396584765,0.16092258113284486
curvature/e_sym_gradient,1.684520801348805,7.812125963479863,4.083136109724607
curvature/eta_star,0.2384729532723122,0.6959711531922391,0.5922600550199213
curvature/eta_star_rho,0.058273456780032304,0.2023143496977014,0.14407229270905814
curvature/gHg,0.2759939392520946,0.9814505850588644,0.7058343900019941
curvature/gg,0.08430985824465634,0.22920481714654733,0.20577986051513367
curvature/vhv_gradient,0.21945297927056606,1.0711937466907424,0.5641617436234381
update/direction_norm,0.007181479911521704,0.03891830427639447,0.018678200018024633
