metric,scope,declared,n_ckpt_per_run,sp_all_min,sp_all_max,n_seeds_same_sign_all,sp_wd_min,sp_wd_max,n_seeds_same_sign_wd,ratio_wd_pre_med,ratio_wd_pre_min,ratio_wd_pre_max,seed_sd_rel_med
curvature/Hg_norm,direction-agnostic,False,26,0.6950427350427351,0.9092307692307692,5,0.6483516483516484,0.9472527472527472,5,8.057533245791186,5.9144359056892934,10.02262422545788,0.18955080077288927
curvature/arith_eps,direction-agnostic,False,26,,,0,,,0,1.0,1.0,1.0,0.0
curvature/dhd,direction-agnostic,True,26,-0.9343589743589743,-0.9186324786324787,5,-0.9956043956043956,-0.9692307692307692,5,0.1642663745672603,0.136202160676565,0.18143067195227264,0.1320190587023589
curvature/eta_star,direction-agnostic,True,26,-0.8680341880341881,-0.6403418803418803,5,-0.8153846153846154,-0.3934065934065934,5,0.2101484549919096,0.14057181277687125,0.2221265879792073,0.2384729532723122
curvature/eta_star_rho,direction-agnostic,False,26,-0.019487179487179488,0.26017094017094017,4,-0.7978021978021979,0.6527472527472528,4,1.1548523587184756,1.0890750843071932,1.2070981102993183,0.058273456780032304
curvature/eta_star_rho_threshold,direction-agnostic,False,26,,,0,,,0,1.0,1.0,1.0,0.0
curvature/gHg,direction-agnostic,True,26,0.6813675213675213,0.8838461538461538,5,0.621978021978022,0.9516483516483516,5,15.581520806652158,12.432666270376947,21.3306486290448,0.2759939392520946
curvature/gg,direction-agnostic,False,26,0.7087179487179487,0.9307692307692308,5,0.8241758241758241,0.9868131868131869,5,2.726697660789971,2.3454129939954553,3.098847341339874,0.08430985824465634
curvature/shadow_verdict_code,direction-agnostic,False,26,,,1,,,1,1.0,1.0,1.0,0.0
update/actual,direction-agnostic,False,26,0.3394871794871795,0.5227350427350428,5,-0.2571428571428571,0.44175824175824174,4,0.12321880424099167,-0.0505936726563995,0.24134089350925356,1.0806961701648383
update/direction_norm,direction-agnostic,False,26,-0.7553846153846154,-0.6266666666666667,5,-1.0,-1.0,5,0.5695647187772414,0.5620159756638106,0.5716655810449579,0.007181479911521704
update/loss_after,direction-agnostic,False,26,-0.9984615384615385,-0.9863247863247864,5,-1.0,-0.978021978021978,5,0.5959079057244409,0.5902891911433487,0.6669257498352961,0.014317904595979312
update/loss_before,direction-agnostic,False,26,-0.997948717948718,-0.9917948717948718,5,-1.0,-0.9736263736263736,5,0.5988911843234115,0.5900726608127776,0.6470210336057047,0.01333598567826332
update/normalized_residual,direction-agnostic,False,26,0.23282051282051283,0.6430769230769231,5,0.37142857142857144,0.7934065934065934,5,0.09061291006369182,0.014238619610913683,0.6287521953704629,2.1421916698322194
update/p1,direction-agnostic,False,26,0.6957264957264957,0.84,5,0.389010989010989,0.8813186813186813,5,0.14928922782611262,0.056642130066616087,0.20238178543359395,0.6678664180846092
update/p2,direction-agnostic,False,26,0.2792307692307692,0.5124786324786325,5,-0.2879120879120879,0.4197802197802198,4,0.1230167977223917,-0.05423385755625249,0.29926810375836743,0.9003238032421483
update/residual_p1,direction-agnostic,False,26,-0.9398290598290598,-0.9179487179487179,5,-0.9956043956043956,-0.9692307692307692,5,0.1758393730121401,0.13685739371014216,0.18850594725309314,0.12356279718990847
update/residual_p2,direction-agnostic,False,26,0.3353846153846154,0.693076923076923,5,0.3274725274725275,0.9164835164835164,5,0.053194586973103496,7.309279588333177e-05,0.10641453876608278,0.8223198985052996
curvature/c_fd_gradient,gradient,False,26,0.6403418803418803,0.8680341880341881,5,0.3934065934065934,0.8184823434658374,5,4.74191115994945,4.453149363305799,7.11828834995643,0.21886319821521488
curvature/curv_eps_gradient,gradient,False,26,-0.9527004375191627,-0.9085512500926292,5,-0.9331450450532871,-0.7375988901433131,5,0.3291226242539937,0.2500791148634847,0.382040233167647,0.11423989254768593
curvature/curv_floor_gradient,gradient,False,26,0.6683760683760683,0.8815384615384615,5,0.3802197802197802,0.7978021978021979,5,5.362262143455454,4.300497024111754,7.076296214964232,0.21940043279869512
curvature/curv_snr_gradient,gradient,False,26,-0.19452991452991453,0.2335042735042735,4,-0.42857142857142855,0.06373626373626373,4,1.0232974930243122,0.9562022356661942,1.0544776507049023,0.07586932692176482
curvature/e_curv_gradient,gradient,True,26,-0.13025641025641024,0.2970940170940171,3,-0.2043956043956044,0.3142857142857143,3,1.431208147316276,0.6010876573939933,2.0094307446328084,0.9355663567214788
curvature/e_fd_gradient,gradient,False,26,0.2,0.331965811965812,5,-0.21318681318681318,0.2835164835164835,4,0.8860256100555571,0.8084168386381051,1.1330389108175414,0.3106691003597883
curvature/e_lin_gradient,gradient,False,26,-0.18564102564102564,0.24846153846153846,4,0.27912087912087913,0.8373626373626374,5,0.945776756823808,0.9107142568978919,1.0067112810212613,0.06535124702078841
curvature/e_sym_gradient,gradient,False,26,-0.02017094017094017,0.6779487179487179,4,0.054945054945054944,0.7846153846153846,5,1.573977935526713,1.0464824795067365,2.7171051881474444,1.684520801348805
