metric,arm,tier,group,w_n_abs,w_n_prog,w_n_pts_both,w_medabsz_abs,w_medabsz_prog,w_n_inf_abs,w_n_inf_prog,w_medabsrel_abs,w_medabsrel_prog,w_medrel_abs,w_medrel_prog,w_seedsdrel_abs,w_align_dz,w_align_dz_max,w_align_drel,w_sign_flip_frac,w_frac_zero_sd_abs,w_frac_exact_eq_abs,w_frac_exact_eq_prog,w_medgap_abs,w_medgap_prog,p_n_abs,p_n_prog,p_n_pts_both,p_medabsz_abs,p_medabsz_prog,p_n_inf_abs,p_n_inf_prog,p_medabsrel_abs,p_medabsrel_prog,p_medrel_abs,p_medrel_prog,p_seedsdrel_abs,p_align_dz,p_align_dz_max,p_align_drel,p_sign_flip_frac,p_frac_zero_sd_abs,p_frac_exact_eq_abs,p_frac_exact_eq_prog,p_medgap_abs,p_medgap_prog,deterministic,verdict,verdict_prog,verdict_flip,align_unstable_warmup,align_unstable_post,align_unstable,untestable_warmup,why_unsafe,unsafe
batch/bos_count,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,399.0,0.0,0.0234906695938529,0.0,-0.0027589666415852,0.0,0.0,0.0,0.0231702716297786,0.9950124688279302,1.0,1.0,0.0049875311720698,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,4964.0,0.0,0.0214285714285714,0.0,0.0005042864346949,0.0,0.0,0.0,0.0209790209790209,0.998112317130722,1.0,1.0,0.001809772772974,1.0,0.0003968253968253,True,identical (deterministic),uniformly different (deterministic),True,False,False,False,False,verdict flips with alignment,True
batch/mean_segment_length,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,400.0,0.0,0.0232236554368838,0.0,0.0026514699800317,0.0,0.0,0.0,0.0234274756035803,0.9975062344139652,1.0,1.0,0.0024937655860349,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,4969.0,0.0,0.0214012445246896,0.0,-0.000685564307656,0.0,0.0,0.0,0.0210013008288761,0.9995280792826804,1.0,1.0,0.0008043434546551,1.0,0.0003968253968253,True,identical (deterministic),uniformly different (deterministic),True,False,False,False,False,verdict flips with alignment,True
batch/micro_batches,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
batch/segments_per_row_max,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,352.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0994318181818185,0.8778054862842892,1.0,1.0,0.1221945137157107,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,4405.0,0.0,0.0958904109589041,0.0,0.0,0.0,0.0,0.0,0.0937499999999939,0.8905143935818782,1.0,1.0,0.1142167705610295,1.0,0.0003968253968253,True,identical (deterministic),uniformly different (deterministic),True,False,False,False,False,verdict flips with alignment,True
batch/segments_per_row_mean,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,399.0,0.0,0.0234906695938529,0.0,-0.0027589666415852,0.0,0.0,0.0,0.0231702716297786,0.9950124688279302,1.0,1.0,0.0049875311720698,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,4964.0,0.0,0.0214285714285714,0.0,0.0005042864346949,0.0,0.0,0.0,0.0209790209790209,0.998112317130722,1.0,1.0,0.001809772772974,1.0,0.0003968253968253,True,identical (deterministic),uniformly different (deterministic),True,False,False,False,False,verdict flips with alignment,True
batch/valid_targets,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
grad/finite,none,continuous,config,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12.0,0.0047619047619047,19.0,42.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,74.0,0.0220238095238095,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
loss/finite,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
optim/beta1,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
optim/beta2,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
optim/eps,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
optim/ns_steps,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
optim/lr,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2069825436408977,1.0,1.0,0.7930174563591023,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,1637.0,3492.0,0.5042703645881162,9.68170955211568e-05,0.5042703645881162,9.68170955211568e-05,0.0,0.0,0.0,0.5042703645881162,0.4714487966021708,1.0,0.2274657857479943,0.2978081640860647,1.0,0.0003968253968253,True,post-dominated (deterministic),uniformly different (deterministic),True,False,False,False,False,verdict flips with alignment,True
optim/lr_eff,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2069825436408977,1.0,1.0,0.7930174563591023,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,1637.0,3492.0,0.5042703645881162,9.68170955211568e-05,0.5042703645881162,9.68170955211568e-05,0.0,0.0,0.0,0.5042703645881162,0.4714487966021708,1.0,0.2274657857479943,0.2978081640860647,1.0,0.0003968253968253,True,post-dominated (deterministic),uniformly different (deterministic),True,False,False,False,False,verdict flips with alignment,True
optim/momentum,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,400.0,0.0,0.0362989323843416,0.0,0.0362989323843416,0.0,0.0,0.0,0.0350274725274725,0.9975062344139652,1.0,1.0,0.0024937655860349,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,1637.0,3945.0,0.026130198915009,3.605556421558852e-06,0.026130198915009,3.605556421558852e-06,0.0,0.0,0.0,0.0357762161175504,0.6852288815479,1.0,0.2274657857479943,0.2067162678463704,1.0,0.0003968253968253,True,post-dominated (deterministic),uniformly different (deterministic),True,False,False,False,False,verdict flips with alignment,True
optim/weight_decay,none,continuous,config,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0003968253968253,2119.0,4973.0,2119.0,0.0,0.0,699.0,2274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3298725814063237,1.0,0.6701274185936763,0.5427307460285542,1.0,0.0003968253968253,True,post-dominated (deterministic),post-dominated (deterministic),False,False,False,False,False,,False
optim/adamw_m_norm,none,periodic,config,1.0,1.0,1.0,0.2773714895387548,1.879604210674056,0.0,0.0,0.0953947288873182,0.8812770979563856,-0.0953947288873182,-0.8812770979563856,0.3439240602772534,2.608339469747957,2.608339469747957,6.619467310362436,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,2.1134288289353607,1.838923805336509,0.0,0.0,0.4712951420041181,0.4163568558769982,-0.4326228149783788,-0.4163568558769982,0.2171239930229801,0.9126341084723928,3.406849995952717,0.366110310320767,0.2,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
optim/adamw_m_rms,none,periodic,config,1.0,1.0,1.0,0.5930298597848542,1.760685054013809,0.0,0.0,0.27049184814853,0.9179701198117532,-0.27049184814853,-0.9179701198117532,0.4561184292586245,2.3959178667941585,2.3959178667941585,7.893200260409416,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,1.7116847456290998,1.319748832332737,0.0,0.0,0.6417435181047821,0.6232458377821627,-0.5510680770363143,-0.6004518188410033,0.3335595526632918,1.12232525810674,2.0988524460228404,0.4880748552054119,0.2,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
optim/adamw_v_norm,none,periodic,config,1.0,1.0,1.0,0.0740128439881884,3.042435188417083,0.0,0.0,0.0490421963704396,0.9166795374686072,0.0490421963704396,-0.9166795374686072,0.6626173746041456,4.2564899647369705,4.2564899647369705,11.59045094685101,1.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,3.330278692087448,4.074936876916472,0.0,0.0,0.6901249457432553,0.8784008075776146,-0.6901249457432553,-0.8784008075776146,0.1663474669184623,3.461402294994865,6.161982057758713,2.036371864710829,0.1,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,True,True,True,True,alignment-unstable in window; alignment-unstable after window; window untestable (<5 pts),True
optim/adamw_v_rms,none,periodic,config,1.0,1.0,1.0,0.0311010779846477,3.0530866677454336,0.0,0.0,0.0205413724923817,0.9199041552533496,0.0205413724923817,-0.9199041552533496,0.660471399175342,4.262660754722018,4.262660754722018,11.741502080668948,1.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,2.996644893603194,3.702331444580527,0.0,0.0,0.6639180368776875,0.877840111268245,-0.6639180368776875,-0.877840111268245,0.1898150576279831,3.4138749545466345,6.316335721277314,2.143449509710769,0.1,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,True,True,True,True,alignment-unstable in window; alignment-unstable after window; window untestable (<5 pts),True
optim/muon_momentum_norm,none,periodic,config,1.0,1.0,1.0,1.7020547998954223,0.8920457686065218,0.0,0.0,0.1912503086700889,0.1376701965763563,-0.1912503086700889,0.1376701965763563,0.112364366107272,2.6035924290832315,2.6035924290832315,0.2891176249815465,1.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,19.75886430488983,11.336812111223338,0.0,0.0,0.5570854245089193,0.3415814693094109,-0.5570854245089193,-0.3415814693094109,0.0261741541667958,11.688780967785735,30.328850974293346,0.4359005632909712,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
optim/muon_momentum_rms,none,periodic,config,1.0,1.0,1.0,3.086034534087361,0.9806632686921865,0.0,0.0,0.3986107533366488,0.1776930429686576,-0.3986107533366488,-0.1776930429686576,0.1291660054136532,2.0531237430362888,2.0531237430362888,0.2686560152251889,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,39.70418646234471,20.132136459055697,0.0,0.0,0.6471232303706241,0.4690348545398648,-0.6471232303706241,-0.4690348545398648,0.017343799226152,19.543405553940765,41.0641105643168,0.4937431476821909,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,False,True,True,True,alignment-unstable after window; window untestable (<5 pts),True
optim/muon_second_momentum_mean,none,periodic,config,1.0,1.0,1.0,,,1.0,1.0,0.2500000223517411,0.2499801557203089,-0.2500000223517411,-0.2499801557203089,0.0,,,2.648814105883843e-05,0.0,1.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,,,10.0,22.0,0.2500000223517411,0.2500000223517411,-0.2500000223517411,-0.2500000223517411,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,101.0,0.040079365079365,True,underpowered,underpowered,False,False,False,False,True,window untestable (<5 pts),True
optim/muon_second_momentum_norm,none,periodic,config,1.0,1.0,1.0,687.0320989367074,122.54499833444464,0.0,0.0,0.133689326436981,0.1381235434597486,-0.133689326436981,-0.1381235434597486,0.0001945896365597,6.329548815800141,6.329548815800141,0.0051448406429008,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,2682.376198564423,2115.6330705064074,0.0,0.0,0.1338286113985548,0.134086914096116,-0.1338286113985548,-0.134086914096116,5.3152152902825786e-05,4.434768582459548,26.274876469296725,0.0003223382268227,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,True,True,True,True,alignment-unstable in window; alignment-unstable after window; window untestable (<5 pts),True
optim/muon_second_momentum_rms,none,periodic,config,1.0,1.0,1.0,1283.535153113351,224.99354309545575,0.0,0.0,0.249752960956863,0.2535930750639755,-0.249752960956863,-0.2535930750639755,0.0001945820964475,6.329573449557681,6.329573449557681,0.0051447996780599,0.0,0.0,0.0,0.0,101.0,0.040079365079365,10.0,22.0,10.0,5009.453680547319,3947.233910022695,0.0,0.0,0.249873589062407,0.2500972662631494,-0.249873589062407,-0.2500972662631494,5.314345821398452e-05,4.435909215390957,26.290011761218505,0.0003223162442115,0.0,0.0,0.0,0.0,101.0,0.040079365079365,False,underpowered,underpowered,False,True,True,True,True,alignment-unstable in window; alignment-unstable after window; window untestable (<5 pts),True
curvature/arith_eps,native,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,126.0,0.0499999999999999,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
curvature/arith_eps,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,126.0,0.0499999999999999,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
curvature/eta_star_rho_threshold,native,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,126.0,0.0499999999999999,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
curvature/eta_star_rho_threshold,shadow_fp32,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,126.0,0.0499999999999999,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
curvature/fd_conclusive_gradient,native,sparse,dynamics,12.0,10.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,8.0,0.0047619047619047,10.0,21.0,10.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,1.0,1.0,1.0,126.0,0.0499999999999999,True,identical (deterministic),identical (deterministic),False,False,False,False,False,,False
