region,n_pts,n_pts_both,step_lo,step_hi,n_abs,medabsz_abs,n_inf_abs,medrel_abs,medabsrel_abs,seedsdrel_abs,medgap_abs,frac_zero_sd_abs,frac_exact_eq_abs,n_prog,medabsz_prog,n_inf_prog,medrel_prog,medabsrel_prog,seedsdrel_prog,medgap_prog,frac_zero_sd_prog,frac_exact_eq_prog,align_dz,align_dz_max,align_dz_ninf,align_drel,sign_flip_frac,metric,arm,tier
warmup,2,1,1,217,2,0.0,0,0.0,0.0,0.0,101.0,1.0,1.0,1,0.0,0,0.0,0.0,0.0,0.04007936507936508,1.0,1.0,0.0,0.0,0,0.0,0.0,attn/n_undefined_queries/b0,none,periodic
post,22,10,433,4969,10,0.0,0,0.0,0.0,0.0,101.0,1.0,1.0,22,0.0,0,0.0,0.0,0.0,0.040079365079365076,1.0,1.0,0.0,0.0,0,0.0,0.0,attn/n_undefined_queries/b0,none,periodic
warmup,2,1,1,217,2,0.0,0,,,,101.0,1.0,1.0,1,0.0,0,,,,0.04007936507936508,1.0,1.0,0.0,0.0,0,,,attn/n_undefined_queries/b1,none,periodic
post,22,10,433,4969,10,0.0,0,,,,101.0,1.0,1.0,22,0.0,0,,,,0.040079365079365076,1.0,1.0,0.0,0.0,0,,,attn/n_undefined_queries/b1,none,periodic
warmup,2,1,1,217,2,0.0,0,,,,101.0,1.0,1.0,1,0.0,0,,,,0.04007936507936508,1.0,1.0,0.0,0.0,0,,,attn/n_undefined_queries/b2,none,periodic
post,22,10,433,4969,10,0.0,0,,,,101.0,1.0,1.0,22,0.0,0,,,,0.040079365079365076,1.0,1.0,0.0,0.0,0,,,attn/n_undefined_queries/b2,none,periodic
warmup,2,1,1,217,2,0.0,0,,,,101.0,1.0,1.0,1,0.0,0,,,,0.04007936507936508,1.0,1.0,0.0,0.0,0,,,attn/n_undefined_queries/b3,none,periodic
post,22,10,433,4969,10,0.0,0,,,,101.0,1.0,1.0,22,0.0,0,,,,0.040079365079365076,1.0,1.0,0.0,0.0,0,,,attn/n_undefined_queries/b3,none,periodic
warmup,2,1,1,217,2,0.9627864249513026,0,0.010107771321987293,0.05990881895442358,0.06587565074013912,101.0,0.0,0.0,1,0.9295839880505289,0,-0.05794728803704303,0.05794728803704303,0.0623367966552079,0.04007936507936508,0.0,0.0,0.12301771431115527,0.12301771431115527,0,0.008647329710067292,0.0,attn/validation_max_abs_err,none,periodic
post,22,10,433,4969,10,11.635909261658195,0,0.492191193057243,0.492191193057243,0.029716700330031202,101.0,0.0,0.0,22,5.190883737255003,0,0.19942600565635962,0.19942600565635962,0.036817134275380345,0.040079365079365076,0.0,0.0,1.9483536871813025,3.4829540705666315,0,0.06900551768069246,0.0,attn/validation_max_abs_err,none,periodic
warmup,401,401,0,400,401,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,401,0.0,399,-0.0027589666415852657,0.02349066959385291,0.0,0.0003968253968253954,1.0,0.004987531172069825,0.0,0.0,399,0.023170271629778673,0.9950124688279302,batch/bos_count,none,continuous
post,4973,2119,401,5373,2119,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,4973,0.0,4964,0.0005042864346949068,0.02142857142857143,0.0,0.0003968253968253954,1.0,0.0018097727729740598,0.0,0.0,2115,0.02097902097902098,0.998112317130722,batch/bos_count,none,continuous
warmup,401,401,0,400,401,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,401,0.0,400,0.0026514699800317242,0.023223655436883806,0.0,0.0003968253968253954,1.0,0.0024937655860349127,0.0,0.0,400,0.023427475603580373,0.9975062344139651,batch/mean_segment_length,none,continuous
post,4973,2119,401,5373,2119,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,4973,0.0,4969,-0.0006855643076560854,0.021401244524689618,0.0,0.0003968253968253954,1.0,0.0008043434546551378,0.0,0.0,2118,0.021001300828876128,0.9995280792826805,batch/mean_segment_length,none,continuous
warmup,401,401,0,400,401,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,401,0.0,0,0.0,0.0,0.0,0.0003968253968253954,1.0,1.0,0.0,0.0,0,0.0,0.0,batch/micro_batches,none,continuous
post,4973,2119,401,5373,2119,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,4973,0.0,0,0.0,0.0,0.0,0.0003968253968253954,1.0,1.0,0.0,0.0,0,0.0,0.0,batch/micro_batches,none,continuous
warmup,401,401,0,400,401,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,401,0.0,352,0.0,0.1,0.0,0.0003968253968253954,1.0,0.12219451371571072,0.0,0.0,352,0.09943181818181851,0.8778054862842892,batch/segments_per_row_max,none,continuous
post,4973,2119,401,5373,2119,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,4973,0.0,4405,0.0,0.0958904109589041,0.0,0.0003968253968253954,1.0,0.11421677056102957,0.0,0.0,1887,0.09374999999999396,0.8905143935818782,batch/segments_per_row_max,none,continuous
warmup,401,401,0,400,401,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,401,0.0,399,-0.0027589666415852657,0.02349066959385291,0.0,0.0003968253968253954,1.0,0.004987531172069825,0.0,0.0,399,0.023170271629778673,0.9950124688279302,batch/segments_per_row_mean,none,continuous
post,4973,2119,401,5373,2119,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,4973,0.0,4964,0.0005042864346949068,0.02142857142857143,0.0,0.0003968253968253954,1.0,0.0018097727729740598,0.0,0.0,2115,0.02097902097902098,0.998112317130722,batch/segments_per_row_mean,none,continuous
warmup,401,401,0,400,401,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,401,0.0,0,0.0,0.0,0.0,0.0003968253968253954,1.0,1.0,0.0,0.0,0,0.0,0.0,batch/valid_targets,none,continuous
post,4973,2119,401,5373,2119,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,4973,0.0,0,0.0,0.0,0.0,0.0003968253968253954,1.0,1.0,0.0,0.0,0,0.0,0.0,batch/valid_targets,none,continuous
warmup,12,10,1,400,12,1.1991156809990133,0,0.027097715189412588,0.4623509521079246,0.4389882457391653,12.0,0.0,0.0,10,3.448789042462331,0,0.1690712287881452,1.8500800214889428,0.5446891912967339,0.006349206349206349,0.0,0.0,3.477044459646483,18.86925339590865,0,1.7974547714790317,0.4,calib/grad_cosine_prev,none,sparse
post,19,9,538,5106,9,2.440553387857104,0,-4.631857791378778,4.940154550158735,2.2718646455583915,126.0,0.0,0.0,19,0.8594486884242939,0,-0.9561637490660053,2.161280019020482,2.091607464597091,0.04999999999999999,0.0,0.0,0.6023351328542215,1.8760774094617052,0,2.733590102385095,0.0,calib/grad_cosine_prev,none,sparse
warmup,13,13,0,400,13,2.9104869114926992,0,0.11925960986012332,0.16111073508113907,0.12489148620417628,8.0,0.0,0.0,13,6.852272489491058,0,0.1697910758567337,0.2990607671491561,0.09616344308186461,0.0031746031746031746,0.0,0.0,2.3809673319831073,17.069379330500993,0,0.25993544335101215,0.3076923076923077,calib/grad_norm,none,sparse
post,19,9,538,5106,9,3.28373504694049,0,0.14033416055991524,0.43984177758731274,0.14023892073991984,126.0,0.0,0.0,19,0.893734066201928,0,0.16049631280652052,0.17063961203812866,0.16550443766307663,0.04999999999999999,0.0,0.0,1.0134459781822736,3.9310671435471978,0,0.22243431103750969,0.3333333333333333,calib/grad_norm,none,sparse
warmup,12,10,1,270,12,3.8712299017513887,0,0.29957699848183406,0.29957699848183406,0.0958454986091494,8.0,0.0,0.0,10,5.059415354332121,0,0.46580634666290366,0.6577384633896455,0.12199176716599466,0.004761904761904762,0.0,0.0,1.8260130588425407,10.223016514503135,0,0.4596362078314541,0.5,curvature/Hg_norm,native,sparse
post,21,10,401,5376,10,1.8761630678899475,0,-0.3954353918083743,0.3954353918083743,0.22004246681525047,126.0,0.0,0.0,21,4.791569976774317,0,0.9964847277394873,0.9964847277394873,0.2295687336787405,0.04999999999999999,0.0,0.0,4.148495837929132,7.085496050358269,0,0.7090551946217791,0.7,curvature/Hg_norm,native,sparse
warmup,12,10,1,270,12,3.87405359571226,0,0.29815706089166283,0.29815706089166283,0.09713774506240233,8.0,0.0,0.0,10,5.139772285499027,0,0.5105541503635985,0.6619327361873213,0.12339966924863019,0.004761904761904762,0.0,0.0,1.8517518193106026,10.285613264159132,0,0.48379394813215315,0.4,curvature/Hg_norm,shadow_fp32,sparse
post,21,10,401,5376,10,1.830789003885966,0,-0.3927152593931196,0.3927152593931196,0.21572845706595617,126.0,0.0,0.0,21,4.748460809010217,0,0.9482612626453586,0.9482612626453586,0.22676190670916335,0.04999999999999999,0.0,0.0,4.159391989817932,7.063571030345809,0,0.709607181517526,0.7,curvature/Hg_norm,shadow_fp32,sparse
warmup,12,10,1,270,12,0.0,0,0.0,0.0,0.0,8.0,1.0,1.0,10,0.0,0,0.0,0.0,0.0,0.004761904761904762,1.0,1.0,0.0,0.0,0,0.0,0.0,curvature/arith_eps,native,sparse
post,21,10,401,5376,10,0.0,0,0.0,0.0,0.0,126.0,1.0,1.0,21,0.0,0,0.0,0.0,0.0,0.04999999999999999,1.0,1.0,0.0,0.0,0,0.0,0.0,curvature/arith_eps,native,sparse
warmup,12,10,1,270,12,0.0,0,0.0,0.0,0.0,8.0,1.0,1.0,10,0.0,0,0.0,0.0,0.0,0.004761904761904762,1.0,1.0,0.0,0.0,0,0.0,0.0,curvature/arith_eps,shadow_fp32,sparse
post,21,10,401,5376,10,0.0,0,0.0,0.0,0.0,126.0,1.0,1.0,21,0.0,0,0.0,0.0,0.0,0.04999999999999999,1.0,1.0,0.0,0.0,0,0.0,0.0,curvature/arith_eps,shadow_fp32,sparse
warmup,12,10,1,270,12,1.4208167104919491,0,0.14865954234741793,0.4150902227956468,0.2637745634463041,8.0,0.0,0.0,10,1.3076284079747278,0,-0.04588234935402079,0.6749515924253399,0.62551694853547,0.004761904761904762,0.0,0.0,0.8024135465840772,5.503035440030497,0,0.8231568126195554,0.7,curvature/c_fd_gradient,native,sparse
post,21,10,401,5376,10,1.2272913390684836,0,-0.27241507330264286,0.27241507330264286,0.21373561274681138,126.0,0.0,0.0,21,2.948059377248755,0,0.6857012582193899,0.6857012582193899,0.2371801464613228,0.04999999999999999,0.0,0.0,3.451575649298409,6.0401488684522375,0,0.6192547665536103,0.8,curvature/c_fd_gradient,native,sparse
warmup,12,10,1,270,12,1.8554215610082607,0,0.32823505167906836,0.32823505167906836,0.22669016568592026,8.0,0.0,0.0,10,1.6948936720246415,0,-0.08917703635377544,0.6839124933983711,0.7651792538152508,0.004761904761904762,0.0,0.0,1.0013175214522059,6.5330022209384335,0,0.6958338203400045,0.4,curvature/c_fd_gradient,shadow_fp32,sparse
post,21,10,401,5376,10,1.798202338823883,0,-0.2947699315137761,0.2947699315137761,0.2048154311073489,126.0,0.0,0.0,21,3.008991022926525,0,0.6608165216193943,0.6608165216193943,0.2315497663888535,0.04999999999999999,0.0,0.0,3.59192577802314,6.257131947949233,0,0.6205599459705278,0.8,curvature/c_fd_gradient,shadow_fp32,sparse
warmup,12,10,1,270,12,0.07890780674298895,0,0.88345068527102,1.2148154547810786,95.9168203957081,8.0,0.0,0.0,10,0.08822678608500492,0,0.949911265029379,3.18593666716005,32.749528893569,0.004761904761904762,0.0,0.0,0.06386415159166606,1.0146190578578105,0,1.6105083188987637,0.2,curvature/c_fd_random,native,sparse
post,21,10,401,5376,10,0.09991435103767735,0,-1.4663680118582758,7.273716655684382,127.61757389368032,126.0,0.0,0.0,21,0.2055744813834958,0,0.9728561732056608,5.053671939024693,41.11730099052645,0.04999999999999999,0.0,0.0,0.05662671506882306,0.2525031740854495,0,1.454558840387805,0.1,curvature/c_fd_random,native,sparse
