family,metric,arm,tier,phase,absolute_class,absolute_dominance,progress_class,progress_dominance,alignment_class,alignment_dominance,unsafe_for_depth_claims,alignment_supports_schedule_attribution,absolute_warm_n,absolute_warm_effect,absolute_warm_effect_rel,absolute_warm_seed_sd,absolute_warm_seed_rel,absolute_warm_seed_multiple,absolute_warm_outside_fraction,absolute_warm_signed_rel,absolute_warm_baseline,absolute_warm_detectable,absolute_post_n,absolute_post_effect,absolute_post_effect_rel,absolute_post_seed_sd,absolute_post_seed_rel,absolute_post_seed_multiple,absolute_post_outside_fraction,absolute_post_signed_rel,absolute_post_baseline,absolute_post_detectable,progress_warm_n,progress_warm_effect,progress_warm_effect_rel,progress_warm_seed_sd,progress_warm_seed_rel,progress_warm_seed_multiple,progress_warm_outside_fraction,progress_warm_signed_rel,progress_warm_baseline,progress_warm_detectable,progress_post_n,progress_post_effect,progress_post_effect_rel,progress_post_seed_sd,progress_post_seed_rel,progress_post_seed_multiple,progress_post_outside_fraction,progress_post_signed_rel,progress_post_baseline,progress_post_detectable,alignment_warm_n,alignment_warm_effect,alignment_warm_effect_rel,alignment_warm_seed_sd,alignment_warm_seed_rel,alignment_warm_seed_multiple,alignment_warm_outside_fraction,alignment_warm_signed_rel,alignment_warm_baseline,alignment_warm_detectable,alignment_post_n,alignment_post_effect,alignment_post_effect_rel,alignment_post_seed_sd,alignment_post_seed_rel,alignment_post_seed_multiple,alignment_post_outside_fraction,alignment_post_signed_rel,alignment_post_baseline,alignment_post_detectable
attn/n_undefined_queries/b0,attn/n_undefined_queries/b0,none,periodic,post_update,not different,1,not different,1,not different,1,False,False,4,0,0,0,0,0,0,0,1,False,21,0,0,0,0,0,0,0,1,False,4,0,0,0,0,0,0,0,1,False,21,0,0,0,0,0,0,0,1,False,4,0,0,0,0,0,0,0,1,False,21,0,0,0,0,0,0,0,1,False
attn/n_undefined_queries/b1,attn/n_undefined_queries/b1,none,periodic,post_update,not different,1,not different,1,not different,1,False,False,4,0,,0,,0,0,,0,False,21,0,,0,,0,0,,0,False,4,0,,0,,0,0,,0,False,21,0,,0,,0,0,,0,False,4,0,,0,,0,0,,0,False,21,0,,0,,0,0,,0,False
attn/n_undefined_queries/b2,attn/n_undefined_queries/b2,none,periodic,post_update,not different,1,not different,1,not different,1,False,False,4,0,,0,,0,0,,0,False,21,0,,0,,0,0,,0,False,4,0,,0,,0,0,,0,False,21,0,,0,,0,0,,0,False,4,0,,0,,0,0,,0,False,21,0,,0,,0,0,,0,False
attn/n_undefined_queries/b3,attn/n_undefined_queries/b3,none,periodic,post_update,not different,1,not different,1,not different,1,False,False,4,0,,0,,0,0,,0,False,21,0,,0,,0,0,,0,False,4,0,,0,,0,0,,0,False,21,0,,0,,0,0,,0,False,4,0,,0,,0,0,,0,False,21,0,,0,,0,0,,0,False
attn/validation_max_abs_err,attn/validation_max_abs_err,none,periodic,post_update,uniformly different,0.3436795036,uniformly different,0.6271051937,uniformly different,0.6062070415,False,False,4,0.004271133906,0.168154202,0.002311869604,0.09101812233,1.847480455,0.75,-0.1364452321,0.02540010214,False,21,0.01593680293,0.4892762014,0.001327128162,0.04074419622,12.00848825,1,0.4892762014,0.03257220132,True,4,0.005483813915,0.2158973175,0.002311869604,0.09101812233,2.372025614,1,0.1794695351,0.02540010214,False,21,0.01121382977,0.3442760794,0.001327128162,0.04074419622,8.449696185,1,0.3442760794,0.03257220132,True,4,0.008024267356,0.3159147673,0.002311869604,0.09101812233,3.470899632,0,-0.3159147673,0.02540010214,True,21,0.01697446366,0.5211334505,0.001327128162,0.04074419622,12.79037259,0,0.145000122,0.03257220132,True
batch/bos_count,batch/bos_count,none,continuous,pre_update,not different,1,uniformly different,1.09862653,uniformly different,1.09862653,False,False,401,0,0,0,0,0,0,0,998.032419,False,2119,0,0,0,0,0,0,0,992.6819254,False,401,28.0472153,0.02810250926,0,0,inf,0.9975062344,-0.004044200018,998.032419,True,2119,25.39248073,0.0255796747,0,0,inf,0.9985842378,-0.0002084786274,992.6819254,True,401,28.0472153,0.02810250926,0,0,inf,0,0.004044200018,998.032419,True,2119,25.39248073,0.0255796747,0,0,inf,0,0.0002084786274,992.6819254,True
batch/mean_segment_length,batch/mean_segment_length,none,continuous,pre_update,not different,1,uniformly different,1.093355269,uniformly different,1.093355269,False,False,401,0,0,3.486691359e-15,6.625836755e-18,0,0,0,526.2265716,False,2119,0,0,3.689005919e-15,6.977047878e-18,0,0,0,528.7344996,False,401,14.73467608,0.02800063105,3.486691359e-15,6.625836755e-18,inf,0.9975062344,0.003799342597,526.2265716,True,2119,13.54079508,0.02560981946,3.689005919e-15,6.977047878e-18,inf,0.9985842378,0.0002134285371,528.7344996,True,401,14.73467608,0.02800063105,3.486691359e-15,6.625836755e-18,inf,0,-0.003799342597,526.2265716,True,2119,13.54079508,0.02560981946,3.689005919e-15,6.977047878e-18,inf,0,-0.0002134285371,528.7344996,True
batch/micro_batches,batch/micro_batches,none,continuous,pre_update,not different,1,not different,1,not different,1,False,False,401,0,0,0,0,0,0,0,8,False,2119,0,0,0,0,0,0,0,8,False,401,0,0,0,0,0,0,0,8,False,2119,0,0,0,0,0,0,0,8,False,401,0,0,0,0,0,0,0,8,False,2119,0,0,0,0,0,0,0,8,False
batch/segments_per_row_max,batch/segments_per_row_max,none,continuous,pre_update,not different,1,uniformly different,0.9912792412,uniformly different,0.9912792412,False,False,401,0,0,0,0,0,0,0,9.693266833,False,2119,0,0,0,0,0,0,0,9.780556866,False,401,0.9449709061,0.097487351,0,0,inf,0.9102244389,0.001269187891,9.693266833,True,2119,0.961868806,0.09834499397,0,0,inf,0.8754129306,-0.0002669883394,9.780556866,True,401,0.9449709061,0.097487351,0,0,inf,0,-0.001269187891,9.693266833,True,2119,0.961868806,0.09834499397,0,0,inf,0,0.0002669883394,9.780556866,True
batch/segments_per_row_mean,batch/segments_per_row_mean,none,continuous,pre_update,not different,1,uniformly different,1.09862653,uniformly different,1.09862653,False,False,401,0,0,0,0,0,0,0,3.898564137,False,2119,0,0,0,0,0,0,0,3.877663771,False,401,0.1095594347,0.02810250926,0,0,inf,0.9975062344,-0.004044200018,3.898564137,True,2119,0.09918937785,0.0255796747,0,0,inf,0.9985842378,-0.0002084786274,3.877663771,True,401,0.1095594347,0.02810250926,0,0,inf,0,0.004044200018,3.898564137,True,2119,0.09918937785,0.0255796747,0,0,inf,0,0.0002084786274,3.877663771,True
