phase,d12_checkpoint,d16_checkpoint,d12_progress,d16_progress,progress_mismatch,d12_window
pre_update,0,0,0,0,0,warm
pre_update,1,2,0.0003968253968,0.0003720238095,2.48015873e-05,warm
pre_update,2,4,0.0007936507937,0.000744047619,4.96031746e-05,warm
pre_update,4,8,0.001587301587,0.001488095238,9.920634921e-05,warm
pre_update,8,16,0.003174603175,0.002976190476,0.0001984126984,warm
pre_update,126,269,0.05,0.05003720238,3.720238095e-05,warm
pre_update,252,538,0.1,0.1000744048,7.44047619e-05,warm
pre_update,378,806,0.15,0.1499255952,7.44047619e-05,warm
pre_update,504,1075,0.2,0.1999627976,3.720238095e-05,post
pre_update,630,1344,0.25,0.25,0,post
pre_update,756,1613,0.3,0.3000372024,3.720238095e-05,post
pre_update,882,1882,0.35,0.3500744048,7.44047619e-05,post
pre_update,1008,2150,0.4,0.3999255952,7.44047619e-05,post
pre_update,1134,2419,0.45,0.4499627976,3.720238095e-05,post
pre_update,1260,2688,0.5,0.5,0,post
pre_update,1385,2956,0.5496031746,0.5498511905,0.000248015873,post
pre_update,1511,3225,0.5996031746,0.5998883929,0.000285218254,post
pre_update,1889,4031,0.7496031746,0.7498139881,0.0002108134921,post
pre_update,2015,4300,0.7996031746,0.7998511905,0.000248015873,post
pre_update,2141,4569,0.8496031746,0.8498883929,0.000285218254,post
pre_update,2393,5106,0.9496031746,0.9497767857,0.0001736111111,post
pre_update,2519,5375,0.9996031746,0.9998139881,0.0002108134921,post
post_update,0,1,0.0003968253968,0.0003720238095,2.48015873e-05,warm
post_update,1,4,0.0007936507937,0.0009300595238,0.0001364087302,warm
post_update,126,269,0.0503968254,0.05022321429,0.0001736111111,warm
post_update,252,538,0.1003968254,0.1002604167,0.0001364087302,warm
post_update,378,806,0.1503968254,0.1501116071,0.000285218254,warm
post_update,504,1075,0.2003968254,0.2001488095,0.000248015873,post
post_update,630,1344,0.2503968254,0.2501860119,0.0002108134921,post
post_update,756,1613,0.3003968254,0.3002232143,0.0001736111111,post
post_update,882,1882,0.3503968254,0.3502604167,0.0001364087302,post
post_update,1008,2150,0.4003968254,0.4001116071,0.000285218254,post
post_update,1134,2419,0.4503968254,0.4501488095,0.000248015873,post
post_update,1260,2688,0.5003968254,0.5001860119,0.0002108134921,post
post_update,1385,2956,0.55,0.5500372024,3.720238095e-05,post
post_update,1511,3225,0.6,0.6000744048,7.44047619e-05,post
post_update,1637,3494,0.65,0.6501116071,0.0001116071429,post
post_update,1763,3763,0.7,0.7001488095,0.0001488095238,post
post_update,1889,4031,0.75,0.75,0,post
post_update,2015,4300,0.8,0.8000372024,3.720238095e-05,post
post_update,2141,4569,0.85,0.8500744048,7.44047619e-05,post
post_update,2267,4838,0.9,0.9001116071,0.0001116071429,post
post_update,2393,5106,0.95,0.9499627976,3.720238095e-05,post
post_update,2519,5375,1,1,0,post
