depth,seed,param_role,matrices,decoherence_wake_update,gradient_wake_update,min_normalized_layer,max_normalized_layer,distinct_decoherence_wake_bins,distinct_gradient_wake_bins
12,7,attn_out,12,0,0,0.0,1.0,1,1
12,7,mlp_out,12,0,0,0.0,1.0,1,1
12,7,attn_k,12,1,1,0.0,1.0,1,1
12,7,attn_q,12,1,1,0.0,1.0,1,1
12,7,attn_v,12,1,1,0.0,1.0,1,1
12,7,mlp_in,12,1,1,0.0,1.0,1,1
12,7,ve_gate,6,1,1,0.09090909090909091,1.0,1,1
12,8,attn_out,12,0,0,0.0,1.0,1,1
12,8,mlp_out,12,0,0,0.0,1.0,1,1
12,8,attn_k,12,1,1,0.0,1.0,1,1
12,8,attn_q,12,1,1,0.0,1.0,1,1
12,8,attn_v,12,1,1,0.0,1.0,1,1
12,8,mlp_in,12,1,1,0.0,1.0,1,1
12,8,ve_gate,6,1,1,0.09090909090909091,1.0,1,1
12,9,attn_out,12,0,0,0.0,1.0,1,1
12,9,mlp_out,12,0,0,0.0,1.0,1,1
12,9,attn_k,12,1,1,0.0,1.0,1,1
12,9,attn_q,12,1,1,0.0,1.0,1,1
12,9,attn_v,12,1,1,0.0,1.0,1,1
12,9,mlp_in,12,1,1,0.0,1.0,1,1
12,9,ve_gate,6,1,1,0.09090909090909091,1.0,1,1
12,10,attn_out,12,0,0,0.0,1.0,1,1
12,10,mlp_out,12,0,0,0.0,1.0,1,1
12,10,attn_k,12,1,1,0.0,1.0,1,1
12,10,attn_q,12,1,1,0.0,1.0,1,1
12,10,attn_v,12,1,1,0.0,1.0,1,1
12,10,mlp_in,12,1,1,0.0,1.0,1,1
12,10,ve_gate,6,1,1,0.09090909090909091,1.0,1,1
12,11,attn_out,12,0,0,0.0,1.0,1,1
12,11,mlp_out,12,0,0,0.0,1.0,1,1
12,11,attn_k,12,1,1,0.0,1.0,1,1
12,11,attn_q,12,1,1,0.0,1.0,1,1
12,11,attn_v,12,1,1,0.0,1.0,1,1
12,11,mlp_in,12,1,1,0.0,1.0,1,1
12,11,ve_gate,6,1,1,0.09090909090909091,1.0,1,1
14,7,attn_out,14,0,0,0.0,1.0,1,1
14,7,mlp_out,14,0,0,0.0,1.0,1,1
14,7,attn_k,14,1,1,0.0,1.0,1,1
14,7,attn_q,14,1,1,0.0,1.0,1,1
14,7,attn_v,14,1,1,0.0,1.0,1,1
14,7,mlp_in,14,1,1,0.0,1.0,1,1
14,7,ve_gate,7,1,1,0.07692307692307693,1.0,1,1
16,7,attn_out,16,0,0,0.0,1.0,1,1
16,7,mlp_out,16,0,0,0.0,1.0,1,1
16,7,attn_k,16,1,1,0.0,1.0,1,1
16,7,attn_q,16,1,1,0.0,1.0,1,1
16,7,attn_v,16,1,1,0.0,1.0,1,1
16,7,mlp_in,16,1,1,0.0,1.0,1,1
16,7,ve_gate,8,1,1,0.06666666666666667,1.0,1,1
