channel,seed_a,seed_b,matrix_exact_agreement,pair_relation_agreement,kendall_tau_b,initial_zero_set_jaccard,concordant,discordant,tied_x_only,tied_y_only,tied_both
decoherence,7,8,1.0,1.0,1.0,1.0,1296,0,0,0,1707
decoherence,7,9,1.0,1.0,1.0,1.0,1296,0,0,0,1707
decoherence,7,10,1.0,1.0,1.0,1.0,1296,0,0,0,1707
decoherence,7,11,1.0,1.0,1.0,1.0,1296,0,0,0,1707
decoherence,8,9,1.0,1.0,1.0,1.0,1296,0,0,0,1707
decoherence,8,10,1.0,1.0,1.0,1.0,1296,0,0,0,1707
decoherence,8,11,1.0,1.0,1.0,1.0,1296,0,0,0,1707
decoherence,9,10,1.0,1.0,1.0,1.0,1296,0,0,0,1707
decoherence,9,11,1.0,1.0,1.0,1.0,1296,0,0,0,1707
decoherence,10,11,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,7,8,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,7,9,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,7,10,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,7,11,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,8,9,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,8,10,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,8,11,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,9,10,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,9,11,1.0,1.0,1.0,1.0,1296,0,0,0,1707
gradient_sq_norm,10,11,1.0,1.0,1.0,1.0,1296,0,0,0,1707
