run,kind,s0,s1,gap,progress,cos
d12-s10,batch_grad,0,101,101,0.0,0.030046762805907484
d12-s10,batch_grad,0,202,202,0.0,-0.032818169292334144
d12-s10,batch_grad,0,303,303,0.0,0.043616819440162574
d12-s10,batch_grad,0,404,404,0.0,0.006580538329140175
d12-s10,batch_grad,0,505,505,0.0,0.010596202968251004
d12-s10,batch_grad,0,606,606,0.0,-0.022031057268981268
d12-s10,batch_grad,0,707,707,0.0,0.01716542855001492
d12-s10,batch_grad,0,808,808,0.0,0.017339474326410254
d12-s10,batch_grad,0,909,909,0.0,-0.0032017574065478873
d12-s10,batch_grad,0,1010,1010,0.0,0.009677432617683664
d12-s10,batch_grad,0,1111,1111,0.0,0.0004610264292412694
d12-s10,batch_grad,0,1212,1212,0.0,0.008868199034238277
d12-s10,batch_grad,0,1313,1313,0.0,-0.004955149456506394
d12-s10,batch_grad,0,1414,1414,0.0,-0.01007611862942353
d12-s10,batch_grad,0,1515,1515,0.0,0.011262079629217157
d12-s10,batch_grad,0,1616,1616,0.0,-0.000669676540844903
d12-s10,batch_grad,0,1717,1717,0.0,-0.0092799813993438
d12-s10,batch_grad,0,1818,1818,0.0,0.007592899449518199
d12-s10,batch_grad,0,1919,1919,0.0,0.005229088683947168
d12-s10,batch_grad,0,2020,2020,0.0,-0.0035525051651486895
d12-s10,batch_grad,0,2121,2121,0.0,0.0022782853985700174
d12-s10,batch_grad,0,2222,2222,0.0,-0.000789738664055633
d12-s10,batch_grad,0,2323,2323,0.0,0.0007405494063293289
d12-s10,batch_grad,0,2424,2424,0.0,0.005020447437858339
d12-s10,batch_grad,101,202,101,0.04007936507936508,-0.0032122324605630696
d12-s10,batch_grad,101,303,202,0.04007936507936508,-0.006319847230713371
d12-s10,batch_grad,101,404,303,0.04007936507936508,-0.11452446634773084
d12-s10,batch_grad,101,505,404,0.04007936507936508,0.09963687916013098
d12-s10,batch_grad,101,606,505,0.04007936507936508,0.016806530710408805
d12-s10,batch_grad,101,707,606,0.04007936507936508,0.06799575414623271
d12-s10,batch_grad,101,808,707,0.04007936507936508,-0.07254262364990263
d12-s10,batch_grad,101,909,808,0.04007936507936508,-0.08059665106221138
d12-s10,batch_grad,101,1010,909,0.04007936507936508,-0.040159060025042166
d12-s10,batch_grad,101,1111,1010,0.04007936507936508,-0.0692261200491184
d12-s10,batch_grad,101,1212,1111,0.04007936507936508,0.008019821690997075
d12-s10,batch_grad,101,1313,1212,0.04007936507936508,0.06929660088879593
d12-s10,batch_grad,101,1414,1313,0.04007936507936508,-0.05385029296321664
d12-s10,batch_grad,101,1515,1414,0.04007936507936508,0.03809990965508036
d12-s10,batch_grad,101,1616,1515,0.04007936507936508,-0.059812875634984934
d12-s10,batch_grad,101,1717,1616,0.04007936507936508,-0.006646786468277636
d12-s10,batch_grad,101,1818,1717,0.04007936507936508,-0.0002525917973973032
d12-s10,batch_grad,101,1919,1818,0.04007936507936508,-0.040234995169213236
d12-s10,batch_grad,101,2020,1919,0.04007936507936508,-0.024983871732824164
d12-s10,batch_grad,101,2121,2020,0.04007936507936508,-0.019592458381567774
