seg,tier,metric,n,ndef,nsteps,veclen
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,batch/bos_count,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,batch/mean_segment_length,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,batch/micro_batches,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,batch/segments_per_row_max,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,batch/segments_per_row_mean,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,batch/valid_targets,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,grad/finite,54,54,54,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,loss/finite,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,loss/train_mean,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,mem/alloc_end_bytes,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,mem/alloc_start_bytes,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,mem/cuda_peak_absolute,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,optim/beta1,15120,15120,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,optim/beta2,25200,25200,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,optim/eps,15120,15120,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,optim/lr,25200,25200,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,optim/lr_eff,10080,10080,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,optim/momentum,10080,10080,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,optim/ns_steps,10080,10080,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,optim/weight_decay,25200,25200,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,overhead/grads_ready,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,overhead/microbatch_cpu_launch,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,overhead/microbatch_cpu_launch/work,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,overhead/step_end_emit,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,scalars/backout_lambda,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,scalars/resid_lambdas,2520,2520,2520,12
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,scalars/smear_lambda,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,scalars/x0_lambdas,2520,2520,2520,12
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,step/dt_excl_serialized_telemetry,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,step/loader_call_elapsed,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,step/observed_dt,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,continuous,step/skipped,2520,2520,2520,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/n_undefined_queries/b0,75,75,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/n_undefined_queries/b1,75,75,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/n_undefined_queries/b2,75,75,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/n_undefined_queries/b3,75,75,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_mean_distance,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_mean_distance/b0,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_mean_distance/b1,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_mean_distance/b2,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_mean_distance/b3,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_median_distance,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_median_distance/b0,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_median_distance/b1,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_median_distance/b2,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_median_distance/b3,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_norm_entropy,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_norm_entropy/b0,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_norm_entropy/b1,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_norm_entropy/b2,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/per_head_norm_entropy/b3,75,75,25,6
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,attn/validation_max_abs_err,75,75,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,grad/max_abs,375,375,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,grad/nonfinite,375,375,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,grad/norm,2825,2825,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,grad/rms,2825,2825,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,grad/zero_fraction,375,375,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/cautious_mask_fraction,1950,1950,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/cos_data_decay,1950,1872,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/cos_nesterov_final,1950,1896,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/cos_raw_final,1950,1896,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/cos_raw_momentum,1950,1896,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/cos_raw_nesterov,1950,1896,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/data_norm,1950,1950,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/decay_norm,1950,1950,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/factored_scale_dispersion,1950,1950,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/norm_degenerate,1950,1950,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/norm_deviation,1950,1950,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/polar_residual,1950,1950,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/u_final_norm_analytic,1950,1950,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,muon/u_final_norm_observed,1950,1950,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,noise/b_noise,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,noise/mean_grad_norm,2825,2825,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,noise/pairwise_cosines,25,25,25,28
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,noise/per_sub_sq_norm,25,25,25,8
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,noise/row_trace,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,noise/s2,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,noise/signal_raw,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/adamw_m_norm,853,840,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/adamw_m_rms,853,840,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/adamw_v_norm,853,840,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/adamw_v_rms,853,840,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/muon_momentum_norm,1950,1872,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/muon_momentum_rms,1950,1872,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/muon_second_momentum_mean,1950,1872,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/muon_second_momentum_norm,1950,1872,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,optim/muon_second_momentum_rms,1950,1872,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/attention,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/attention/work,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/grads_ready/periodic_scan,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/grads_ready/periodic_scan/work,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/noise,25,25,25,0
d12-s10-s0-0ffeb05742bb4154a3f1afc202dc3955,periodic,overhead/noise/work,25,25,25,0
