run,step,probe_step,gap,side,progress,cos
d12-s10,0,0,0,below,0.0,0.3716618478646874
d12-s10,0,0,0,above,0.0,0.3716618478646874
d12-s10,101,64,37,below,0.04007936507936508,0.04497618030545049
d12-s10,101,126,25,above,0.04007936507936508,0.08020692981617372
d12-s10,202,126,76,below,0.08015873015873017,-0.07662215819983902
d12-s10,202,252,50,above,0.08015873015873017,-0.08629617300506395
d12-s10,303,252,51,below,0.12023809523809524,0.10452203326715187
d12-s10,303,378,75,above,0.12023809523809524,-0.0034098782481442737
d12-s10,404,400,4,below,0.16031746031746033,0.019356290610847284
d12-s10,404,504,100,above,0.16031746031746033,-0.04451985570671302
d12-s10,505,504,1,below,0.2003968253968254,-0.06029040084684201
d12-s10,505,630,125,above,0.2003968253968254,0.09189555828481755
d12-s10,606,504,102,below,0.24047619047619048,0.04371416867831474
d12-s10,606,630,24,above,0.24047619047619048,0.038917556064957594
d12-s10,707,630,77,below,0.28055555555555556,0.030288967582508892
d12-s10,707,756,49,above,0.28055555555555556,-0.048828766221927306
d12-s10,808,756,52,below,0.32063492063492066,0.026692551664814202
d12-s10,808,882,74,above,0.32063492063492066,0.10062490835232309
d12-s10,909,882,27,below,0.3607142857142857,-0.09164099819733075
d12-s10,909,1008,99,above,0.3607142857142857,-0.08556465864027132
d12-s10,1010,1008,2,below,0.4007936507936508,0.15864579691003844
d12-s10,1010,1134,124,above,0.4007936507936508,0.012501533848869581
d12-s10,1111,1008,103,below,0.44087301587301586,-0.09547873915511326
d12-s10,1111,1134,23,above,0.44087301587301586,0.005801536780683037
d12-s10,1212,1134,78,below,0.48095238095238096,0.12318067197510169
d12-s10,1212,1260,48,above,0.48095238095238096,0.08390776037823651
d12-s10,1313,1260,53,below,0.5210317460317461,0.11321318771064023
d12-s10,1313,1385,72,above,0.5210317460317461,-0.003759130961454788
d12-s10,1414,1385,29,below,0.5611111111111111,-0.13205867280342146
d12-s10,1414,1511,97,above,0.5611111111111111,-0.18888687497973677
d12-s10,1515,1511,4,below,0.6011904761904762,0.1961795117135279
d12-s10,1515,1637,122,above,0.6011904761904762,0.11387032404094061
d12-s10,1616,1511,105,below,0.6412698412698413,-0.10335911051368317
d12-s10,1616,1637,21,above,0.6412698412698413,-0.12449629256487021
d12-s10,1717,1637,80,below,0.6813492063492064,-0.1288201938434183
d12-s10,1717,1763,46,above,0.6813492063492064,-0.14585132515491553
d12-s10,1818,1763,55,below,0.7214285714285714,0.08298195519125033
d12-s10,1818,1889,71,above,0.7214285714285714,0.07877222990649423
d12-s10,1919,1889,30,below,0.7615079365079365,-0.030875285779907904
d12-s10,1919,2015,96,above,0.7615079365079365,-0.0382632249208864
d12-s10,2020,2015,5,below,0.8015873015873016,-0.12373147720265691
d12-s10,2020,2141,121,above,0.8015873015873016,-0.08546221377517575
d12-s10,2121,2015,106,below,0.8416666666666667,0.16900842021335688
d12-s10,2121,2141,20,above,0.8416666666666667,0.13081108537108055
d12-s10,2222,2141,81,below,0.8817460317460317,0.007941524343620799
d12-s10,2222,2267,45,above,0.8817460317460317,0.008715301306745938
d12-s10,2323,2267,56,below,0.9218253968253968,0.02444564835086402
d12-s10,2323,2393,70,above,0.9218253968253968,0.041042481683050816
d12-s10,2424,2393,31,below,0.9619047619047619,-0.013624139006822909
d12-s10,2424,2519,95,above,0.9619047619047619,-0.017198547248132592
d12-s11,0,0,0,below,0.0,0.3571555714055281
d12-s11,0,0,0,above,0.0,0.3571555714055281
d12-s11,101,64,37,below,0.04007936507936508,0.13168544717632802
d12-s11,101,126,25,above,0.04007936507936508,-0.029441683191950722
d12-s11,202,126,76,below,0.08015873015873017,-0.08337157917562367
