run,depth,seed,source,step,normalized_progress,phase,cosine,sample_count
d12-s10,12,10,logical_sketch_prev,101,0.04007936507936508,early,0.030046762805907484,
d12-s10,12,10,logical_sketch_prev,202,0.08015873015873017,early,-0.0032122324605630696,
d12-s10,12,10,logical_sketch_prev,303,0.12023809523809524,early,-0.22732070905840848,
d12-s10,12,10,logical_sketch_prev,404,0.16031746031746033,early,0.23311087063513428,
d12-s10,12,10,logical_sketch_prev,505,0.2003968253968254,early,-0.16531046512719616,
d12-s10,12,10,logical_sketch_prev,606,0.24047619047619048,early,-0.029899322068320626,
d12-s10,12,10,logical_sketch_prev,707,0.28055555555555556,middle,-0.17666251977536293,
d12-s10,12,10,logical_sketch_prev,808,0.32063492063492066,middle,0.11823483833648808,
d12-s10,12,10,logical_sketch_prev,909,0.3607142857142857,middle,-0.0182867612847817,
d12-s10,12,10,logical_sketch_prev,1010,0.4007936507936508,middle,0.24340199883855412,
d12-s10,12,10,logical_sketch_prev,1111,0.44087301587301586,middle,-0.13093685961095977,
d12-s10,12,10,logical_sketch_prev,1212,0.48095238095238096,middle,0.08938500257307115,
d12-s10,12,10,logical_sketch_prev,1313,0.5210317460317461,middle,0.2957122811172538,
d12-s10,12,10,logical_sketch_prev,1414,0.5611111111111111,middle,-0.23902911961456558,
d12-s10,12,10,logical_sketch_prev,1515,0.6011904761904762,middle,-0.557111580456203,
d12-s10,12,10,logical_sketch_prev,1616,0.6412698412698413,middle,-0.1500047754372553,
d12-s10,12,10,logical_sketch_prev,1717,0.6813492063492064,middle,0.13688462012726055,
d12-s10,12,10,logical_sketch_prev,1818,0.7214285714285714,middle,-0.5230369890995262,
d12-s10,12,10,logical_sketch_prev,1919,0.7615079365079365,late,0.22885928754693038,
d12-s10,12,10,logical_sketch_prev,2020,0.8015873015873016,late,-0.13171830525228126,
d12-s10,12,10,logical_sketch_prev,2121,0.8416666666666667,late,-0.30180410856376766,
d12-s10,12,10,logical_sketch_prev,2222,0.8817460317460317,late,-0.08223380540286604,
d12-s10,12,10,logical_sketch_prev,2323,0.9218253968253968,late,-0.09864286674426236,
d12-s10,12,10,logical_sketch_prev,2424,0.9619047619047619,late,0.028775057958880884,
d12-s10,12,10,fixed_probe_sketch_prev,1,0.0003968253968253968,early,0.9816572743580114,
d12-s10,12,10,fixed_probe_sketch_prev,2,0.0007936507936507937,early,0.9807750157096056,
d12-s10,12,10,fixed_probe_sketch_prev,4,0.0015873015873015873,early,0.9594824519113293,
d12-s10,12,10,fixed_probe_sketch_prev,8,0.0031746031746031746,early,0.3551019347715673,
d12-s10,12,10,fixed_probe_sketch_prev,16,0.006349206349206349,early,0.3192979345707014,
d12-s10,12,10,fixed_probe_sketch_prev,32,0.012698412698412698,early,0.7988585092802255,
d12-s10,12,10,fixed_probe_sketch_prev,40,0.015873015873015872,early,0.955296749930731,
d12-s10,12,10,fixed_probe_sketch_prev,64,0.025396825396825397,early,0.7515858988218217,
d12-s10,12,10,fixed_probe_sketch_prev,126,0.05,early,0.38349902372589584,
d12-s10,12,10,fixed_probe_sketch_prev,252,0.1,early,0.302970778317767,
d12-s10,12,10,fixed_probe_sketch_prev,378,0.15,early,0.42651362359290623,
d12-s10,12,10,fixed_probe_sketch_prev,400,0.15873015873015872,early,0.7118044329787785,
d12-s10,12,10,fixed_probe_sketch_prev,504,0.2,early,0.5275297195468442,
d12-s10,12,10,fixed_probe_sketch_prev,630,0.25,middle,0.5802877956147026,
d12-s10,12,10,fixed_probe_sketch_prev,756,0.3,middle,0.6272714048509322,
d12-s10,12,10,fixed_probe_sketch_prev,882,0.35,middle,0.6335846515550365,
d12-s10,12,10,fixed_probe_sketch_prev,1008,0.4,middle,0.6990630960415632,
d12-s10,12,10,fixed_probe_sketch_prev,1134,0.45,middle,0.6912631677083115,
d12-s10,12,10,fixed_probe_sketch_prev,1260,0.5,middle,0.7419698549342054,
d12-s10,12,10,fixed_probe_sketch_prev,1385,0.5496031746031746,middle,0.7873568129966347,
d12-s10,12,10,fixed_probe_sketch_prev,1511,0.5996031746031746,middle,0.8219762020583373,
d12-s10,12,10,fixed_probe_sketch_prev,1637,0.6496031746031746,middle,0.8391149750335581,
d12-s10,12,10,fixed_probe_sketch_prev,1763,0.6996031746031746,middle,0.8668078508167424,
d12-s10,12,10,fixed_probe_sketch_prev,1889,0.7496031746031746,middle,0.8707240528763155,
d12-s10,12,10,fixed_probe_sketch_prev,2015,0.7996031746031746,late,0.8994034639572095,
d12-s10,12,10,fixed_probe_sketch_prev,2141,0.8496031746031746,late,0.9186443122716016,
d12-s10,12,10,fixed_probe_sketch_prev,2267,0.8996031746031746,late,0.938349242495102,
d12-s10,12,10,fixed_probe_sketch_prev,2393,0.9496031746031746,late,0.9568622706894273,
d12-s10,12,10,fixed_probe_sketch_prev,2519,0.9996031746031746,late,0.9735356614679762,
d12-s10,12,10,logical_exact_prev_deep,1,0.0003968253968253968,early,0.972013160768209,1.0
d12-s10,12,10,logical_exact_prev_deep,2,0.0007936507936507937,early,0.967597687406023,1.0
d12-s10,12,10,logical_exact_prev_deep,4,0.0015873015873015873,early,0.8666429445913458,2.0
d12-s10,12,10,logical_exact_prev_deep,8,0.0031746031746031746,early,0.2687799163513964,4.0
d12-s10,12,10,logical_exact_prev_deep,16,0.006349206349206349,early,-0.12342451332075634,8.0
d12-s10,12,10,logical_exact_prev_deep,32,0.012698412698412698,early,0.39064938868927673,16.0
d12-s10,12,10,logical_exact_prev_deep,40,0.015873015873015872,early,0.7877411556973214,8.0
d12-s10,12,10,logical_exact_prev_deep,64,0.025396825396825397,early,0.5251755424248907,24.0
d12-s10,12,10,logical_exact_prev_deep,126,0.05,early,0.10830460541618037,62.0
d12-s10,12,10,logical_exact_prev_deep,252,0.1,early,0.17075555848681442,126.0
d12-s10,12,10,logical_exact_prev_deep,378,0.15,early,-0.0845690832092472,126.0
d12-s10,12,10,logical_exact_prev_deep,400,0.15873015873015872,early,-0.01785417989858638,22.0
d12-s10,12,10,logical_exact_prev_deep,504,0.2,early,-0.026091245428346795,104.0
d12-s10,12,10,logical_exact_prev_deep,630,0.25,middle,0.13804283758813593,126.0
