run,depth,seed,step,normalized_progress,direction,verdict,value_scalar
d12-s10,12,10,1,0.0003968253968253968,random,inconclusive,1.0
d12-s10,12,10,1,0.0003968253968253968,gradient,inconclusive,1.0
d12-s10,12,10,1,0.0003968253968253968,update,inconclusive,1.0
d12-s10,12,10,2,0.0007936507936507937,random,inconclusive,1.0
d12-s10,12,10,2,0.0007936507936507937,gradient,inconclusive,1.0
d12-s10,12,10,2,0.0007936507936507937,update,inconclusive,1.0
d12-s10,12,10,3,0.0011904761904761906,random,inconclusive,1.0
d12-s10,12,10,3,0.0011904761904761906,gradient,inconclusive,1.0
d12-s10,12,10,3,0.0011904761904761906,update,inconclusive,1.0
d12-s10,12,10,5,0.001984126984126984,random,inconclusive,1.0
d12-s10,12,10,5,0.001984126984126984,gradient,inconclusive,1.0
d12-s10,12,10,5,0.001984126984126984,update,inconclusive,1.0
d12-s10,12,10,9,0.0035714285714285713,random,inconclusive,1.0
d12-s10,12,10,9,0.0035714285714285713,gradient,passed,0.0
d12-s10,12,10,9,0.0035714285714285713,update,inconclusive,1.0
d12-s10,12,10,17,0.006746031746031746,random,inconclusive,1.0
d12-s10,12,10,17,0.006746031746031746,gradient,passed,0.0
d12-s10,12,10,17,0.006746031746031746,update,inconclusive,1.0
d12-s10,12,10,33,0.013095238095238096,random,inconclusive,1.0
d12-s10,12,10,33,0.013095238095238096,gradient,passed,0.0
d12-s10,12,10,33,0.013095238095238096,update,inconclusive,1.0
d12-s10,12,10,41,0.01626984126984127,random,inconclusive,1.0
d12-s10,12,10,41,0.01626984126984127,gradient,passed,0.0
d12-s10,12,10,41,0.01626984126984127,update,inconclusive,1.0
d12-s10,12,10,65,0.025793650793650792,random,inconclusive,1.0
d12-s10,12,10,65,0.025793650793650792,gradient,passed,0.0
d12-s10,12,10,65,0.025793650793650792,update,inconclusive,1.0
d12-s10,12,10,127,0.0503968253968254,random,inconclusive,1.0
d12-s10,12,10,127,0.0503968253968254,gradient,passed,0.0
d12-s10,12,10,127,0.0503968253968254,update,inconclusive,1.0
d12-s10,12,10,253,0.1003968253968254,random,inconclusive,1.0
d12-s10,12,10,253,0.1003968253968254,gradient,passed,0.0
d12-s10,12,10,253,0.1003968253968254,update,inconclusive,1.0
d12-s10,12,10,379,0.1503968253968254,random,inconclusive,1.0
d12-s10,12,10,379,0.1503968253968254,gradient,passed,0.0
d12-s10,12,10,379,0.1503968253968254,update,inconclusive,1.0
d12-s10,12,10,401,0.15912698412698412,random,inconclusive,1.0
d12-s10,12,10,401,0.15912698412698412,gradient,passed,0.0
d12-s10,12,10,401,0.15912698412698412,update,inconclusive,1.0
d12-s10,12,10,505,0.2003968253968254,random,inconclusive,1.0
d12-s10,12,10,505,0.2003968253968254,gradient,passed,0.0
d12-s10,12,10,505,0.2003968253968254,update,inconclusive,1.0
d12-s10,12,10,631,0.2503968253968254,random,inconclusive,1.0
d12-s10,12,10,631,0.2503968253968254,gradient,passed,0.0
d12-s10,12,10,631,0.2503968253968254,update,failed,2.0
d12-s10,12,10,757,0.3003968253968254,random,inconclusive,1.0
d12-s10,12,10,757,0.3003968253968254,gradient,passed,0.0
d12-s10,12,10,757,0.3003968253968254,update,inconclusive,1.0
d12-s10,12,10,883,0.3503968253968254,random,inconclusive,1.0
d12-s10,12,10,883,0.3503968253968254,gradient,passed,0.0
d12-s10,12,10,883,0.3503968253968254,update,inconclusive,1.0
d12-s10,12,10,1009,0.4003968253968254,random,inconclusive,1.0
d12-s10,12,10,1009,0.4003968253968254,gradient,passed,0.0
d12-s10,12,10,1009,0.4003968253968254,update,inconclusive,1.0
d12-s10,12,10,1135,0.4503968253968254,random,inconclusive,1.0
d12-s10,12,10,1135,0.4503968253968254,gradient,passed,0.0
d12-s10,12,10,1135,0.4503968253968254,update,inconclusive,1.0
d12-s10,12,10,1261,0.5003968253968254,random,inconclusive,1.0
d12-s10,12,10,1261,0.5003968253968254,gradient,passed,0.0
d12-s10,12,10,1261,0.5003968253968254,update,inconclusive,1.0
d12-s10,12,10,1386,0.55,random,inconclusive,1.0
d12-s10,12,10,1386,0.55,gradient,passed,0.0
d12-s10,12,10,1386,0.55,update,inconclusive,1.0
d12-s10,12,10,1512,0.6,random,inconclusive,1.0
d12-s10,12,10,1512,0.6,gradient,passed,0.0
d12-s10,12,10,1512,0.6,update,inconclusive,1.0
d12-s10,12,10,1638,0.65,random,inconclusive,1.0
d12-s10,12,10,1638,0.65,gradient,passed,0.0
d12-s10,12,10,1638,0.65,update,inconclusive,1.0
d12-s10,12,10,1764,0.7,random,inconclusive,1.0
d12-s10,12,10,1764,0.7,gradient,passed,0.0
d12-s10,12,10,1764,0.7,update,inconclusive,1.0
d12-s10,12,10,1890,0.75,random,inconclusive,1.0
d12-s10,12,10,1890,0.75,gradient,passed,0.0
d12-s10,12,10,1890,0.75,update,inconclusive,1.0
d12-s10,12,10,2016,0.8,random,inconclusive,1.0
d12-s10,12,10,2016,0.8,gradient,passed,0.0
d12-s10,12,10,2016,0.8,update,inconclusive,1.0
d12-s10,12,10,2142,0.85,random,inconclusive,1.0
d12-s10,12,10,2142,0.85,gradient,passed,0.0
d12-s10,12,10,2142,0.85,update,inconclusive,1.0
