run,predictor,n,pearson,spearman
d12-s10,p1 predicted relative benefit,30,0.7685666020022435,0.7201334816462737
d12-s10,p2 predicted relative benefit (uncertified HVP),30,0.9830100868035723,0.9924360400444937
d12-s10,probe gradient norm,30,0.03833560049617897,-0.08387096774193549
d12-s10,probe g-Hg cosine,30,-0.04410327204896616,0.14705228031145717
d12-s10,probe gHg,30,-0.042192599520428205,-0.1835372636262514
d12-s10,actual update norm,30,-0.04832864065919217,-0.02469410456062291
d12-s11,p1 predicted relative benefit,30,0.5849178773840779,0.7330367074527252
d12-s11,p2 predicted relative benefit (uncertified HVP),30,0.9028918766171179,0.9377085650723025
d12-s11,probe gradient norm,30,-0.15109457156676045,-0.24048943270300333
d12-s11,probe g-Hg cosine,30,-0.08748879534792732,-0.04471635150166852
d12-s11,probe gHg,30,-0.2387809718851024,-0.2418242491657397
d12-s11,actual update norm,30,0.055488506378683605,0.29299221357063404
d12-s7,p1 predicted relative benefit,30,0.8132066210836341,0.8162402669632925
d12-s7,p2 predicted relative benefit (uncertified HVP),30,0.9919485105926433,0.986206896551724
d12-s7,probe gradient norm,30,0.24890414917779863,0.057174638487208
d12-s7,probe g-Hg cosine,30,-0.01977174988360688,0.2520578420467186
d12-s7,probe gHg,30,0.30253850620325334,-0.04516129032258065
d12-s7,actual update norm,30,-0.19826686307766644,-0.03937708565072302
d12-s8,p1 predicted relative benefit,30,0.7740611799308834,0.7379310344827587
d12-s8,p2 predicted relative benefit (uncertified HVP),30,0.9870949000386632,0.9906562847608454
d12-s8,probe gradient norm,30,0.1167775993260201,-0.12836484983314794
d12-s8,probe g-Hg cosine,30,-0.06911141804020213,0.09454949944382647
d12-s8,probe gHg,30,0.14626327685102838,-0.10389321468298107
d12-s8,actual update norm,30,-0.11163647907663925,-0.07052280311457175
d12-s9,p1 predicted relative benefit,30,0.6518067285695381,0.7530589543937708
d12-s9,p2 predicted relative benefit (uncertified HVP),30,0.9235185956946049,0.9701890989988877
d12-s9,probe gradient norm,30,-0.03725984671464029,-0.030923248053392655
d12-s9,probe g-Hg cosine,30,-0.10438552612236728,-0.01846496106785317
d12-s9,probe gHg,30,-0.08275893605138124,-0.15283648498331479
d12-s9,actual update norm,30,0.021329903869902533,0.11101223581757509
d14-s7,p1 predicted relative benefit,32,0.8028963085408936,0.7074780058651026
d14-s7,p2 predicted relative benefit (uncertified HVP),32,0.9884254674098665,0.9974340175953078
d14-s7,probe gradient norm,32,-0.022677321254652563,-0.08907624633431084
d14-s7,probe g-Hg cosine,32,-0.14690205683437868,0.09347507331378298
d14-s7,probe gHg,32,-0.11419589128438208,-0.19684750733137826
d14-s7,actual update norm,32,-0.3162248814197359,-0.17741935483870966
d16-s7,p1 predicted relative benefit,33,0.814016401336753,0.6908422459893049
d16-s7,p2 predicted relative benefit (uncertified HVP),33,0.9927684698515459,0.993649732620321
d16-s7,probe gradient norm,33,0.07990161457003964,-0.03342245989304813
d16-s7,probe g-Hg cosine,33,-0.009546126277009475,0.25768716577540113
d16-s7,probe gHg,33,0.11479534835673734,-0.1410427807486631
d16-s7,actual update norm,33,-0.22240156814072287,-0.21356951871657756
