run,depth,metric,events,median_seconds,mean_seconds,median_training_step_seconds,median_event_in_step_equivalents
d12-s10,12,overhead/noise,25,0.973735960200429,0.9550982190668583,0.9801139831542969,0.9934925701872536
d12-s10,12,overhead/grads_ready/periodic_scan,25,0.4317620936781168,0.4465550122410059,0.9801139831542969,0.4405223281159387
d12-s10,12,overhead/probe_grad_sketch,30,0.10964341182261705,0.11159586763630311,0.9801139831542969,0.1118680211762229
d12-s10,12,overhead/shadow_acceptance,30,5.956719397567213,5.95936073238651,0.9801139831542969,6.07757822043996
d12-s10,12,overhead/update_effectiveness,30,6.226461995393038,6.33133871871978,0.9801139831542969,6.352793759103855
d12-s11,12,overhead/noise,25,0.9694057162851095,0.9675807260721921,0.9806318283081055,0.9885521643302517
d12-s11,12,overhead/grads_ready/periodic_scan,25,0.4420049209147692,0.44411962941288946,0.9806318283081055,0.4507348304993985
d12-s11,12,overhead/probe_grad_sketch,30,0.10951675474643707,0.10887753355006377,0.9806318283081055,0.11167978805602047
d12-s11,12,overhead/shadow_acceptance,30,5.98733982257545,6.140041484000782,0.9806318283081055,6.105594015753569
d12-s11,12,overhead/update_effectiveness,30,6.258278562687337,6.439212800686558,0.9806318283081055,6.381883987474496
d12-s7,12,overhead/noise,25,0.8693509018048644,0.8742312332242728,0.9786043167114258,0.8883579266503702
d12-s7,12,overhead/grads_ready/periodic_scan,25,0.3952843891456723,0.42963837027549745,0.9786043167114258,0.4039266763854212
d12-s7,12,overhead/probe_grad_sketch,30,0.08584472630172968,0.08925367087746659,0.9786043167114258,0.08772158965148308
d12-s7,12,overhead/shadow_acceptance,30,5.103549839463085,5.109599063638598,0.9786043167114258,5.215131133503918
d12-s7,12,overhead/update_effectiveness,30,5.131680351216346,5.212549284286797,0.9786043167114258,5.2438766757755815
d12-s8,12,overhead/noise,25,0.8502642819657922,0.8557544013112783,0.9783021211624146,0.8691223943739503
d12-s8,12,overhead/grads_ready/periodic_scan,25,0.3880398590117693,0.4332572129741311,0.9783021211624146,0.39664624109237534
d12-s8,12,overhead/probe_grad_sketch,30,0.08103913255035877,0.08311651196951668,0.9783021211624146,0.08283650908787606
d12-s8,12,overhead/shadow_acceptance,30,4.842497832607478,4.8626480198154844,0.9783021211624146,4.949900166682294
d12-s8,12,overhead/update_effectiveness,30,4.9330217889510095,4.9530841271393005,0.9783021211624146,5.042431864595789
d12-s9,12,overhead/noise,25,0.8704248080030084,0.8774024452641607,0.9786171913146973,0.8894436105640646
d12-s9,12,overhead/grads_ready/periodic_scan,25,0.4781881170347333,0.4374476462975144,0.9786171913146973,0.48863653865749507
d12-s9,12,overhead/probe_grad_sketch,30,0.08358559850603342,0.08630698543662826,0.9786171913146973,0.08541194580256921
d12-s9,12,overhead/shadow_acceptance,30,4.971836290322244,4.993026303499937,0.9786171913146973,5.080471030396434
d12-s9,12,overhead/update_effectiveness,30,5.08867650385946,5.112867206024627,0.9786171913146973,5.199864205352057
d14-s7,14,overhead/noise,25,1.1218708399683237,1.130133502818644,1.4121296405792236,0.7944531491514885
d14-s7,14,overhead/grads_ready/periodic_scan,25,0.5410975944250822,0.5328374918922782,1.4121296405792236,0.38317841285672344
d14-s7,14,overhead/probe_grad_sketch,32,0.10359268076717854,0.10590162576409057,1.4121296405792236,0.07335918586390351
d14-s7,14,overhead/shadow_acceptance,32,6.347630801144987,6.34403531299904,1.4121296405792236,4.495076527493136
d14-s7,14,overhead/update_effectiveness,32,6.4210050762631,6.432431744528003,1.4121296405792236,4.547036540943471
d16-s7,16,overhead/noise,25,1.4005702510476112,1.4124656895920635,1.7836717367172241,0.7852174939012625
d16-s7,16,overhead/grads_ready/periodic_scan,25,0.6305418871343136,0.6305316713824868,1.7836717367172241,0.35350780872650955
d16-s7,16,overhead/probe_grad_sketch,33,0.12894204165786505,0.13557411256161603,1.7836717367172241,0.07229023087800768
d16-s7,16,overhead/shadow_acceptance,33,8.099774405360222,8.163524132842818,1.7836717367172241,4.54106786502517
d16-s7,16,overhead/update_effectiveness,33,8.201580450870097,8.299847680764893,1.7836717367172241,4.598144536373478
