run,depth,seed,step,normalized_progress,phase,slice_index,slice_grad_norm,slice_dot_device_mean,slice_cosine_device_mean,device_mean_grad_norm_exact
d12-s10,12,10,0,0.0,early,0,0.4839943651549148,0.09011674297128944,0.596962201017406,0.3119021356880501
d12-s10,12,10,0,0.0,early,1,0.5747665854089928,0.11836848323044748,0.6602770800279996,0.3119021356880501
d12-s10,12,10,0,0.0,early,2,0.5322037438216876,0.09135235343832102,0.5503303527382555,0.3119021356880501
d12-s10,12,10,0,0.0,early,3,0.5147697696585516,0.09108541522637206,0.5673061077738655,0.3119021356880501
d12-s10,12,10,0,0.0,early,4,0.5064159556926796,0.09821216126981705,0.6217839954030803,0.3119021356880501
d12-s10,12,10,0,0.0,early,5,0.47408975798183595,0.09114629971431847,0.616396438276434,0.3119021356880501
d12-s10,12,10,0,0.0,early,6,0.4734766751942195,0.0800791543536808,0.5422537205262373,0.3119021356880501
d12-s10,12,10,0,0.0,early,7,0.5280852579365981,0.10681193932089847,0.6484812267837987,0.3119021356880501
d12-s10,12,10,101,0.04007936507936508,early,0,0.3632117379246939,0.028802127234656368,0.4688947861180137,0.16911778651236348
d12-s10,12,10,101,0.04007936507936508,early,1,0.34739496291974714,0.025426362398468138,0.43278423244000525,0.16911778651236348
d12-s10,12,10,101,0.04007936507936508,early,2,0.3469729083441718,0.025265441685832474,0.4305682904983954,0.16911778651236348
d12-s10,12,10,101,0.04007936507936508,early,3,0.3576557457396626,0.028665879186380812,0.47392626071266075,0.16911778651236348
d12-s10,12,10,101,0.04007936507936508,early,4,0.40761218577424924,0.03300062528827677,0.4787245770443707,0.16911778651236348
d12-s10,12,10,101,0.04007936507936508,early,5,0.36494195421038395,0.028902155864839366,0.4682924540455752,0.16911778651236348
d12-s10,12,10,101,0.04007936507936508,early,6,0.3486506567056156,0.02698075055049476,0.4575876065579869,0.16911778651236348
d12-s10,12,10,101,0.04007936507936508,early,7,0.36881043536964736,0.02974847925322498,0.47694937376352553,0.16911778651236348
d12-s10,12,10,202,0.08015873015873017,early,0,0.5063946517279989,0.06855566388001952,0.5084417469053454,0.2662643533801069
d12-s10,12,10,202,0.08015873015873017,early,1,0.5190436290546571,0.07271684059348348,0.5261603385372825,0.2662643533801069
d12-s10,12,10,202,0.08015873015873017,early,2,0.5592853293124376,0.07714388325795773,0.5180301544827581,0.2662643533801069
d12-s10,12,10,202,0.08015873015873017,early,3,0.5803359001589691,0.06682759458228454,0.4324773463711787,0.2662643533801069
d12-s10,12,10,202,0.08015873015873017,early,4,0.540581346414199,0.07445905128322991,0.5173011148528703,0.2662643533801069
d12-s10,12,10,202,0.08015873015873017,early,5,0.5176590766219306,0.0631167013066708,0.4579177006883671,0.2662643533801069
d12-s10,12,10,202,0.08015873015873017,early,6,0.5452968715406591,0.07429379286542173,0.5116894893352002,0.2662643533801069
d12-s10,12,10,202,0.08015873015873017,early,7,0.5237422739064509,0.06966283766028947,0.49954026893159553,0.2662643533801069
d12-s10,12,10,303,0.12023809523809524,early,0,0.5036855702337798,0.06715213433201603,0.4842204736444236,0.2753323003565919
d12-s10,12,10,303,0.12023809523809524,early,1,0.4890354283064316,0.0675884547779885,0.5019668434622035,0.2753323003565919
d12-s10,12,10,303,0.12023809523809524,early,2,0.5282279619601753,0.08122007627387481,0.5584507039576857,0.2753323003565919
d12-s10,12,10,303,0.12023809523809524,early,3,0.5029310504191181,0.07075709342443393,0.5109805530169693,0.2753323003565919
d12-s10,12,10,303,0.12023809523809524,early,4,0.5259367079567343,0.08107690423404229,0.5598948989467997,0.2753323003565919
d12-s10,12,10,303,0.12023809523809524,early,5,0.5734621370100664,0.08513093875373957,0.5391697403520073,0.2753323003565919
d12-s10,12,10,303,0.12023809523809524,early,6,0.6025392108836679,0.08374852229103613,0.5048178179040074,0.2753323003565919
d12-s10,12,10,303,0.12023809523809524,early,7,0.5258939239709485,0.07306852656936426,0.5046322866787953,0.2753323003565919
d12-s10,12,10,404,0.16031746031746033,early,0,0.4861451229806564,0.07310668690567809,0.5413123301213674,0.2778070417102031
d12-s10,12,10,404,0.16031746031746033,early,1,0.5078132922826601,0.07923339039718041,0.5616437435359538,0.2778070417102031
d12-s10,12,10,404,0.16031746031746033,early,2,0.5050231620462432,0.07834635002859014,0.5584241887230412,0.2778070417102031
d12-s10,12,10,404,0.16031746031746033,early,3,0.5086911449552536,0.08267993853453895,0.5850631129297966,0.2778070417102031
d12-s10,12,10,404,0.16031746031746033,early,4,0.520458770216513,0.07879311896598386,0.5449525774820856,0.2778070417102031
d12-s10,12,10,404,0.16031746031746033,early,5,0.5167260407613175,0.08205253494909957,0.5715949778125533,0.2778070417102031
d12-s10,12,10,404,0.16031746031746033,early,6,0.4824125621066638,0.07001680218155427,0.5224448031334767,0.2778070417102031
d12-s10,12,10,404,0.16031746031746033,early,7,0.48394659539924906,0.07216996427047306,0.536804071989128,0.2778070417102031
d12-s10,12,10,505,0.2003968253968254,early,0,0.4331029571494784,0.05705295640675952,0.5139305568610486,0.2563200413618514
d12-s10,12,10,505,0.2003968253968254,early,1,0.4619436113451089,0.06553393442719417,0.5534707990186354,0.2563200413618514
d12-s10,12,10,505,0.2003968253968254,early,2,0.45552030045886494,0.061397533348862374,0.5258484800328861,0.2563200413618514
d12-s10,12,10,505,0.2003968253968254,early,3,0.46594925861117503,0.06894998768703191,0.5773152150654979,0.2563200413618514
d12-s10,12,10,505,0.2003968253968254,early,4,0.5127559371708663,0.07903218345165368,0.6013270192300468,0.2563200413618514
d12-s10,12,10,505,0.2003968253968254,early,5,0.44079990432681104,0.051971311523652614,0.4599807113664832,0.2563200413618514
d12-s10,12,10,505,0.2003968253968254,early,6,0.48381457671555167,0.07466430081893985,0.6020762404690381,0.2563200413618514
d12-s10,12,10,505,0.2003968253968254,early,7,0.4662064365510093,0.06847928469448213,0.573057743771143,0.2563200413618514
d12-s10,12,10,606,0.24047619047619048,early,0,0.46674954800923574,0.05676693785037561,0.5166061253058173,0.23542469185882295
d12-s10,12,10,606,0.24047619047619048,early,1,0.46574513210551816,0.05469833906775229,0.4988543963653829,0.23542469185882295
d12-s10,12,10,606,0.24047619047619048,early,2,0.4657047696237333,0.057451494703899195,0.5240088665622288,0.23542469185882295
d12-s10,12,10,606,0.24047619047619048,early,3,0.43536147204313924,0.04962705791227237,0.48419079162583245,0.23542469185882295
d12-s10,12,10,606,0.24047619047619048,early,4,0.45647362167068406,0.05637278874930683,0.5245680353075631,0.23542469185882295
d12-s10,12,10,606,0.24047619047619048,early,5,0.4281689948427885,0.05346758698226975,0.5304242348783057,0.23542469185882295
d12-s10,12,10,606,0.24047619047619048,early,6,0.45569585042608246,0.05831825091946945,0.5435974434698968,0.23542469185882295
d12-s10,12,10,606,0.24047619047619048,early,7,0.46119590563544777,0.0568417391025766,0.5235159322453677,0.23542469185882295
d12-s10,12,10,707,0.28055555555555556,middle,0,0.47276544491831624,0.06582687151071687,0.5340541410483742,0.2607187123316989
d12-s10,12,10,707,0.28055555555555556,middle,1,0.49322377966973896,0.07639433356588388,0.594080007221455,0.2607187123316989
d12-s10,12,10,707,0.28055555555555556,middle,2,0.4890775672127246,0.06475036493689514,0.5077995067601638,0.2607187123316989
d12-s10,12,10,707,0.28055555555555556,middle,3,0.5027570113248492,0.06556873149195006,0.5002262099776075,0.2607187123316989
d12-s10,12,10,707,0.28055555555555556,middle,4,0.4613133369162224,0.061556079845281345,0.5118028986369094,0.2607187123316989
d12-s10,12,10,707,0.28055555555555556,middle,5,0.4804544059038882,0.06819317381542754,0.5443979996984194,0.2607187123316989
d12-s10,12,10,707,0.28055555555555556,middle,6,0.47194739853697354,0.06443441797413241,0.5236632670836511,0.2607187123316989
d12-s10,12,10,707,0.28055555555555556,middle,7,0.48314467425833296,0.07815081596446649,0.6204176118101099,0.2607187123316989
d12-s10,12,10,808,0.32063492063492066,middle,0,0.5104795696138272,0.09292408771838753,0.585779491504811,0.3107533205221669
d12-s10,12,10,808,0.32063492063492066,middle,1,0.5341455982217207,0.09635417466438365,0.5804904830025602,0.3107533205221669
d12-s10,12,10,808,0.32063492063492066,middle,2,0.5421570948009801,0.10260035371989193,0.6089868776860534,0.3107533205221669
d12-s10,12,10,808,0.32063492063492066,middle,3,0.49413643333858587,0.0877387430680725,0.5713848937619395,0.3107533205221669
d12-s10,12,10,808,0.32063492063492066,middle,4,0.521416277493224,0.09883254660569683,0.6099575666512869,0.3107533205221669
d12-s10,12,10,808,0.32063492063492066,middle,5,0.5699625117120918,0.10545731516473666,0.5954079660586413,0.3107533205221669
d12-s10,12,10,808,0.32063492063492066,middle,6,0.5465714565915131,0.10252217395757748,0.6036081302405216,0.3107533205221669
d12-s10,12,10,808,0.32063492063492066,middle,7,0.5096907578954182,0.09197673578356058,0.5807048536007212,0.3107533205221669
d12-s10,12,10,909,0.3607142857142857,middle,0,0.5632959403610422,0.1011408200929421,0.5728502831166763,0.3134358852890995
d12-s10,12,10,909,0.3607142857142857,middle,1,0.5169243768449807,0.07916102489188537,0.4885799920339191,0.3134358852890995
d12-s10,12,10,909,0.3607142857142857,middle,2,0.5489688027799291,0.08965062088005761,0.5210230292080038,0.3134358852890995
d12-s10,12,10,909,0.3607142857142857,middle,3,0.48470078556488233,0.07151163554128358,0.4707109160189503,0.3134358852890995
d12-s10,12,10,909,0.3607142857142857,middle,4,0.5469127914449906,0.09798445455475452,0.5715975795080166,0.3134358852890995
d12-s10,12,10,909,0.3607142857142857,middle,5,0.5489027305205696,0.1010950321408535,0.5876053024162344,0.3134358852890995
d12-s10,12,10,909,0.3607142857142857,middle,6,0.5607640978639238,0.1090699976549221,0.6205494366249824,0.3134358852890995
d12-s10,12,10,909,0.3607142857142857,middle,7,0.6821315058096828,0.13537078645360465,0.6331522080269648,0.3134358852890995
d12-s10,12,10,1010,0.4007936507936508,middle,0,0.5481636124237111,0.09181310989551184,0.5140666974148992,0.32581796341217406
