run,depth,seed,step,normalized_progress,phase,pair_cos_mean,pair_cos_median,pair_cos_q10,pair_cos_q90,pair_cos_negative_fraction,sub_grad_norm_mean,sub_grad_norm_cv,sub_grad_norm_max_min_ratio,slice_to_device_mean_cos_median,slice_to_device_mean_cos_min,b_noise
d12-s10,12,10,0,0.0,early,0.2755726490701948,0.2721889913082123,0.22170915603637695,0.3335523545742035,0.0,0.510975263856185,0.06756178080588272,1.213927983196267,0.60667931964692,0.5422537205262373,10.221127108834915
d12-s10,12,10,101,0.04007936507936508,early,0.10248967260122299,0.10114327073097229,0.08415962010622025,0.12202349603176117,0.0,0.36315632337352144,0.0547024542412784,1.1747666056103945,0.46859362008179445,0.4305682904983954,34.335326738944865
d12-s10,12,10,202,0.08015873015873017,early,0.13925136093582427,0.14592187106609344,0.09093226790428162,0.17851969450712205,0.0,0.5365423848421629,0.04599750384718836,1.1460150658753134,0.5100656181202727,0.4324773463711787,24.969052162595567
d12-s10,12,10,303,0.12023809523809524,early,0.16570824278252466,0.16241982579231262,0.13023553788661957,0.1971498116850853,0.0,0.5314639988426152,0.0720836906919992,1.232097259231931,0.5078991854604884,0.4842204736444236,20.61747055598963
d12-s10,12,10,404,0.16031746031746033,early,0.20702822559646197,0.20751997828483582,0.18581791818141938,0.23201751112937927,0.0,0.5014020863435696,0.03018460634133046,1.0788665368573818,0.5516883831025634,0.5224448031334767,15.258451503441472
d12-s10,12,10,505,0.2003968253968254,early,0.2032769572521959,0.19607075303792953,0.14694257229566574,0.2625064879655838,0.0,0.4650116227911082,0.05354196228974566,1.1839123439508104,0.5632642713948892,0.4599807113664832,15.654687705892233
d12-s10,12,10,606,0.24047619047619048,early,0.164068162973438,0.16361577063798904,0.13794252127408982,0.1887727677822113,0.0,0.45438691179457863,0.032341491831301666,1.0901059012472702,0.5237623994037983,0.48419079162583245,20.441728145048067
d12-s10,12,10,707,0.28055555555555556,middle,0.1923577572618212,0.18687258660793304,0.14390362352132796,0.24345355182886125,0.0,0.48183545234263075,0.02745123948988298,1.0898384483866619,0.5288587040660127,0.5002262099776075,16.884204099608244
d12-s10,12,10,808,0.32063492063492066,middle,0.25491784512996674,0.25325630605220795,0.2312326654791832,0.27662005126476286,0.0,0.5285699624584201,0.046196087288778935,1.1534517053543172,0.5905937287817262,0.5713848937619395,11.90924577326895
d12-s10,12,10,909,0.3607142857142857,middle,0.2147437504359654,0.20089630037546158,0.15950467437505722,0.283549427986145,0.0,0.5565751288987502,0.1024847628015083,1.407324943809839,0.5722239313123465,0.4707109160189503,14.493947805084611
d12-s10,12,10,1010,0.4007936507936508,middle,0.22280954622796603,0.2154335007071495,0.18442330807447432,0.27885126769542695,0.0,0.5774338551609002,0.05724682718540418,1.1500076457627162,0.5658733349139007,0.5140666974148992,14.184700789710783
d12-s10,12,10,1111,0.44087301587301586,middle,0.16476163347916944,0.16676469147205353,0.1342379666864872,0.20250946134328843,0.0,0.5711390457666768,0.02841705217657745,1.0996153789803391,0.528840684586754,0.470737865814176,20.52139609825758
d12-s10,12,10,1212,0.48095238095238096,middle,0.2108344111059393,0.20932307094335556,0.18135590553283693,0.237862066924572,0.0,0.625914109835399,0.05240054941039002,1.1456951618576223,0.5465087749148734,0.5345306742687943,15.046387836256514
d12-s10,12,10,1313,0.5210317460317461,middle,0.13205162808299065,0.13873976469039917,0.0753212682902813,0.18258307725191117,0.0,0.6057067926127665,0.023796339328342807,1.0690406291900385,0.49846250149772997,0.3983663311037009,26.666949663097554
d12-s10,12,10,1414,0.5611111111111111,middle,0.2315813031579767,0.23322156816720963,0.19218172132968903,0.2604511797428131,0.0,0.6805153471428302,0.0477597376141417,1.1312679694081356,0.5709458843525752,0.5326727988875947,13.726328717038044
d12-s10,12,10,1515,0.6011904761904762,middle,0.14353188406676054,0.13061778992414474,0.10312663987278939,0.20408046543598177,0.0,0.668268034694258,0.06434911043379596,1.2065904241428653,0.498033215936569,0.4472877017380778,24.771461950522752
d12-s10,12,10,1616,0.6412698412698413,middle,0.1160086914896965,0.11676791682839394,0.07931757047772407,0.14909601658582688,0.0,0.6896067011706493,0.053330067864002344,1.1692626833369264,0.4901168502859501,0.42026085772771565,31.43426727196649
d12-s10,12,10,1717,0.6813492063492064,middle,0.07965247426182032,0.07579618319869041,0.051109690219163895,0.11065027043223381,0.0,0.6822294784061816,0.05286648899692799,1.148954101967192,0.44157324096363165,0.37595778012864817,47.54424652346888
d12-s10,12,10,1818,0.7214285714285714,middle,0.0781710954782154,0.0757434293627739,0.041113948076963426,0.11920559108257295,0.0,0.6819009938641258,0.046899515657613584,1.1264603128753443,0.4471369629108524,0.3872910713790778,48.56876255332881
d12-s10,12,10,1919,0.7615079365079365,late,0.04460422185989695,0.04943843372166157,0.002081150183221326,0.08782628774642945,0.10714285714285714,0.7042588833245431,0.04579275466233829,1.148726311645903,0.4190960619624897,0.3109187907844632,87.7319725925409
d12-s10,12,10,2020,0.8015873015873016,late,0.0400686203107138,0.040495799854397774,-0.0010178817494306712,0.07418839260935783,0.14285714285714285,0.7157916640040795,0.1079860934814722,1.3464897450858277,0.40049659236286417,0.35110560270011365,102.0662820638959
d12-s10,12,10,2121,0.8416666666666667,late,0.04071197886202883,0.034408748149871826,0.01627147924154997,0.07452671229839325,0.03571428571428571,0.6737590672889124,0.01621545136751863,1.053891878941595,0.39776064047894133,0.36242892146588623,96.37610640041201
d12-s10,12,10,2222,0.8817460317460317,late,0.011531832777628941,0.014140507206320763,-0.02112256344407797,0.037900168821215635,0.32142857142857145,0.6871639961924455,0.05608865291534906,1.186915830382137,0.35946991749427176,0.33125718541681104,339.8714280617506
d12-s10,12,10,2323,0.9218253968253968,late,0.002670579643563542,0.0008327831110364059,-0.0227003401145339,0.02998718786984682,0.4642857142857143,0.6949774117859178,0.04071534658070689,1.138905848569613,0.3536027845011458,0.3315644031390292,1448.0771177786187
d12-s10,12,10,2424,0.9619047619047619,late,0.006526771808109645,0.008038884028792381,-0.010529173444956541,0.02969914507120848,0.39285714285714285,0.6795831396420562,0.02967782342399217,1.0861745750530738,0.36067681972427623,0.3298144142162616,571.9168678946755
d12-s11,12,11,0,0.0,early,0.2766524888575077,0.274249330163002,0.22584492415189744,0.3227440744638443,0.0,0.5109360243495598,0.06619054141352934,1.2098526634725286,0.6150017906892473,0.5538196711973818,10.216855903122449
d12-s11,12,11,101,0.04007936507936508,early,0.15346378753227846,0.15706848353147507,0.1229785442352295,0.17604791074991227,0.0,0.3605927040199681,0.051973945879628634,1.1678374028176122,0.5206553235117826,0.459297512495594,22.52490972434451
d12-s11,12,11,202,0.08015873015873017,early,0.2590917998126575,0.26607029139995575,0.19051568806171418,0.30715422332286835,0.0,0.5281060759588168,0.05402701277088984,1.1438134002963243,0.5991485576728042,0.4843772588470285,11.433620334101683
d12-s11,12,11,303,0.12023809523809524,early,0.15083237125405244,0.14527316391468048,0.0993051789700985,0.20050282627344132,0.0,0.49643402026492445,0.09959218474758498,1.356578440740657,0.5149095394296126,0.4201904015667488,22.3752975497956
d12-s11,12,11,404,0.16031746031746033,early,0.2513421598289694,0.2556184232234955,0.19767780601978302,0.2936708092689514,0.0,0.5130597603655327,0.04348790810237063,1.1469980712713446,0.5999605304854756,0.49589344089547793,11.845042933848802
d12-s11,12,11,505,0.2003968253968254,early,0.1491213749561991,0.14980969578027725,0.12419160008430481,0.1741521805524826,0.0,0.4463538769562424,0.032013349724203284,1.1040670702757853,0.509188297746995,0.4723022030697792,22.983121923110897
